request_number,latency_ms
1,2385.868
31,2601.411
42,2599.399
56,2597.157
58,2596.976
69,2595.900
72,2595.651
88,2594.216
92,2593.908
99,2593.366
32,2796.883
39,2795.619
45,2794.513
50,2793.718
51,2793.505
62,2792.191
74,2791.076
75,2790.981
85,2790.050
86,2789.983
90,2789.669
98,2789.048
106,195.303
109,195.238
48,2795.828
81,2792.077
49,2890.900
83,2887.320
121,397.558
20,3197.993
61,3191.381
22,3199.259
60,3193.102
63,3192.814
113,400.258
118,400.126
119,400.106
13,3201.822
29,3199.097
100,3190.497
111,401.328
114,401.183
116,401.135
123,400.964
5,3602.490
11,3601.292
41,3596.037
43,3595.598
132,399.813
135,399.752
136,399.746
138,398.908
139,398.864
8,3602.283
18,3600.486
38,3596.984
84,3591.255
87,3591.028
89,3590.892
96,3590.353
117,800.621
120,800.554
122,800.511
125,799.334
128,703.891
131,401.965
137,400.191
140,399.292
142,399.239
144,399.166
127,799.676
124,897.113
9,3700.255
126,897.302
17,3698.933
34,3696.080
171,80.215
143,694.721
174,277.740
172,379.298
173,377.911
175,377.685
176,377.661
177,299.952
178,180.367
179,100.003
182,99.766
183,99.766
184,99.748
185,99.727
186,99.708
180,100.073
181,100.032
14,4201.043
19,4200.151
23,4199.488
73,4192.289
79,4191.732
91,4190.701
95,4190.415
101,1817.715
129,1002.834
189,402.277
191,402.242
192,402.070
193,402.036
200,378.396
202,378.354
187,405.084
190,404.980
201,381.035
188,405.240
194,381.449
195,381.415
196,381.394
197,381.369
199,381.321
10,4625.109
35,4620.769
44,4619.008
65,4616.214
82,4614.570
93,4613.710
102,2019.690
103,2019.641
104,2019.618
134,1423.347
152,1022.752
160,1022.212
198,480.497
203,101.751
204,101.676
206,101.618
212,98.750
216,98.605
221,57.501
222,57.483
207,105.186
208,105.130
215,102.240
217,103.121
226,61.933
158,1097.213
166,1096.945
167,1096.919
24,4698.272
130,1597.793
220,353.525
2,5000.139
3,5000.133
4,5000.092
6,4999.663
7,4999.505
12,5001.563
15,5000.927
16,5000.799
21,4999.871
25,4999.309
26,4999.177
37,4997.229
52,4994.602
53,4994.425
97,4990.315
115,2200.723
27,4999.305
28,4999.177
30,4999.655
33,4999.210
36,4999.044
40,5002.458
46,5001.373
47,5001.242
54,5000.058
55,4999.939
57,4999.764
59,4999.599
64,4999.111
66,4998.940
67,4998.838
70,4998.594
71,4998.526
77,4997.950
78,4997.882
94,4996.526
105,2402.474
107,2402.443
108,2402.443
163,1405.126
68,4999.358
76,4999.851
80,4999.472
169,1497.305
155,1497.947
150,1498.594
110,2496.298
133,1900.208
145,1499.860
146,1499.772
147,1499.738
148,1499.714
149,1499.690
153,1499.569
154,1499.266
156,1499.192
157,1499.162
159,1499.096
162,1498.990
164,1498.927
165,1498.900
168,1498.804
112,2598.447
141,2196.862
161,1796.690
301,297.341
304,297.271
308,297.163
227,851.937
214,895.557
219,854.437
228,854.183
230,796.716
224,855.872
225,855.860
238,793.744
209,897.902
213,897.411
235,798.364
236,798.352
237,798.341
240,793.918
242,793.881
248,502.415
286,569.497
324,97.063
250,580.101
251,601.812
252,601.734
259,599.106
261,598.946
266,598.335
269,597.747
273,592.969
277,592.871
283,592.531
285,592.373
290,591.659
291,591.578
292,500.969
296,499.384
300,499.274
303,499.206
327,119.575
260,600.473
274,594.374
284,593.851
293,502.142
297,500.732
299,500.682
310,500.368
311,399.463
314,399.193
315,399.179
319,319.435
322,317.859
325,317.554
330,317.422
312,400.713
313,400.833
316,400.732
329,318.990
331,415.764
347,295.773
350,295.719
353,294.845
256,975.988
336,498.254
339,498.188
343,498.109
357,496.975
365,300.249
369,298.936
355,594.056
231,1799.340
245,1782.279
246,1781.728
268,1479.040
270,1474.144
278,1473.900
281,1473.821
287,1473.287
289,1472.968
317,1004.871
318,1002.614
320,1002.530
323,1000.949
326,1000.649
328,1000.607
332,1000.483
341,895.185
360,697.453
337,999.029
338,999.020
342,998.924
344,998.881
346,998.846
349,998.785
354,997.834
363,801.084
364,801.063
366,800.991
367,799.962
368,799.762
370,799.696
372,702.835
374,702.777
345,999.305
340,1003.712
348,1003.528
351,1003.455
352,1003.437
356,1002.507
358,1002.464
359,1002.450
361,805.890
362,805.862
375,627.414
371,800.708
373,800.639
376,598.322
377,598.267
378,598.220
379,598.198
380,598.179
381,598.153
382,501.555
401,199.840
402,199.814
403,199.806
404,199.790
405,199.770
406,199.760
407,199.742
408,199.728
409,199.710
410,199.700
411,199.690
412,199.674
413,199.657
414,199.641
415,199.624
416,199.461
417,195.477
420,195.398
422,195.355
423,195.340
424,195.324
425,195.304
427,102.234
