iteration; latency_ns; latency_ms;
1; 32138853; 32.139;
2; 32030310; 32.030;
3; 32893523; 32.894;
4; 32146538; 32.147;
5; 29701448; 29.701;
6; 27451986; 27.452;
7; 27156310; 27.156;
8; 26738433; 26.738;
9; 26754894; 26.755;
10; 29228809; 29.229;
11; 27669004; 27.669;
12; 25932807; 25.933;
13; 28011058; 28.011;
14; 28392306; 28.392;
15; 29787581; 29.788;
16; 30449876; 30.450;
17; 31383843; 31.384;
18; 29899320; 29.899;
19; 29600368; 29.600;
20; 30981125; 30.981;
21; 29718038; 29.718;
22; 30331884; 30.332;
23; 52217868; 52.218;
24; 32319704; 32.320;
25; 29417975; 29.418;
26; 28227575; 28.228;
27; 28970372; 28.970;
28; 31792141; 31.792;
29; 29350787; 29.351;
30; 30644742; 30.645;
31; 52303601; 52.304;
32; 30102503; 30.103;
33; 29543872; 29.544;
34; 27856667; 27.857;
35; 31475055; 31.475;
36; 27765717; 27.766;
37; 28010466; 28.010;
38; 30050315; 30.050;
39; 30801548; 30.802;
40; 28659717; 28.660;
41; 27530464; 27.530;
42; 29711777; 29.712;
43; 35326349; 35.326;
44; 28536797; 28.537;
45; 31259720; 31.260;
46; 32428056; 32.428;
47; 28954151; 28.954;
48; 27987514; 27.988;
49; 29226745; 29.227;
50; 29018814; 29.019;
51; 30217890; 30.218;
52; 28173744; 28.174;
53; 28392165; 28.392;
54; 28631095; 28.631;
55; 28174906; 28.175;
56; 27893336; 27.893;
57; 28230581; 28.231;
58; 28297567; 28.298;
59; 29620105; 29.620;
60; 28965264; 28.965;
61; 28354384; 28.354;
62; 27902253; 27.902;
63; 27555231; 27.555;
64; 29458822; 29.459;
65; 28665249; 28.665;
66; 35518312; 35.518;
67; 30512965; 30.513;
68; 33740767; 33.741;
69; 28198349; 28.198;
70; 28071473; 28.071;
71; 27351759; 27.352;
72; 25057110; 25.057;
73; 29506432; 29.506;
74; 27489668; 27.490;
75; 27150849; 27.151;
76; 27759756; 27.760;
77; 26252680; 26.253;
78; 28196417; 28.196;
79; 25423851; 25.424;
80; 24186452; 24.186;
81; 29613031; 29.613;
82; 27930956; 27.931;
83; 29005239; 29.005;
84; 28290093; 28.290;
85; 29724401; 29.724;
86; 27930176; 27.930;
87; 28362319; 28.362;
88; 26289999; 26.290;
89; 26410818; 26.411;
90; 26073944; 26.074;
91; 26468445; 26.468;
92; 25873486; 25.873;
93; 26480579; 26.481;
94; 28449702; 28.450;
95; 28720202; 28.720;
96; 27394187; 27.394;
97; 25839402; 25.839;
98; 27074255; 27.074;
99; 25760395; 25.760;
100; 26499985; 26.500;
101; 27138918; 27.139;
102; 27149097; 27.149;
103; 27814298; 27.814;
104; 30249539; 30.250;
105; 30655924; 30.656;
106; 29146113; 29.146;
107; 29957090; 29.957;
108; 28294992; 28.295;
109; 30362082; 30.362;
110; 29696088; 29.696;
111; 28710604; 28.711;
112; 29154458; 29.154;
113; 28748075; 28.748;
114; 28243164; 28.243;
115; 28117418; 28.117;
116; 30302310; 30.302;
117; 28657634; 28.658;
118; 27942630; 27.943;
119; 33713075; 33.713;
120; 30345100; 30.345;
121; 30565194; 30.565;
122; 30612341; 30.612;
123; 30713763; 30.714;
124; 27424164; 27.424;
125; 25484424; 25.484;
126; 26639607; 26.640;
127; 29476516; 29.477;
128; 30081623; 30.082;
129; 27979098; 27.979;
130; 29528543; 29.529;
131; 29356109; 29.356;
132; 29407095; 29.407;
133; 30243348; 30.243;
134; 28460093; 28.460;
135; 32202183; 32.202;
136; 30789196; 30.789;
137; 41186405; 41.186;
138; 34037305; 34.037;
139; 27447048; 27.447;
140; 28205815; 28.206;
141; 27650641; 27.651;
142; 28249138; 28.249;
143; 26969309; 26.969;
144; 27530755; 27.531;
145; 27524213; 27.524;
146; 30283735; 30.284;
147; 28721956; 28.722;
148; 27406923; 27.407;
149; 29131526; 29.132;
150; 28424275; 28.424;
151; 29153828; 29.154;
152; 29970194; 29.970;
153; 30981316; 30.981;
154; 31212522; 31.213;
155; 31391498; 31.391;
156; 38774308; 38.774;
157; 29152366; 29.152;
158; 29718872; 29.719;
159; 30313600; 30.314;
160; 29528274; 29.528;
161; 28661071; 28.661;
162; 27060290; 27.060;
163; 31949068; 31.949;
164; 26752040; 26.752;
165; 27831692; 27.832;
166; 25478524; 25.479;
167; 28526819; 28.527;
168; 28236614; 28.237;
169; 29172765; 29.173;
170; 32757719; 32.758;
171; 29605218; 29.605;
172; 30468362; 30.468;
173; 30619926; 30.620;
174; 30522825; 30.523;
175; 30498278; 30.498;
176; 29819651; 29.820;
177; 29725945; 29.726;
178; 28870826; 28.871;
179; 27046303; 27.046;
180; 29577615; 29.578;
181; 26567302; 26.567;
182; 28340589; 28.341;
183; 26354112; 26.354;
184; 26942479; 26.942;
185; 25373886; 25.374;
186; 29556545; 29.557;
187; 28825611; 28.826;
188; 30994241; 30.994;
189; 26520373; 26.520;
190; 27283910; 27.284;
191; 26941446; 26.941;
192; 26182318; 26.182;
193; 28691788; 28.692;
194; 27866728; 27.867;
