iteration; latency_ns; latency_ms;
1; 1034604376; 1034.604;
2; 49297402; 49.297;
3; 41574833; 41.575;
4; 41523887; 41.524;
5; 43226134; 43.226;
6; 42840759; 42.841;
7; 40786708; 40.787;
8; 38848927; 38.849;
9; 38453723; 38.454;
10; 38744461; 38.744;
11; 38461346; 38.461;
12; 37188450; 37.188;
13; 45969472; 45.969;
14; 39868987; 39.869;
15; 39601223; 39.601;
16; 40684114; 40.684;
17; 40477425; 40.477;
18; 38389141; 38.389;
19; 38798591; 38.799;
20; 38040294; 38.040;
21; 38073676; 38.074;
22; 40658156; 40.658;
23; 40478737; 40.479;
24; 39135797; 39.136;
25; 33138158; 33.138;
26; 37381091; 37.381;
27; 38574589; 38.575;
28; 38902889; 38.903;
29; 37339072; 37.339;
30; 35629582; 35.630;
31; 63601625; 63.602;
32; 38052116; 38.052;
33; 37630382; 37.630;
34; 39580385; 39.580;
35; 41273805; 41.274;
36; 42555609; 42.556;
37; 40604555; 40.605;
38; 39130647; 39.131;
39; 36732610; 36.733;
40; 37405878; 37.406;
41; 37836979; 37.837;
42; 39400096; 39.400;
43; 37654445; 37.654;
44; 38592594; 38.593;
45; 40834288; 40.834;
46; 41858417; 41.858;
47; 39149182; 39.149;
48; 35618100; 35.618;
49; 37459528; 37.460;
50; 37854583; 37.855;
51; 38194694; 38.195;
52; 38411332; 38.411;
53; 39230846; 39.231;
54; 37729418; 37.729;
55; 35476823; 35.477;
56; 37941357; 37.941;
57; 40197648; 40.198;
58; 37095133; 37.095;
59; 37251047; 37.251;
60; 36233870; 36.234;
61; 37572863; 37.573;
62; 38976928; 38.977;
63; 36838518; 36.839;
64; 43033582; 43.034;
65; 37671839; 37.672;
66; 39243711; 39.244;
67; 40693552; 40.694;
68; 38563649; 38.564;
69; 36812210; 36.812;
70; 38726065; 38.726;
71; 39413260; 39.413;
72; 40477905; 40.478;
73; 39479225; 39.479;
74; 37100592; 37.101;
75; 37122865; 37.123;
76; 36400052; 36.400;
77; 36051176; 36.051;
78; 36882601; 36.883;
79; 37267608; 37.268;
80; 37178329; 37.178;
81; 37464078; 37.464;
82; 36130576; 36.131;
83; 38876829; 38.877;
84; 34326525; 34.327;
85; 39708677; 39.709;
86; 41667889; 41.668;
87; 37373246; 37.373;
88; 36938456; 36.938;
89; 34472972; 34.473;
