iteration; latency_ns; latency_ms;
1; 10249407337; 10249.407;
2; 9427999612; 9428.000;
3; 10007876694; 10007.877;
4; 9532074373; 9532.074;
5; 9796148910; 9796.149;
6; 9516228747; 9516.229;
7; 10842330784; 10842.331;
8; 9923985394; 9923.985;
9; 11075950663; 11075.951;
10; 9258493010; 9258.493;
11; 9893594072; 9893.594;
12; 9999240199; 9999.240;
13; 9409898283; 9409.898;
14; 9474227670; 9474.228;
15; 10487998130; 10487.998;
16; 9562915971; 9562.916;
17; 10189002504; 10189.003;
18; 10707615815; 10707.616;
19; 9648133639; 9648.134;
20; 8499345343; 8499.345;
21; 9836148028; 9836.148;
22; 8743719761; 8743.720;
23; 9831853262; 9831.853;
24; 9329376477; 9329.376;
25; 9481949213; 9481.949;
26; 11895993515; 11895.994;
27; 11694438111; 11694.438;
28; 9709793581; 9709.794;
29; 9435666758; 9435.667;
30; 12301880600; 12301.881;
31; 9112821437; 9112.821;
32; 8894903345; 8894.903;
33; 12324451799; 12324.452;
34; 9898388479; 9898.388;
35; 8923852576; 8923.853;
36; 11053313579; 11053.314;
37; 9707745164; 9707.745;
38; 10800004625; 10800.005;
39; 10264057287; 10264.057;
40; 10560123274; 10560.123;
41; 9707739654; 9707.740;
42; 9126304597; 9126.305;
43; 10779561720; 10779.562;
44; 9506723336; 9506.723;
45; 9797490735; 9797.491;
46; 11245666912; 11245.667;
47; 9083158910; 9083.159;
48; 9887996435; 9887.996;
49; 9753089927; 9753.090;
50; 9824111388; 9824.111;
