iteration; latency_ns; latency_ms;
1; 14048617; 14.049;
2; 11848792; 11.849;
3; 10819471; 10.819;
4; 10362690; 10.363;
5; 9714288; 9.714;
6; 9651240; 9.651;
7; 10526579; 10.527;
8; 8864677; 8.865;
9; 11415926; 11.416;
10; 11023617; 11.024;
11; 12483658; 12.484;
12; 9298916; 9.299;
13; 8006900; 8.007;
14; 10034182; 10.034;
15; 9003288; 9.003;
16; 8554862; 8.555;
17; 8245569; 8.246;
18; 8557480; 8.557;
19; 8422503; 8.423;
20; 8666524; 8.667;
21; 9060807; 9.061;
22; 9966154; 9.966;
23; 9090633; 9.091;
24; 9484176; 9.484;
25; 8749630; 8.750;
26; 8071100; 8.071;
27; 8400604; 8.401;
28; 7517157; 7.517;
29; 7023297; 7.023;
30; 6924350; 6.924;
31; 7238943; 7.239;
32; 7008237; 7.008;
33; 7445173; 7.445;
34; 8458803; 8.459;
35; 7816672; 7.817;
36; 7657963; 7.658;
37; 7272958; 7.273;
38; 7178910; 7.179;
39; 7191814; 7.192;
40; 7180963; 7.181;
41; 6958485; 6.958;
42; 7142451; 7.142;
43; 7264212; 7.264;
44; 7126451; 7.126;
45; 7146769; 7.147;
46; 9849333; 9.849;
47; 7878338; 7.878;
48; 7387384; 7.387;
49; 6936924; 6.937;
50; 7473845; 7.474;
51; 9809116; 9.809;
52; 9751449; 9.751;
53; 8185948; 8.186;
54; 7975091; 7.975;
55; 9135928; 9.136;
56; 8361319; 8.361;
57; 8917135; 8.917;
58; 8645655; 8.646;
59; 8363072; 8.363;
60; 10273202; 10.273;
61; 9668021; 9.668;
62; 8467309; 8.467;
63; 8884325; 8.884;
64; 7874501; 7.875;
65; 7366263; 7.366;
66; 13102614; 13.103;
67; 9011474; 9.011;
68; 8607512; 8.608;
69; 7706654; 7.707;
70; 7484486; 7.484;
71; 8466427; 8.466;
72; 7865875; 7.866;
73; 8344005; 8.344;
74; 10280596; 10.281;
75; 8482859; 8.483;
76; 8071072; 8.071;
77; 8461988; 8.462;
78; 10235040; 10.235;
79; 9439622; 9.440;
80; 8093904; 8.094;
81; 9024798; 9.025;
82; 8670120; 8.670;
83; 8075390; 8.075;
84; 7781005; 7.781;
85; 9168900; 9.169;
86; 7737783; 7.738;
87; 7002547; 7.003;
88; 6746556; 6.747;
89; 6740855; 6.741;
90; 6862594; 6.863;
91; 6824501; 6.825;
92; 7483103; 7.483;
93; 7277576; 7.278;
94; 7075254; 7.075;
95; 7129416; 7.129;
96; 6959737; 6.960;
97; 6894725; 6.895;
98; 6874035; 6.874;
99; 7382515; 7.383;
100; 7377635; 7.378;
101; 7398163; 7.398;
102; 6970257; 6.970;
103; 7277485; 7.277;
104; 7157068; 7.157;
105; 7320837; 7.321;
106; 9113455; 9.113;
107; 7697948; 7.698;
108; 24554739; 24.555;
109; 14420890; 14.421;
110; 25020336; 25.020;
111; 10213079; 10.213;
112; 9654136; 9.654;
113; 10173073; 10.173;
114; 8897511; 8.898;
115; 8337544; 8.338;
116; 8062676; 8.063;
117; 9099719; 9.100;
118; 9827262; 9.827;
119; 8279975; 8.280;
120; 8489631; 8.490;
121; 9089432; 9.089;
122; 10009114; 10.009;
123; 7993906; 7.994;
124; 8700778; 8.701;
125; 8182501; 8.183;
126; 10090508; 10.091;
127; 8856643; 8.857;
128; 9100191; 9.100;
129; 7994888; 7.995;
130; 9065556; 9.066;
131; 7186784; 7.187;
132; 8183744; 8.184;
133; 7527125; 7.527;
134; 6879616; 6.880;
135; 6639674; 6.640;
136; 8112169; 8.112;
137; 7470420; 7.470;
138; 6798783; 6.799;
139; 8751634; 8.752;
140; 8550967; 8.551;
141; 7921109; 7.921;
142; 8872342; 8.872;
143; 8636656; 8.637;
144; 8836845; 8.837;
145; 10065161; 10.065;
146; 8436279; 8.436;
147; 7628717; 7.629;
148; 7678021; 7.678;
149; 7737333; 7.737;
150; 9250134; 9.250;
151; 7603961; 7.604;
152; 7688550; 7.689;
153; 8313167; 8.313;
154; 9210830; 9.211;
155; 8024715; 8.025;
156; 7682480; 7.682;
157; 8475955; 8.476;
158; 7779743; 7.780;
159; 7587470; 7.587;
160; 7673984; 7.674;
161; 8548732; 8.549;
162; 8180438; 8.180;
163; 6940661; 6.941;
164; 9260925; 9.261;
165; 8857133; 8.857;
166; 7829065; 7.829;
167; 7753382; 7.753;
168; 8635816; 8.636;
169; 8146063; 8.146;
170; 7823073; 7.823;
171; 8631999; 8.632;
172; 8472116; 8.472;
173; 10047796; 10.048;
174; 9256405; 9.256;
175; 7820990; 7.821;
176; 7166797; 7.167;
177; 9529850; 9.530;
178; 8475234; 8.475;
179; 9730399; 9.730;
180; 8593396; 8.593;
181; 8984092; 8.984;
182; 8325951; 8.326;
183; 7738815; 7.739;
184; 8327043; 8.327;
185; 10018763; 10.019;
186; 7688412; 7.688;
187; 7790113; 7.790;
188; 9029277; 9.029;
189; 7642113; 7.642;
190; 8137398; 8.137;
