iteration; latency_ns; latency_ms;
1; 1044808264; 1044.808;
2; 11218266; 11.218;
3; 10875361; 10.875;
4; 10684762; 10.685;
5; 12084009; 12.084;
6; 10521404; 10.521;
7; 12177503; 12.178;
8; 11253032; 11.253;
9; 9232075; 9.232;
10; 8833194; 8.833;
11; 10195420; 10.195;
12; 10540380; 10.540;
13; 9641987; 9.642;
14; 11621427; 11.621;
15; 8642334; 8.642;
16; 9341871; 9.342;
17; 9128480; 9.128;
18; 8562584; 8.563;
19; 9231233; 9.231;
20; 8506278; 8.506;
21; 8504965; 8.505;
22; 8332990; 8.333;
23; 8322831; 8.323;
24; 7847356; 7.847;
25; 9087442; 9.087;
26; 8167480; 8.167;
27; 8740118; 8.740;
28; 10797344; 10.797;
29; 8485937; 8.486;
30; 8546844; 8.547;
31; 8985369; 8.985;
32; 8731852; 8.732;
33; 9180617; 9.181;
34; 9976417; 9.976;
35; 10447543; 10.448;
36; 10086203; 10.086;
37; 9787541; 9.788;
38; 8578923; 8.579;
39; 7947054; 7.947;
40; 7976558; 7.977;
41; 8153673; 8.154;
42; 8341216; 8.341;
43; 9230501; 9.231;
44; 8812584; 8.813;
45; 9751994; 9.752;
46; 8234866; 8.235;
47; 8810720; 8.811;
48; 8674434; 8.674;
49; 10258869; 10.259;
50; 9523193; 9.523;
51; 8056219; 8.056;
52; 8063742; 8.064;
53; 7691522; 7.692;
54; 8761748; 8.762;
55; 8217312; 8.217;
56; 8605324; 8.605;
57; 8487652; 8.488;
58; 8665968; 8.666;
59; 8285992; 8.286;
60; 8464848; 8.465;
61; 10162889; 10.163;
62; 8791565; 8.792;
63; 8187668; 8.188;
64; 7534927; 7.535;
65; 7792233; 7.792;
66; 7562759; 7.563;
67; 8340555; 8.341;
68; 7744262; 7.744;
69; 8108238; 8.108;
70; 7524226; 7.524;
71; 9177833; 9.178;
72; 8393905; 8.394;
73; 8969590; 8.970;
74; 10533668; 10.534;
75; 8363869; 8.364;
76; 8618257; 8.618;
77; 8632224; 8.632;
78; 8689333; 8.689;
79; 7572318; 7.572;
80; 8230518; 8.231;
81; 9377118; 9.377;
82; 8853651; 8.854;
83; 8014741; 8.015;
84; 7883063; 7.883;
85; 8168390; 8.168;
86; 9298769; 9.299;
87; 9071732; 9.072;
88; 9048178; 9.048;
89; 7979135; 7.979;
90; 7821156; 7.821;
91; 9380514; 9.381;
92; 8131330; 8.131;
93; 8053264; 8.053;
94; 7801950; 7.802;
95; 7765051; 7.765;
96; 8178318; 8.178;
97; 8284238; 8.284;
98; 9514107; 9.514;
99; 9455506; 9.456;
100; 9133399; 9.133;
101; 8464469; 8.464;
102; 7974145; 7.974;
103; 8537446; 8.537;
104; 8924956; 8.925;
105; 8085936; 8.086;
106; 8615262; 8.615;
107; 8010251; 8.010;
108; 8988367; 8.988;
109; 9613394; 9.613;
110; 8541434; 8.541;
111; 9982147; 9.982;
112; 8407441; 8.407;
113; 8523660; 8.524;
114; 7795247; 7.795;
115; 8099119; 8.099;
116; 8475489; 8.475;
117; 9118732; 9.119;
118; 9515178; 9.515;
119; 9000959; 9.001;
120; 8593562; 8.594;
121; 8221110; 8.221;
122; 7931915; 7.932;
123; 8215830; 8.216;
124; 7779518; 7.780;
125; 9478198; 9.478;
126; 9175308; 9.175;
127; 8496098; 8.496;
128; 10498140; 10.498;
129; 9874536; 9.875;
130; 9219300; 9.219;
131; 7866622; 7.867;
132; 8747091; 8.747;
133; 7975657; 7.976;
134; 8327891; 8.328;
135; 8761168; 8.761;
136; 8947939; 8.948;
137; 8666188; 8.666;
138; 10609700; 10.610;
139; 8908614; 8.909;
140; 8200771; 8.201;
141; 8687058; 8.687;
142; 8348169; 8.348;
143; 9624966; 9.625;
144; 8549178; 8.549;
145; 8213114; 8.213;
146; 7963074; 7.963;
147; 8904027; 8.904;
148; 9380815; 9.381;
149; 8745667; 8.746;
150; 9850641; 9.851;
151; 8829216; 8.829;
152; 8899308; 8.899;
153; 9870467; 9.870;
154; 9412174; 9.412;
155; 9388801; 9.389;
156; 9988038; 9.988;
157; 9610749; 9.611;
158; 8831320; 8.831;
159; 8525263; 8.525;
160; 10179489; 10.179;
161; 10596977; 10.597;
162; 8546722; 8.547;
163; 9329027; 9.329;
164; 9237605; 9.238;
165; 9096309; 9.096;
166; 10223452; 10.223;
167; 9670050; 9.670;
168; 9900624; 9.901;
169; 9645063; 9.645;
170; 9302859; 9.303;
171; 10141578; 10.142;
172; 9800106; 9.800;
173; 8577231; 8.577;
174; 8675466; 8.675;
175; 8361864; 8.362;
176; 8711985; 8.712;
177; 8686898; 8.687;
178; 8562063; 8.562;
179; 7991137; 7.991;
180; 8627134; 8.627;
181; 8463857; 8.464;
182; 9147676; 9.148;
183; 10616112; 10.616;
184; 8381984; 8.382;
185; 7923860; 7.924;
186; 9073255; 9.073;
187; 9585871; 9.586;
188; 8866204; 8.866;
189; 9003364; 9.003;
190; 9820924; 9.821;
191; 8751480; 8.751;
192; 8673993; 8.674;
193; 9362039; 9.362;
194; 8033517; 8.034;
195; 7655044; 7.655;
196; 8122665; 8.123;
197; 9236303; 9.236;
198; 7755362; 7.755;
199; 7572006; 7.572;
200; 7578379; 7.578;
201; 7892381; 7.892;
202; 9824952; 9.825;
203; 9134591; 9.135;
204; 8560540; 8.561;
205; 8964971; 8.965;
