iteration; latency_ns; latency_ms;
1; 1779773650; 1779.774;
2; 17534913; 17.535;
3; 13765944; 13.766;
4; 13738782; 13.739;
5; 12159827; 12.160;
6; 12465483; 12.465;
7; 12580430; 12.580;
8; 12960766; 12.961;
9; 12337673; 12.338;
10; 11436525; 11.437;
11; 14301353; 14.301;
12; 14354852; 14.355;
13; 12779715; 12.780;
14; 11319615; 11.320;
15; 12782550; 12.783;
16; 11900469; 11.900;
17; 13227749; 13.228;
18; 15340289; 15.340;
19; 13153458; 13.153;
20; 13170021; 13.170;
21; 12668485; 12.668;
22; 11429852; 11.430;
23; 11967765; 11.968;
24; 11752179; 11.752;
25; 13695551; 13.696;
26; 11178820; 11.179;
27; 10678638; 10.679;
28; 11093299; 11.093;
29; 10476186; 10.476;
30; 11904206; 11.904;
31; 11978306; 11.978;
32; 12540125; 12.540;
33; 11479106; 11.479;
34; 11164391; 11.164;
35; 12091490; 12.091;
36; 11965852; 11.966;
37; 12772231; 12.772;
38; 11674863; 11.675;
39; 13310475; 13.310;
40; 13095761; 13.096;
41; 10843306; 10.843;
42; 11594072; 11.594;
43; 10096220; 10.096;
44; 10559703; 10.560;
45; 13287633; 13.288;
46; 12226873; 12.227;
47; 11475438; 11.475;
48; 11194330; 11.194;
49; 12846580; 12.847;
50; 13927608; 13.928;
51; 14575368; 14.575;
52; 12448872; 12.449;
53; 10703234; 10.703;
54; 12623962; 12.624;
55; 12174105; 12.174;
56; 11596335; 11.596;
57; 11306460; 11.306;
58; 11832181; 11.832;
59; 10052146; 10.052;
60; 11750256; 11.750;
61; 11265142; 11.265;
62; 11988585; 11.989;
63; 12568677; 12.569;
64; 11995849; 11.996;
65; 13377932; 13.378;
66; 10740523; 10.741;
67; 10687775; 10.688;
68; 10669571; 10.670;
69; 11094300; 11.094;
70; 12140160; 12.140;
71; 10978372; 10.978;
72; 11030050; 11.030;
73; 11089411; 11.089;
74; 10426591; 10.427;
75; 12072974; 12.073;
76; 11981742; 11.982;
77; 12124391; 12.124;
78; 11494724; 11.495;
79; 10642259; 10.642;
80; 12403586; 12.404;
81; 11783047; 11.783;
82; 11333331; 11.333;
83; 11889638; 11.890;
84; 12541717; 12.542;
85; 10665762; 10.666;
86; 10572086; 10.572;
87; 11621103; 11.621;
88; 11180753; 11.181;
89; 12261529; 12.262;
90; 11372745; 11.373;
91; 9623529; 9.624;
92; 11613078; 11.613;
93; 11317521; 11.318;
94; 11851637; 11.852;
