iteration; latency_ns; latency_ms;
1; 10121037; 10.121;
2; 2187634; 2.188;
3; 2400336; 2.400;
4; 2256434; 2.256;
5; 2701184; 2.701;
6; 2972848; 2.973;
7; 2158559; 2.159;
8; 2199306; 2.199;
9; 2483463; 2.483;
10; 2474336; 2.474;
11; 3238590; 3.239;
12; 2901263; 2.901;
13; 2730941; 2.731;
14; 2148911; 2.149;
15; 2600194; 2.600;
16; 2759305; 2.759;
17; 3392802; 3.393;
18; 2388604; 2.389;
19; 2682148; 2.682;
20; 2819829; 2.820;
21; 2635611; 2.636;
22; 2513820; 2.514;
23; 2931901; 2.932;
24; 2211239; 2.211;
25; 2740519; 2.741;
26; 2465229; 2.465;
27; 2324984; 2.325;
28; 3088737; 3.089;
29; 2864894; 2.865;
30; 2704130; 2.704;
31; 2424291; 2.424;
32; 2417338; 2.417;
33; 2612276; 2.612;
34; 2276702; 2.277;
35; 3164039; 3.164;
36; 2461732; 2.462;
37; 2570508; 2.571;
38; 2549798; 2.550;
39; 2899870; 2.900;
40; 2782789; 2.783;
41; 3617146; 3.617;
42; 2505315; 2.505;
43; 2547103; 2.547;
44; 2317249; 2.317;
45; 2645941; 2.646;
46; 2098636; 2.099;
47; 3303323; 3.303;
48; 2435753; 2.436;
49; 3051356; 3.051;
50; 2700764; 2.701;
51; 2835899; 2.836;
52; 2989470; 2.989;
53; 2661921; 2.662;
54; 2868070; 2.868;
55; 2458095; 2.458;
56; 2483954; 2.484;
57; 2425243; 2.425;
58; 3622225; 3.622;
59; 2754074; 2.754;
60; 2601726; 2.602;
61; 2684282; 2.684;
62; 2721584; 2.722;
63; 2390117; 2.390;
64; 3434521; 3.435;
65; 2443217; 2.443;
66; 2548436; 2.548;
67; 2617747; 2.618;
68; 2544919; 2.545;
69; 2213964; 2.214;
70; 2991063; 2.991;
71; 2247557; 2.248;
72; 2509122; 2.509;
73; 2129154; 2.129;
74; 2184308; 2.184;
75; 1944835; 1.945;
76; 2647793; 2.648;
77; 2192754; 2.193;
78; 2260352; 2.260;
79; 2246485; 2.246;
80; 2707797; 2.708;
81; 2479185; 2.479;
82; 2071535; 2.072;
83; 2723647; 2.724;
84; 2145675; 2.146;
85; 2835519; 2.836;
86; 2253458; 2.253;
87; 2539238; 2.539;
88; 2527376; 2.527;
89; 3267715; 3.268;
90; 3133231; 3.133;
91; 2447826; 2.448;
92; 2588602; 2.589;
93; 2666489; 2.666;
94; 2644477; 2.644;
95; 2464668; 2.465;
96; 2451252; 2.451;
97; 2981975; 2.982;
98; 2915520; 2.916;
99; 2615443; 2.615;
100; 2404965; 2.405;
101; 3481569; 3.482;
102; 2630451; 2.630;
103; 2612457; 2.612;
104; 2544869; 2.545;
105; 2778681; 2.779;
106; 2640169; 2.640;
107; 2779403; 2.779;
108; 2309163; 2.309;
109; 2835809; 2.836;
110; 2865806; 2.866;
111; 2574224; 2.574;
112; 2305046; 2.305;
113; 3676318; 3.676;
114; 2915740; 2.916;
115; 2748534; 2.749;
116; 2599192; 2.599;
117; 2412108; 2.412;
118; 2556091; 2.556;
119; 3111109; 3.111;
120; 2549668; 2.550;
121; 2883779; 2.884;
122; 2604161; 2.604;
123; 2132329; 2.132;
124; 3420163; 3.420;
125; 2640159; 2.640;
126; 2058130; 2.058;
127; 2369558; 2.370;
128; 2556842; 2.557;
129; 2580046; 2.580;
130; 1947080; 1.947;
131; 2992615; 2.993;
132; 2719609; 2.720;
133; 2577591; 2.578;
134; 2310166; 2.310;
135; 2843804; 2.844;
136; 3081404; 3.081;
137; 2710662; 2.711;
138; 2212962; 2.213;
139; 2321116; 2.321;
140; 1971566; 1.972;
141; 2273406; 2.273;
142; 2563905; 2.564;
143; 2796524; 2.797;
144; 2139813; 2.140;
145; 2998647; 2.999;
146; 2772769; 2.773;
147; 2717475; 2.717;
148; 3067697; 3.068;
149; 2541914; 2.542;
150; 2648425; 2.648;
151; 2896764; 2.897;
152; 2231226; 2.231;
153; 3121880; 3.122;
154; 2468124; 2.468;
155; 2995220; 2.995;
156; 2223521; 2.224;
157; 2682098; 2.682;
158; 2321878; 2.322;
159; 2229904; 2.230;
160; 2592148; 2.592;
161; 3133111; 3.133;
162; 3154962; 3.155;
163; 2708278; 2.708;
164; 2581859; 2.582;
165; 2705763; 2.706;
166; 2990361; 2.990;
167; 2545541; 2.546;
168; 1751380; 1.751;
169; 2463386; 2.463;
170; 2824287; 2.824;
171; 2509502; 2.510;
172; 2242087; 2.242;
173; 3816983; 3.817;
174; 2619801; 2.620;
175; 2620282; 2.620;
176; 2705202; 2.705;
177; 2762951; 2.763;
178; 3258107; 3.258;
179; 2578613; 2.579;
180; 2391830; 2.392;
181; 2922343; 2.922;
182; 2613859; 2.614;
183; 2577861; 2.578;
184; 3021740; 3.022;
185; 2235445; 2.235;
186; 2883119; 2.883;
187; 2739497; 2.739;
188; 2668864; 2.669;
189; 2585957; 2.586;
190; 3256294; 3.256;
191; 2471590; 2.472;
192; 1765827; 1.766;
193; 2081013; 2.081;
194; 1942831; 1.943;
195; 2654256; 2.654;
196; 3382411; 3.382;
197; 2949675; 2.950;
198; 2018594; 2.019;
199; 2095861; 2.096;
200; 1812195; 1.812;
201; 2174840; 2.175;
202; 2101280; 2.101;
203; 2895061; 2.895;
204; 2118784; 2.119;
205; 1894740; 1.895;
206; 2028613; 2.029;
207; 2146517; 2.147;
208; 2088347; 2.088;
209; 2032601; 2.033;
210; 2874973; 2.875;
211; 3325785; 3.326;
212; 1840137; 1.840;
213; 2065263; 2.065;
214; 2455520; 2.456;
215; 2497750; 2.498;
216; 2196852; 2.197;
217; 2928414; 2.928;
218; 2334051; 2.334;
219; 2425844; 2.426;
220; 1779092; 1.779;
221; 2227269; 2.227;
222; 1917524; 1.918;
223; 2045715; 2.046;
224; 3002604; 3.003;
225; 2373956; 2.374;
226; 2082806; 2.083;
227; 2219595; 2.220;
228; 1763984; 1.764;
229; 2689232; 2.689;
230; 1887607; 1.888;
231; 2739777; 2.740;
232; 2337437; 2.337;
233; 2079681; 2.080;
234; 2175341; 2.175;
235; 1886885; 1.887;
236; 2633276; 2.633;
237; 2951778; 2.952;
238; 2886134; 2.886;
239; 2813406; 2.813;
240; 2144973; 2.145;
241; 2428870; 2.429;
242; 2527536; 2.528;
243; 2178717; 2.179;
244; 2766197; 2.766;
245; 2588722; 2.589;
246; 2735128; 2.735;
247; 2774263; 2.774;
248; 2535972; 2.536;
249; 2452505; 2.453;
250; 2764875; 2.765;
251; 2773121; 2.773;
252; 2742082; 2.742;
253; 2451352; 2.451;
254; 2158969; 2.159;
255; 2220096; 2.220;
256; 3132209; 3.132;
257; 2271532; 2.272;
258; 2032992; 2.033;
259; 1993698; 1.994;
260; 2664275; 2.664;
261; 2198875; 2.199;
262; 2932492; 2.932;
263; 13094174; 13.094;
264; 2646271; 2.646;
265; 3225465; 3.225;
266; 2099688; 2.100;
267; 2339992; 2.340;
268; 2376551; 2.377;
269; 2065654; 2.066;
270; 2318502; 2.319;
271; 3104546; 3.105;
272; 2663183; 2.663;
273; 3070352; 3.070;
274; 2474646; 2.475;
275; 2210287; 2.210;
276; 2317970; 2.318;
277; 2468525; 2.469;
278; 2859604; 2.860;
279; 2102263; 2.102;
280; 2520984; 2.521;
281; 2642594; 2.643;
282; 2394555; 2.395;
283; 2906202; 2.906;
284; 2756690; 2.757;
285; 2468164; 2.468;
286; 1944404; 1.944;
287; 2374958; 2.375;
288; 2493172; 2.493;
289; 2721854; 2.722;
290; 3197513; 3.198;
291; 2165473; 2.165;
292; 2515042; 2.515;
293; 2241446; 2.241;
294; 2666429; 2.666;
295; 2615353; 2.615;
296; 2655999; 2.656;
297; 1886746; 1.887;
298; 2239131; 2.239;
299; 2374116; 2.374;
300; 2621183; 2.621;
301; 2389786; 2.390;
302; 2183436; 2.183;
303; 2958331; 2.958;
304; 2423460; 2.423;
305; 2295528; 2.296;
306; 2515604; 2.516;
307; 2475718; 2.476;
308; 2567823; 2.568;
309; 3349379; 3.349;
310; 1796846; 1.797;
311; 2657191; 2.657;
312; 2274438; 2.274;
313; 2480237; 2.480;
314; 2186653; 2.187;
315; 2341264; 2.341;
316; 2433879; 2.434;
317; 2629970; 2.630;
318; 2629168; 2.629;
319; 2564386; 2.564;
320; 2053871; 2.054;
321; 2865074; 2.865;
322; 3077606; 3.078;
323; 3249080; 3.249;
324; 2458686; 2.459;
325; 1933775; 1.934;
326; 2575818; 2.576;
327; 2834977; 2.835;
328; 2618408; 2.618;
329; 2765095; 2.765;
330; 2691015; 2.691;
331; 2144673; 2.145;
332; 2473263; 2.473;
333; 2542655; 2.543;
334; 2966155; 2.966;
335; 2431675; 2.432;
336; 2530322; 2.530;
337; 2611495; 2.611;
338; 2686417; 2.686;
339; 2368926; 2.369;
340; 3128162; 3.128;
341; 2346814; 2.347;
342; 2598510; 2.599;
343; 2607237; 2.607;
344; 2522967; 2.523;
345; 3233971; 3.234;
346; 2622837; 2.623;
347; 2525823; 2.526;
348; 2462093; 2.462;
349; 2492570; 2.493;
350; 13227266; 13.227;
351; 2338149; 2.338;
352; 3221076; 3.221;
353; 2916041; 2.916;
354; 2221959; 2.222;
355; 2562212; 2.562;
356; 2206620; 2.207;
357; 2747612; 2.748;
358; 2859754; 2.860;
359; 3852961; 3.853;
360; 3171914; 3.172;
361; 2368967; 2.369;
362; 2410936; 2.411;
363; 2775926; 2.776;
364; 2055644; 2.056;
365; 3292592; 3.293;
366; 2530943; 2.531;
367; 2231507; 2.232;
368; 2402110; 2.402;
369; 2509562; 2.510;
370; 2066205; 2.066;
371; 2845717; 2.846;
372; 2092724; 2.093;
373; 2470028; 2.470;
374; 2526986; 2.527;
375; 2453006; 2.453;
376; 2838835; 2.839;
377; 3110478; 3.110;
378; 2139664; 2.140;
379; 2527166; 2.527;
380; 2303212; 2.303;
381; 2760307; 2.760;
382; 2261053; 2.261;
383; 2370620; 2.371;
384; 2371070; 2.371;
385; 2550079; 2.550;
386; 2579154; 2.579;
387; 3587479; 3.587;
388; 1898278; 1.898;
389; 2263247; 2.263;
390; 2669264; 2.669;
391; 2564717; 2.565;
392; 2342336; 2.342;
393; 2511676; 2.512;
394; 2444730; 2.445;
395; 2005480; 2.005;
396; 3225655; 3.226;
397; 1866006; 1.866;
398; 2883499; 2.883;
399; 2191411; 2.191;
400; 2795212; 2.795;
401; 2684603; 2.685;
402; 3001843; 3.002;
403; 2419072; 2.419;
404; 2021330; 2.021;
405; 2161335; 2.161;
406; 2126268; 2.126;
407; 2659747; 2.660;
408; 3280880; 3.281;
409; 2941880; 2.942;
410; 2761328; 2.761;
411; 2433338; 2.433;
412; 2169039; 2.169;
413; 2448848; 2.449;
414; 3167937; 3.168;
415; 2435382; 2.435;
416; 2747873; 2.748;
417; 2106591; 2.107;
418; 2119585; 2.120;
419; 2523288; 2.523;
420; 2438679; 2.439;
421; 2891424; 2.891;
422; 2365470; 2.365;
423; 2260291; 2.260;
424; 2567812; 2.568;
425; 2717135; 2.717;
426; 2657682; 2.658;
427; 3253057; 3.253;
428; 2386349; 2.386;
429; 2621313; 2.621;
430; 2269529; 2.270;
431; 2346464; 2.346;
432; 2630701; 2.631;
433; 2948582; 2.949;
434; 2472913; 2.473;
435; 2266253; 2.266;
436; 2592730; 2.593;
437; 2654677; 2.655;
438; 2518059; 2.518;
439; 2866998; 2.867;
440; 2190530; 2.191;
441; 2567322; 2.567;
442; 2106341; 2.106;
443; 2456071; 2.456;
444; 2660948; 2.661;
445; 2270300; 2.270;
446; 2771718; 2.772;
447; 2372964; 2.373;
448; 2972147; 2.972;
449; 2284377; 2.284;
450; 2424271; 2.424;
451; 2604612; 2.605;
452; 2618048; 2.618;
453; 2274518; 2.275;
454; 2449088; 2.449;
455; 2111831; 2.112;
456; 2459338; 2.459;
457; 2276752; 2.277;
458; 3087374; 3.087;
459; 2700073; 2.700;
460; 3096731; 3.097;
461; 2403392; 2.403;
462; 2560198; 2.560;
463; 2521665; 2.522;
464; 2675816; 2.676;
465; 2203084; 2.203;
466; 1886295; 1.886;
467; 2587009; 2.587;
468; 2283656; 2.284;
469; 2716193; 2.716;
470; 2839325; 2.839;
471; 2822584; 2.823;
472; 3148500; 3.148;
473; 2461652; 2.462;
474; 2407008; 2.407;
475; 2515524; 2.516;
476; 3045485; 3.045;
477; 2286431; 2.286;
478; 2345853; 2.346;
479; 2551943; 2.552;
480; 2155463; 2.155;
481; 2578933; 2.579;
482; 2234453; 2.234;
483; 3001442; 3.001;
484; 2979711; 2.980;
485; 2759404; 2.759;
486; 2595064; 2.595;
487; 2706264; 2.706;
488; 3666558; 3.667;
489; 2597759; 2.598;
490; 2136377; 2.136;
491; 2364849; 2.365;
492; 2623828; 2.624;
493; 2678682; 2.679;
494; 2636142; 2.636;
495; 2629669; 2.630;
496; 2559346; 2.559;
497; 2082485; 2.082;
498; 1919528; 1.920;
499; 3550700; 3.551;
500; 2671468; 2.671;
