iteration; latency_ns; latency_ms;
1; 1718845026; 1718.845;
2; 32446026; 32.446;
3; 89273061; 89.273;
4; 94361517; 94.362;
5; 85772036; 85.772;
6; 99263792; 99.264;
7; 109359581; 109.360;
8; 64156995; 64.157;
9; 87217087; 87.217;
10; 54936824; 54.937;
11; 152886082; 152.886;
12; 104042444; 104.042;
13; 47132272; 47.132;
14; 121987150; 121.987;
15; 112210772; 112.211;
16; 108735607; 108.736;
17; 87871581; 87.872;
18; 155150827; 155.151;
19; 117953352; 117.953;
20; 44647450; 44.647;
21; 97423604; 97.424;
22; 96390439; 96.390;
23; 110833737; 110.834;
24; 127288607; 127.289;
25; 70683359; 70.683;
26; 107239187; 107.239;
27; 91789251; 91.789;
28; 55647183; 55.647;
29; 112631645; 112.632;
30; 89255147; 89.255;
31; 92321464; 92.321;
32; 112388577; 112.389;
33; 75303773; 75.304;
34; 110769678; 110.770;
35; 79252863; 79.253;
36; 112824018; 112.824;
37; 107595108; 107.595;
38; 58993157; 58.993;
39; 120525987; 120.526;
40; 83738755; 83.739;
41; 102861951; 102.862;
42; 79810654; 79.811;
43; 108249630; 108.250;
44; 159692322; 159.692;
45; 100911066; 100.911;
46; 77306968; 77.307;
47; 89524865; 89.525;
48; 141610800; 141.611;
49; 135225620; 135.226;
50; 78587039; 78.587;
51; 61787813; 61.788;
52; 112389961; 112.390;
53; 84776589; 84.777;
54; 96113147; 96.113;
55; 101202946; 101.203;
56; 89737776; 89.738;
57; 93239062; 93.239;
58; 53422522; 53.423;
59; 113935453; 113.935;
60; 96718087; 96.718;
61; 88495866; 88.496;
62; 130064637; 130.065;
63; 115707872; 115.708;
64; 120481564; 120.482;
65; 106896791; 106.897;
66; 150892946; 150.893;
67; 125437350; 125.437;
68; 133499478; 133.499;
69; 100529557; 100.530;
70; 105113743; 105.114;
71; 106259823; 106.260;
72; 125999339; 125.999;
73; 124710280; 124.710;
74; 100107311; 100.107;
75; 114794571; 114.795;
76; 64091733; 64.092;
77; 68171397; 68.171;
78; 124633787; 124.634;
79; 113824984; 113.825;
80; 117706166; 117.706;
81; 129172907; 129.173;
82; 105996857; 105.997;
83; 106037063; 106.037;
84; 84677423; 84.677;
85; 180248930; 180.249;
86; 107709323; 107.709;
87; 60746971; 60.747;
88; 85299996; 85.300;
89; 112711025; 112.711;
90; 114359592; 114.360;
91; 113887472; 113.887;
92; 122233745; 122.234;
93; 106713938; 106.714;
94; 141521231; 141.521;
95; 101852430; 101.852;
96; 102396465; 102.396;
97; 35439384; 35.439;
