iteration; latency_ns; latency_ms;
1; 942832244; 942.832;
2; 12357924; 12.358;
3; 10381468; 10.381;
4; 9835681; 9.836;
5; 9934635; 9.935;
6; 8768332; 8.768;
7; 8376775; 8.377;
8; 8378690; 8.379;
9; 10274706; 10.275;
10; 9343825; 9.344;
11; 8192289; 8.192;
12; 8878701; 8.879;
13; 7868530; 7.869;
14; 8637948; 8.638;
15; 8831592; 8.832;
16; 8336951; 8.337;
17; 8896755; 8.897;
18; 7949783; 7.950;
19; 8923205; 8.923;
20; 9029916; 9.030;
21; 15057000; 15.057;
22; 20241644; 20.242;
23; 19428744; 19.429;
24; 9384251; 9.384;
25; 9554683; 9.555;
26; 7859793; 7.860;
27; 7820980; 7.821;
28; 7548098; 7.548;
29; 8502493; 8.502;
30; 8638568; 8.639;
31; 9168194; 9.168;
32; 10203031; 10.203;
33; 8421060; 8.421;
34; 10048039; 10.048;
35; 9788631; 9.789;
36; 8965844; 8.966;
37; 8526719; 8.527;
38; 8853754; 8.854;
39; 8963370; 8.963;
40; 10117210; 10.117;
41; 9088625; 9.089;
42; 9657955; 9.658;
43; 7945535; 7.946;
44; 7899138; 7.899;
45; 8117599; 8.118;
46; 7407653; 7.408;
47; 8114022; 8.114;
48; 7785244; 7.785;
49; 7720792; 7.721;
50; 10054712; 10.055;
51; 8366076; 8.366;
52; 7797967; 7.798;
53; 8693483; 8.693;
54; 8603352; 8.603;
55; 8121045; 8.121;
56; 9940218; 9.940;
57; 7828104; 7.828;
58; 9341810; 9.342;
59; 7908226; 7.908;
60; 9044823; 9.045;
61; 8368762; 8.369;
62; 7589505; 7.590;
63; 7621816; 7.622;
64; 7497712; 7.498;
65; 8494417; 8.494;
66; 9711346; 9.711;
67; 8138218; 8.138;
68; 8009706; 8.010;
69; 8846450; 8.846;
70; 8579618; 8.580;
71; 9066052; 9.066;
72; 9521340; 9.521;
73; 8977567; 8.978;
74; 8751651; 8.752;
75; 8922283; 8.922;
76; 9502324; 9.502;
77; 14404664; 14.405;
78; 8651623; 8.652;
79; 8006130; 8.006;
80; 7505368; 7.505;
81; 8143588; 8.144;
82; 8610897; 8.611;
83; 8422702; 8.423;
84; 9055132; 9.055;
85; 7675547; 7.676;
86; 7776476; 7.776;
87; 8283030; 8.283;
88; 8884161; 8.884;
89; 7919146; 7.919;
90; 9370345; 9.370;
91; 8744238; 8.744;
92; 8812866; 8.813;
93; 9060833; 9.061;
94; 9554082; 9.554;
95; 9207709; 9.208;
96; 9522172; 9.522;
97; 8640041; 8.640;
98; 8651353; 8.651;
99; 7817955; 7.818;
100; 10010269; 10.010;
101; 8657484; 8.657;
102; 9222257; 9.222;
103; 8600797; 8.601;
104; 8988707; 8.989;
105; 8106578; 8.107;
106; 8874924; 8.875;
107; 8613922; 8.614;
108; 8317635; 8.318;
109; 8824538; 8.825;
110; 8300432; 8.300;
111; 7824646; 7.825;
112; 9695407; 9.695;
113; 10040456; 10.040;
114; 9724893; 9.725;
115; 9804022; 9.804;
116; 8646643; 8.647;
117; 8697269; 8.697;
118; 8405029; 8.405;
119; 7781627; 7.782;
120; 8172512; 8.173;
121; 8725812; 8.726;
122; 9874093; 9.874;
123; 8848133; 8.848;
124; 8397244; 8.397;
125; 8635653; 8.636;
126; 9465784; 9.466;
127; 7957999; 7.958;
128; 8236183; 8.236;
129; 8476143; 8.476;
130; 7949483; 7.949;
131; 7992443; 7.992;
132; 8376726; 8.377;
133; 8014705; 8.015;
134; 7834216; 7.834;
135; 9198321; 9.198;
136; 9697440; 9.697;
137; 9609355; 9.609;
138; 8517140; 8.517;
139; 8288490; 8.288;
140; 8242824; 8.243;
141; 8304941; 8.305;
142; 8529233; 8.529;
143; 8212747; 8.213;
144; 7975712; 7.976;
145; 7769214; 7.769;
146; 8812426; 8.812;
147; 9162945; 9.163;
148; 9263265; 9.263;
149; 8447701; 8.448;
150; 8602841; 8.603;
151; 8183522; 8.184;
152; 8970223; 8.970;
153; 10543723; 10.544;
154; 8146874; 8.147;
155; 8088685; 8.089;
156; 7991823; 7.992;
157; 8045062; 8.045;
158; 7785845; 7.786;
159; 7687010; 7.687;
160; 7678663; 7.679;
161; 7665639; 7.666;
162; 8036145; 8.036;
163; 8156993; 8.157;
164; 8526979; 8.527;
165; 7846839; 7.847;
166; 8043399; 8.043;
167; 9358123; 9.358;
168; 8453040; 8.453;
169; 9234790; 9.235;
170; 8362840; 8.363;
171; 8279383; 8.279;
172; 8948793; 8.949;
173; 8663515; 8.664;
174; 8384702; 8.385;
175; 9194554; 9.195;
176; 10935949; 10.936;
177; 10614896; 10.615;
178; 8577554; 8.578;
179; 8374923; 8.375;
180; 9015909; 9.016;
