iteration; latency_ns; latency_ms;
1; 1627383013; 1627.383;
2; 6834751456; 6834.751;
3; 1673799403; 1673.799;
4; 1837609053; 1837.609;
5; 1633476692; 1633.477;
6; 939614587; 939.615;
7; 1526888878; 1526.889;
8; 967046773; 967.047;
9; 1570826967; 1570.827;
10; 1003198212; 1003.198;
11; 1371808620; 1371.809;
12; 1247233368; 1247.233;
13; 1032249815; 1032.250;
14; 1423629044; 1423.629;
15; 1090153073; 1090.153;
16; 1359471236; 1359.471;
17; 1176112154; 1176.112;
18; 1294079588; 1294.080;
19; 1210662877; 1210.663;
20; 1271987552; 1271.988;
