iteration; latency_ns; latency_ms;
1; 42663115; 42.663;
2; 39152550; 39.153;
3; 39474445; 39.474;
4; 36914273; 36.914;
5; 38160902; 38.161;
6; 38118431; 38.118;
7; 36808233; 36.808;
8; 36879828; 36.880;
9; 37843483; 37.843;
10; 36844500; 36.844;
11; 36652529; 36.653;
12; 35094674; 35.095;
13; 41175551; 41.176;
14; 36893112; 36.893;
15; 33199945; 33.200;
16; 34952927; 34.953;
17; 37558657; 37.559;
18; 35933605; 35.934;
19; 35329377; 35.329;
20; 36469725; 36.470;
21; 35866177; 35.866;
22; 34874409; 34.874;
23; 35656423; 35.656;
24; 34325974; 34.326;
25; 35565291; 35.565;
26; 37870403; 37.870;
27; 34175311; 34.175;
28; 34520422; 34.520;
29; 36141897; 36.142;
30; 34626082; 34.626;
31; 36332967; 36.333;
32; 35194962; 35.195;
33; 34877244; 34.877;
34; 34553112; 34.553;
35; 35556934; 35.557;
36; 34400376; 34.400;
37; 34211260; 34.211;
38; 34363798; 34.364;
39; 35683514; 35.684;
40; 33627520; 33.628;
41; 36215395; 36.215;
42; 34371321; 34.371;
43; 33816946; 33.817;
44; 32292024; 32.292;
45; 35637889; 35.638;
46; 32605493; 32.605;
47; 33159197; 33.159;
48; 33378481; 33.378;
49; 33566654; 33.567;
50; 31646577; 31.647;
51; 31885106; 31.885;
52; 32144307; 32.144;
53; 32272838; 32.273;
54; 32656401; 32.656;
55; 36323280; 36.323;
56; 34003938; 34.004;
57; 32327119; 32.327;
58; 34590153; 34.590;
59; 33651353; 33.651;
60; 34556490; 34.556;
61; 34531183; 34.531;
62; 32994167; 32.994;
63; 34764612; 34.765;
64; 33803341; 33.803;
65; 33962620; 33.963;
66; 32836900; 32.837;
67; 32219076; 32.219;
68; 33200575; 33.201;
69; 34250483; 34.250;
70; 33437742; 33.438;
71; 33651284; 33.651;
72; 32859943; 32.860;
73; 32469497; 32.469;
74; 32620503; 32.621;
75; 32179841; 32.180;
76; 32898256; 32.898;
77; 31664892; 31.665;
78; 32331748; 32.332;
79; 34819686; 34.820;
80; 33159888; 33.160;
81; 30680166; 30.680;
82; 32005904; 32.006;
83; 33019493; 33.019;
84; 34351995; 34.352;
85; 33647257; 33.647;
86; 34428760; 34.429;
87; 33859266; 33.859;
88; 34490966; 34.491;
89; 33467408; 33.467;
90; 33236042; 33.236;
91; 29734404; 29.734;
92; 29479804; 29.480;
93; 31566197; 31.566;
94; 31878074; 31.878;
95; 33682693; 33.683;
96; 32877638; 32.878;
97; 33194614; 33.195;
98; 31709857; 31.710;
99; 34315196; 34.315;
100; 34411847; 34.412;
101; 33232826; 33.233;
102; 33032268; 33.032;
103; 33715415; 33.715;
104; 38186460; 38.186;
105; 34465179; 34.465;
106; 31089037; 31.089;
107; 32679432; 32.679;
108; 33907007; 33.907;
109; 31353375; 31.353;
110; 32306801; 32.307;
111; 32613129; 32.613;
112; 35081380; 35.081;
113; 33182622; 33.183;
114; 35831161; 35.831;
115; 35331370; 35.331;
116; 35280955; 35.281;
117; 33790386; 33.790;
118; 37675075; 37.675;
119; 37139546; 37.140;
120; 33167914; 33.168;
121; 33190165; 33.190;
122; 36925213; 36.925;
123; 37918004; 37.918;
124; 34531623; 34.532;
125; 32371413; 32.371;
126; 33751853; 33.752;
127; 37586319; 37.586;
128; 36388962; 36.389;
129; 34821700; 34.822;
130; 33299119; 33.299;
131; 64079397; 64.079;
132; 34810479; 34.810;
133; 30897916; 30.898;
134; 33908810; 33.909;
135; 34077718; 34.078;
136; 32898937; 32.899;
137; 31290796; 31.291;
138; 31071523; 31.072;
139; 32628788; 32.629;
140; 32949212; 32.949;
141; 34096965; 34.097;
142; 31419470; 31.419;
143; 31308831; 31.309;
144; 33639352; 33.639;
145; 32629508; 32.630;
146; 32714289; 32.714;
147; 31387259; 31.387;
148; 31333037; 31.333;
149; 32713247; 32.713;
150; 33688484; 33.688;
151; 35002039; 35.002;
152; 32271844; 32.272;
153; 32930607; 32.931;
154; 33546296; 33.546;
155; 33696479; 33.696;
156; 77136908; 77.137;
157; 36414692; 36.415;
158; 34869449; 34.869;
159; 31308259; 31.308;
160; 31882852; 31.883;
161; 32797696; 32.798;
162; 32755827; 32.756;
163; 35958762; 35.959;
164; 32093109; 32.093;
165; 33148266; 33.148;
166; 31323018; 31.323;
167; 32703478; 32.703;
168; 33199763; 33.200;
169; 34146948; 34.147;
170; 33794764; 33.795;
171; 33438383; 33.438;
172; 30355465; 30.355;
173; 31762465; 31.762;
174; 30547377; 30.547;
175; 31742117; 31.742;
176; 36409351; 36.409;
177; 31513916; 31.514;
178; 32456112; 32.456;
179; 31968222; 31.968;
180; 31063549; 31.064;
181; 32638476; 32.638;
182; 31272273; 31.272;
183; 34096754; 34.097;
184; 31515089; 31.515;
185; 31196179; 31.196;
186; 31866181; 31.866;
187; 34025088; 34.025;
188; 31743960; 31.744;
189; 33913519; 33.914;
190; 32432669; 32.433;
191; 31394722; 31.395;
192; 32160846; 32.161;
193; 31936203; 31.936;
194; 32869672; 32.870;
195; 33885316; 33.885;
196; 31948425; 31.948;
197; 32843933; 32.844;
198; 32383014; 32.383;
199; 31944818; 31.945;
200; 31402778; 31.403;
201; 31629315; 31.629;
202; 32767901; 32.768;
203; 32473294; 32.473;
204; 33082924; 33.083;
205; 32304256; 32.304;
206; 33068737; 33.069;
207; 33202729; 33.203;
208; 31043591; 31.044;
209; 32016284; 32.016;
210; 31961541; 31.962;
211; 31541319; 31.541;
212; 31032800; 31.033;
213; 33006530; 33.007;
214; 32933982; 32.934;
215; 30831542; 30.832;
216; 30204098; 30.204;
217; 30728598; 30.729;
218; 33390714; 33.391;
