iteration; latency_ns; latency_ms;
1; 30157170; 30.157;
2; 7951731; 7.952;
3; 8122083; 8.122;
4; 8350966; 8.351;
5; 7779586; 7.780;
6; 8327001; 8.327;
7; 7505288; 7.505;
8; 8403264; 8.403;
9; 7555032; 7.555;
10; 7498395; 7.498;
11; 6813611; 6.814;
12; 7653518; 7.654;
13; 7812438; 7.812;
14; 7479479; 7.479;
15; 9193548; 9.194;
16; 7508033; 7.508;
17; 9002105; 9.002;
18; 7302014; 7.302;
19; 18594126; 18.594;
20; 7678355; 7.678;
21; 7225219; 7.225;
22; 26797082; 26.797;
23; 7319016; 7.319;
24; 8724120; 8.724;
25; 7520577; 7.521;
26; 7384079; 7.384;
27; 7555062; 7.555;
28; 8070345; 8.070;
29; 7843617; 7.844;
30; 7179403; 7.179;
31; 7608052; 7.608;
32; 8175063; 8.175;
33; 7409196; 7.409;
34; 8024449; 8.024;
35; 7905124; 7.905;
36; 7851102; 7.851;
37; 8726765; 8.727;
38; 8065326; 8.065;
39; 8261376; 8.261;
40; 8137302; 8.137;
41; 7730894; 7.731;
42; 7514736; 7.515;
43; 6812610; 6.813;
44; 7577375; 7.577;
45; 7517030; 7.517;
46; 6842396; 6.842;
47; 6818911; 6.819;
48; 7600258; 7.600;
49; 7673636; 7.674;
50; 7308577; 7.309;
51; 7739040; 7.739;
52; 7329145; 7.329;
53; 6775249; 6.775;
54; 7136231; 7.136;
55; 6817950; 6.818;
56; 7037004; 7.037;
57; 7032465; 7.032;
58; 7273670; 7.274;
59; 7036793; 7.037;
60; 7808441; 7.808;
61; 6952173; 6.952;
62; 7360816; 7.361;
63; 6904563; 6.905;
64; 7613974; 7.614;
65; 6575371; 6.575;
66; 7005765; 7.006;
67; 6955079; 6.955;
68; 9539100; 9.539;
69; 8005744; 8.006;
70; 7170666; 7.171;
71; 8086797; 8.087;
72; 7740612; 7.741;
73; 7499637; 7.500;
74; 7253432; 7.253;
75; 7230760; 7.231;
76; 7303848; 7.304;
77; 8273299; 8.273;
78; 7981097; 7.981;
79; 6995796; 6.996;
80; 6887350; 6.887;
81; 7489749; 7.490;
82; 7651094; 7.651;
83; 7496612; 7.497;
84; 7671903; 7.672;
85; 8169663; 8.170;
86; 7773264; 7.773;
