iteration; latency_ns; latency_ms;
1; 60101430; 60.101;
2; 1468305628; 1468.306;
3; 1183263115; 1183.263;
4; 1230346229; 1230.346;
5; 1189337150; 1189.337;
6; 1200673420; 1200.673;
7; 1225488227; 1225.488;
8; 1511676995; 1511.677;
9; 1232198731; 1232.199;
10; 1242795185; 1242.795;
11; 1213595769; 1213.596;
12; 1232815007; 1232.815;
13; 1240515834; 1240.516;
14; 1229819734; 1229.820;
15; 1267978605; 1267.979;
16; 1194916870; 1194.917;
17; 1213180998; 1213.181;
18; 1235288304; 1235.288;
19; 1230519973; 1230.520;
20; 1268756253; 1268.756;
21; 1208917116; 1208.917;
22; 1240467821; 1240.468;
23; 1247740141; 1247.740;
24; 1223670559; 1223.671;
25; 1225002024; 1225.002;
26; 1260883260; 1260.883;
27; 1215620629; 1215.621;
28; 1227250542; 1227.251;
29; 1226629871; 1226.630;
30; 1232925712; 1232.926;
31; 1262831828; 1262.832;
32; 1215393849; 1215.394;
33; 1239729297; 1239.729;
34; 1222000919; 1222.001;
35; 1236235274; 1236.235;
36; 1233748954; 1233.749;
37; 1237787602; 1237.788;
38; 1244785789; 1244.786;
39; 1242021512; 1242.022;
40; 1238250372; 1238.250;
41; 1250284954; 1250.285;
42; 1203057139; 1203.057;
43; 1240782808; 1240.783;
44; 1273418387; 1273.418;
45; 1206423181; 1206.423;
46; 1232610627; 1232.611;
47; 1241752508; 1241.753;
48; 1222336076; 1222.336;
49; 1249196075; 1249.196;
50; 1189401859; 1189.402;
