iteration; latency_ns; latency_ms;
1; 96415300; 96.415;
2; 11098512; 11.099;
3; 9456770; 9.457;
4; 9059890; 9.060;
5; 8376088; 8.376;
6; 8057796; 8.058;
7; 10919284; 10.919;
8; 8197330; 8.197;
9; 8287571; 8.288;
10; 7794969; 7.795;
11; 8187842; 8.188;
12; 7376609; 7.377;
13; 7918514; 7.919;
14; 8953769; 8.954;
15; 8216857; 8.217;
16; 8528275; 8.528;
17; 7616893; 7.617;
18; 9068225; 9.068;
19; 7790391; 7.790;
20; 7929995; 7.930;
21; 8343727; 8.344;
22; 8638294; 8.638;
23; 8343326; 8.343;
24; 7305104; 7.305;
25; 7755195; 7.755;
26; 8076051; 8.076;
27; 8561638; 8.562;
28; 8678008; 8.678;
29; 8497297; 8.497;
30; 7769852; 7.770;
31; 8079778; 8.080;
32; 7925125; 7.925;
33; 7728895; 7.729;
34; 7960252; 7.960;
35; 7573641; 7.574;
36; 7561428; 7.561;
37; 8036596; 8.037;
38; 7034593; 7.035;
39; 14706500; 14.707;
40; 9168946; 9.169;
41; 7668531; 7.669;
42; 8505692; 8.506;
43; 8887514; 8.888;
44; 7259398; 7.259;
45; 11978976; 11.979;
46; 7843011; 7.843;
47; 8132268; 8.132;
48; 14713534; 14.714;
49; 8168496; 8.168;
50; 8310755; 8.311;
51; 8177312; 8.177;
52; 8088003; 8.088;
53; 8017170; 8.017;
54; 7732962; 7.733;
55; 8109925; 8.110;
56; 8208331; 8.208;
57; 7529588; 7.530;
58; 7801733; 7.802;
59; 8166571; 8.167;
60; 7648673; 7.649;
61; 7499171; 7.499;
62; 7527444; 7.527;
63; 7632553; 7.633;
64; 7492778; 7.493;
65; 7870192; 7.870;
66; 7631722; 7.632;
67; 7776695; 7.777;
68; 7963357; 7.963;
69; 8710830; 8.711;
70; 8244779; 8.245;
71; 8732110; 8.732;
72; 7922330; 7.922;
73; 7765604; 7.766;
74; 8497557; 8.498;
75; 8405614; 8.406;
76; 8086902; 8.087;
77; 7929263; 7.929;
78; 8297028; 8.297;
79; 8865102; 8.865;
80; 9066533; 9.067;
81; 8426203; 8.426;
82; 8741879; 8.742;
83; 10206557; 10.207;
84; 7643093; 7.643;
85; 7883307; 7.883;
86; 7977434; 7.977;
87; 7969269; 7.969;
88; 7638193; 7.638;
89; 8546490; 8.546;
90; 7942158; 7.942;
91; 7947388; 7.947;
92; 8328929; 8.329;
93; 8148468; 8.148;
94; 7648542; 7.649;
95; 8095477; 8.095;
96; 8330462; 8.330;
97; 8188905; 8.189;
98; 8665384; 8.665;
99; 7526803; 7.527;
100; 8075409; 8.075;
