iteration; latency_ns; latency_ms;
1; 2094301483; 2094.301;
2; 3766594; 3.767;
3; 4194372; 4.194;
4; 3821498; 3.821;
5; 3889486; 3.889;
6; 4382468; 4.382;
7; 4751735; 4.752;
8; 4832267; 4.832;
9; 4778084; 4.778;
10; 4367128; 4.367;
11; 4250508; 4.251;
12; 4248013; 4.248;
13; 4573498; 4.573;
14; 4030032; 4.030;
15; 4408216; 4.408;
16; 4095355; 4.095;
17; 3707783; 3.708;
18; 4157252; 4.157;
19; 4162122; 4.162;
20; 3973675; 3.974;
21; 4557969; 4.558;
22; 3560616; 3.561;
23; 4043006; 4.043;
24; 4001197; 4.001;
25; 4392897; 4.393;
26; 4231613; 4.232;
27; 4017438; 4.017;
28; 4052915; 4.053;
29; 4156540; 4.157;
30; 3985788; 3.986;
31; 4594959; 4.595;
32; 4278341; 4.278;
33; 4209080; 4.209;
34; 4406543; 4.407;
35; 4114291; 4.114;
36; 4256169; 4.256;
37; 4578317; 4.578;
38; 3876382; 3.876;
39; 3883535; 3.884;
40; 4254686; 4.255;
41; 4410631; 4.411;
42; 4597073; 4.597;
43; 4006397; 4.006;
44; 4481244; 4.481;
45; 4210633; 4.211;
46; 4046112; 4.046;
47; 4902049; 4.902;
48; 4093291; 4.093;
49; 4371727; 4.372;
50; 4132826; 4.133;
51; 3608446; 3.608;
52; 4370685; 4.371;
53; 3810136; 3.810;
54; 3961512; 3.962;
55; 4061411; 4.061;
56; 4019231; 4.019;
57; 3953126; 3.953;
58; 4566385; 4.566;
59; 4436420; 4.436;
60; 4332202; 4.332;
61; 4311775; 4.312;
62; 4745844; 4.746;
63; 3994505; 3.995;
64; 3887282; 3.887;
65; 4082782; 4.083;
66; 3773187; 3.773;
67; 3828381; 3.828;
68; 3720477; 3.720;
69; 3606862; 3.607;
70; 3965200; 3.965;
71; 4154778; 4.155;
72; 4268843; 4.269;
73; 4206505; 4.207;
74; 3716430; 3.716;
75; 3892261; 3.892;
76; 4152483; 4.152;
77; 3326152; 3.326;
78; 3870280; 3.870;
79; 3991519; 3.992;
