iteration; latency_ns; latency_ms;
1; 14431383; 14.431;
2; 1190802444; 1190.802;
3; 1179755347; 1179.755;
4; 1202141810; 1202.142;
5; 1173116297; 1173.116;
6; 1209724532; 1209.725;
7; 1175013083; 1175.013;
8; 1194929150; 1194.929;
9; 1217400859; 1217.401;
10; 1239423198; 1239.423;
11; 1273681624; 1273.682;
12; 1209975569; 1209.976;
13; 1756610577; 1756.611;
14; 982340969; 982.341;
15; 1041487891; 1041.488;
16; 1058393666; 1058.394;
17; 1184835056; 1184.835;
18; 1191969879; 1191.970;
19; 1207373865; 1207.374;
20; 1208558669; 1208.559;
21; 1186027288; 1186.027;
22; 1208140969; 1208.141;
23; 1191845460; 1191.845;
24; 1215824859; 1215.825;
25; 1202479340; 1202.479;
26; 1212218073; 1212.218;
27; 1164750028; 1164.750;
28; 1202984356; 1202.984;
29; 1199191919; 1199.192;
30; 853622300; 853.622;
31; 1111060013; 1111.060;
32; 1179676978; 1179.677;
33; 1225078073; 1225.078;
34; 1160598978; 1160.599;
35; 1193870999; 1193.871;
36; 1225258905; 1225.259;
37; 1180927828; 1180.928;
38; 1215691256; 1215.691;
39; 1171164561; 1171.165;
40; 1206202647; 1206.203;
41; 1208684731; 1208.685;
42; 1187800270; 1187.800;
43; 1213760057; 1213.760;
44; 1206999653; 1207.000;
45; 1187070146; 1187.070;
46; 1233403484; 1233.403;
47; 1155627731; 1155.628;
48; 1193095911; 1193.096;
49; 1174795667; 1174.796;
50; 1186350535; 1186.351;
