iteration; latency_ns; latency_ms;
1; 10777556; 10.778;
2; 3849450; 3.849;
3; 3450918; 3.451;
4; 3594348; 3.594;
5; 3182972; 3.183;
6; 3439817; 3.440;
7; 3579160; 3.579;
8; 3812972; 3.813;
9; 3927869; 3.928;
10; 3454374; 3.454;
11; 3631469; 3.631;
12; 3805518; 3.806;
13; 3737338; 3.737;
14; 3279424; 3.279;
15; 3322686; 3.323;
16; 3299532; 3.300;
17; 3271620; 3.272;
18; 3157143; 3.157;
19; 3634856; 3.635;
20; 3536489; 3.536;
21; 3154979; 3.155;
22; 3396936; 3.397;
23; 3588929; 3.589;
24; 3361299; 3.361;
25; 3416062; 3.416;
26; 3448433; 3.448;
27; 3421933; 3.422;
28; 3673969; 3.674;
29; 3429367; 3.429;
30; 3352873; 3.353;
31; 3047857; 3.048;
32; 3145992; 3.146;
33; 3384994; 3.385;
34; 3836045; 3.836;
35; 3487116; 3.487;
36; 3007170; 3.007;
37; 3219270; 3.219;
38; 3478651; 3.479;
39; 3054059; 3.054;
40; 3305333; 3.305;
41; 4626508; 4.627;
42; 3812541; 3.813;
43; 3413438; 3.413;
44; 3542171; 3.542;
45; 3429257; 3.429;
46; 3342974; 3.343;
47; 3227236; 3.227;
48; 3036675; 3.037;
49; 3676664; 3.677;
50; 3242635; 3.243;
51; 3475475; 3.475;
52; 3315171; 3.315;
53; 3529947; 3.530;
54; 3308079; 3.308;
55; 3404972; 3.405;
56; 3487557; 3.488;
57; 3345849; 3.346;
58; 3111456; 3.111;
59; 3491535; 3.492;
60; 3594389; 3.594;
61; 3313929; 3.314;
62; 3620678; 3.621;
63; 3555035; 3.555;
64; 2956925; 2.957;
65; 3116646; 3.117;
66; 3216015; 3.216;
67; 3523264; 3.523;
68; 3694247; 3.694;
69; 3346371; 3.346;
70; 3458212; 3.458;
71; 3182150; 3.182;
72; 3739373; 3.739;
73; 3420911; 3.421;
74; 3331212; 3.331;
75; 3145932; 3.146;
76; 3450467; 3.450;
77; 3572558; 3.573;
78; 3101037; 3.101;
79; 3274605; 3.275;
80; 3061683; 3.062;
81; 3555495; 3.555;
82; 3233607; 3.234;
83; 3023100; 3.023;
84; 2981602; 2.982;
85; 3456669; 3.457;
86; 2966804; 2.967;
87; 3650605; 3.651;
88; 4028639; 4.029;
89; 3413537; 3.414;
90; 3500742; 3.501;
91; 3739543; 3.740;
92; 3439376; 3.439;
93; 3120864; 3.121;
94; 3834853; 3.835;
95; 3174606; 3.175;
96; 3639834; 3.640;
97; 3331913; 3.332;
98; 3417455; 3.417;
99; 3370456; 3.370;
100; 3384503; 3.385;
101; 3512845; 3.513;
102; 3598036; 3.598;
103; 3335530; 3.336;
104; 3084145; 3.084;
105; 3622001; 3.622;
106; 3418386; 3.418;
107; 3452360; 3.452;
108; 3045292; 3.045;
109; 3422815; 3.423;
110; 3614547; 3.615;
111; 3550105; 3.550;
112; 3660333; 3.660;
113; 3513937; 3.514;
114; 3335149; 3.335;
115; 3084837; 3.085;
116; 3279574; 3.280;
117; 3299341; 3.299;
118; 3594920; 3.595;
119; 3343646; 3.344;
120; 3317165; 3.317;
121; 3433185; 3.433;
122; 3433475; 3.433;
123; 3229229; 3.229;
124; 3237685; 3.238;
125; 3097601; 3.098;
126; 3196517; 3.197;
127; 3528464; 3.528;
128; 3106618; 3.107;
129; 2985389; 2.985;
130; 3594099; 3.594;
131; 3152985; 3.153;
132; 3260078; 3.260;
133; 3144960; 3.145;
134; 3358754; 3.359;
135; 3317556; 3.318;
136; 3603296; 3.603;
137; 3163766; 3.164;
138; 3801330; 3.801;
139; 3308248; 3.308;
140; 3560234; 3.560;
141; 3421312; 3.421;
142; 3191008; 3.191;
143; 3226203; 3.226;
144; 2970972; 2.971;
145; 3278782; 3.279;
146; 2939733; 2.940;
147; 2976542; 2.977;
148; 3155891; 3.156;
149; 3053528; 3.054;
150; 3468330; 3.468;
151; 3005015; 3.005;
152; 3453493; 3.453;
153; 3182471; 3.182;
154; 3581885; 3.582;
155; 3192529; 3.193;
156; 3074577; 3.075;
157; 3294472; 3.294;
158; 3396235; 3.396;
159; 3690190; 3.690;
160; 3283622; 3.284;
161; 2771154; 2.771;
162; 3235661; 3.236;
163; 3045292; 3.045;
164; 3326543; 3.327;
165; 3484462; 3.484;
166; 3254757; 3.255;
167; 4689277; 4.689;
168; 3393830; 3.394;
169; 2991129; 2.991;
170; 3263264; 3.263;
171; 3401775; 3.402;
172; 3278111; 3.278;
173; 3548673; 3.549;
174; 3483449; 3.483;
175; 3324219; 3.324;
176; 3218850; 3.219;
177; 3417164; 3.417;
178; 3521601; 3.522;
179; 3417114; 3.417;
180; 3327475; 3.327;
181; 3201427; 3.201;
182; 3357141; 3.357;
183; 3240541; 3.241;
184; 3302768; 3.303;
185; 3074287; 3.074;
186; 3419919; 3.420;
187; 3415912; 3.416;
188; 3384402; 3.384;
189; 3217026; 3.217;
190; 3420260; 3.420;
191; 3270117; 3.270;
192; 3174736; 3.175;
193; 3038519; 3.039;
194; 3481015; 3.481;
195; 3082753; 3.083;
196; 3413988; 3.414;
197; 3443995; 3.444;
198; 3390734; 3.391;
199; 3277982; 3.278;
200; 3411864; 3.412;
201; 3370947; 3.371;
202; 3269505; 3.270;
203; 3433785; 3.434;
204; 2852077; 2.852;
205; 3286307; 3.286;
206; 2991420; 2.991;
207; 3494219; 3.494;
208; 3935313; 3.935;
209; 3245520; 3.246;
210; 3127568; 3.128;
211; 3367651; 3.368;
212; 3458312; 3.458;
213; 3105796; 3.106;
214; 3412936; 3.413;
215; 3342544; 3.343;
216; 3367220; 3.367;
217; 3235762; 3.236;
218; 3331423; 3.331;
219; 3216465; 3.216;
220; 3557650; 3.558;
221; 2944953; 2.945;
222; 3748059; 3.748;
223; 3374284; 3.374;
224; 3851515; 3.852;
225; 3366578; 3.367;
226; 3451329; 3.451;
227; 3278963; 3.279;
228; 3076841; 3.077;
229; 3333836; 3.334;
230; 3165489; 3.165;
231; 3165789; 3.166;
232; 3155220; 3.155;
233; 3892772; 3.893;
234; 2952066; 2.952;
235; 3292509; 3.293;
236; 3184214; 3.184;
237; 3112660; 3.113;
238; 3115976; 3.116;
239; 3379663; 3.380;
240; 3302508; 3.303;
241; 3570053; 3.570;
242; 2961323; 2.961;
243; 3527052; 3.527;
244; 3505841; 3.506;
245; 3339237; 3.339;
246; 3181829; 3.182;
247; 3308940; 3.309;
248; 3094104; 3.094;
249; 2933641; 2.934;
250; 3328216; 3.328;
251; 3278512; 3.279;
252; 2928321; 2.928;
253; 2876703; 2.877;
254; 3382579; 3.383;
255; 3318358; 3.318;
256; 2908063; 2.908;
257; 3197198; 3.197;
258; 3560003; 3.560;
259; 3478971; 3.479;
260; 3272952; 3.273;
261; 3474804; 3.475;
262; 3276428; 3.276;
263; 3427834; 3.428;
264; 3268052; 3.268;
265; 3625117; 3.625;
266; 3764690; 3.765;
267; 3566025; 3.566;
268; 3265428; 3.265;
269; 2780882; 2.781;
270; 3530999; 3.531;
271; 2883265; 2.883;
272; 3299522; 3.300;
273; 3126765; 3.127;
274; 3202199; 3.202;
275; 3634615; 3.635;
276; 3143888; 3.144;
277; 3188051; 3.188;
278; 3277280; 3.277;
279; 3477047; 3.477;
280; 3307537; 3.308;
281; 2958397; 2.958;
282; 3188171; 3.188;
283; 3272922; 3.273;
284; 3341030; 3.341;
285; 2823313; 2.823;
286; 3471196; 3.471;
287; 2996941; 2.997;
288; 3425540; 3.426;
289; 3481876; 3.482;
290; 3209903; 3.210;
291; 3485363; 3.485;
292; 3008082; 3.008;
293; 3350258; 3.350;
