iteration; latency_ns; latency_ms;
1; 19514707; 19.515;
2; 3852590; 3.853;
3; 3643054; 3.643;
4; 4309504; 4.310;
5; 4362685; 4.363;
6; 4100709; 4.101;
7; 4415083; 4.415;
8; 4880193; 4.880;
9; 4416155; 4.416;
10; 4256043; 4.256;
11; 4306067; 4.306;
12; 4617125; 4.617;
13; 4441162; 4.441;
14; 4756558; 4.757;
15; 4983437; 4.983;
16; 4714129; 4.714;
17; 4039243; 4.039;
18; 4245553; 4.246;
19; 4905109; 4.905;
20; 4543466; 4.543;
21; 4510363; 4.510;
22; 4723265; 4.723;
23; 4243258; 4.243;
24; 3939164; 3.939;
25; 4013033; 4.013;
26; 4046687; 4.047;
27; 4402390; 4.402;
28; 3919917; 3.920;
29; 4306158; 4.306;
30; 4134523; 4.135;
31; 4714048; 4.714;
32; 4392300; 4.392;
33; 4136747; 4.137;
34; 4110908; 4.111;
35; 4454208; 4.454;
36; 4103775; 4.104;
37; 3473534; 3.474;
38; 3965544; 3.966;
39; 4604231; 4.604;
40; 4343619; 4.344;
41; 4654626; 4.655;
42; 4383614; 4.384;
43; 3481509; 3.482;
44; 4240363; 4.240;
45; 15131855; 15.132;
46; 4229111; 4.229;
47; 4425603; 4.426;
48; 3920649; 3.921;
49; 3630771; 3.631;
50; 3910129; 3.910;
51; 4229142; 4.229;
52; 3741370; 3.741;
53; 3919437; 3.919;
54; 5392149; 5.392;
55; 4947800; 4.948;
56; 4061876; 4.062;
57; 4072055; 4.072;
58; 4235123; 4.235;
59; 4404132; 4.404;
60; 4431684; 4.432;
61; 4070953; 4.071;
62; 5340622; 5.341;
63; 4611103; 4.611;
64; 3942069; 3.942;
65; 3878980; 3.879;
66; 4523027; 4.523;
67; 4449628; 4.450;
68; 4213813; 4.214;
69; 4460179; 4.460;
70; 4197201; 4.197;
71; 3738856; 3.739;
72; 4238460; 4.238;
73; 3252056; 3.252;
74; 3872177; 3.872;
75; 4145925; 4.146;
