iteration; latency_ns; latency_ms;
1; 30995021; 30.995;
2; 31472158; 31.472;
3; 30627219; 30.627;
4; 32133432; 32.133;
5; 31268626; 31.269;
6; 29772171; 29.772;
7; 30795255; 30.795;
8; 31413940; 31.414;
9; 31204544; 31.205;
10; 34643343; 34.643;
11; 34872112; 34.872;
12; 30672945; 30.673;
13; 27304669; 27.305;
14; 31284086; 31.284;
15; 31930441; 31.930;
16; 58090367; 58.090;
17; 32864007; 32.864;
18; 32656285; 32.656;
19; 33866743; 33.867;
20; 37221903; 37.222;
21; 30327456; 30.327;
22; 32689850; 32.690;
23; 32194597; 32.195;
24; 32350581; 32.351;
25; 33011274; 33.011;
26; 31960918; 31.961;
27; 34283839; 34.284;
28; 32629956; 32.630;
29; 30211778; 30.212;
30; 31081914; 31.082;
31; 31233098; 31.233;
32; 31803732; 31.804;
33; 34491899; 34.492;
34; 29607280; 29.607;
35; 30957932; 30.958;
36; 31353586; 31.354;
37; 32270249; 32.270;
38; 32125998; 32.126;
39; 35392673; 35.393;
40; 32108385; 32.108;
41; 33702104; 33.702;
42; 34017517; 34.018;
43; 31776791; 31.777;
44; 33091966; 33.092;
45; 32443747; 32.444;
46; 29908458; 29.908;
47; 31837045; 31.837;
48; 29521488; 29.521;
49; 31839181; 31.839;
50; 31578178; 31.578;
51; 32124778; 32.125;
52; 47390582; 47.391;
53; 35296163; 35.296;
54; 35587711; 35.588;
55; 33680834; 33.681;
56; 35281253; 35.281;
57; 32396337; 32.396;
58; 46994808; 46.995;
59; 33273889; 33.274;
60; 32525441; 32.525;
61; 32746477; 32.746;
62; 30723631; 30.724;
63; 31852164; 31.852;
64; 32969787; 32.970;
65; 36266146; 36.266;
66; 31144974; 31.145;
67; 31129625; 31.130;
68; 31068320; 31.068;
69; 34960311; 34.960;
70; 34938500; 34.938;
71; 32667348; 32.667;
72; 32161465; 32.161;
73; 29890725; 29.891;
74; 29655352; 29.655;
75; 31343097; 31.343;
76; 31172787; 31.173;
77; 30517473; 30.517;
78; 30770980; 30.771;
79; 30000861; 30.001;
80; 31715528; 31.716;
81; 31742228; 31.742;
82; 29846782; 29.847;
83; 31859208; 31.859;
84; 32304315; 32.304;
85; 35123308; 35.123;
86; 31056688; 31.057;
87; 33925215; 33.925;
88; 63865583; 63.866;
89; 33131450; 33.131;
90; 34628217; 34.628;
91; 32574123; 32.574;
92; 31170843; 31.171;
93; 32814325; 32.814;
94; 30603967; 30.604;
95; 31536461; 31.536;
96; 30132492; 30.132;
97; 36342541; 36.343;
98; 34224667; 34.225;
99; 33403573; 33.404;
100; 34257770; 34.258;
101; 34662431; 34.662;
102; 32029118; 32.029;
103; 33140358; 33.140;
104; 33030742; 33.031;
105; 31744513; 31.745;
106; 30012735; 30.013;
107; 30902318; 30.902;
108; 31690983; 31.691;
109; 32534309; 32.534;
110; 30854388; 30.854;
111; 31113295; 31.113;
112; 31941542; 31.942;
113; 33657932; 33.658;
114; 31794999; 31.795;
115; 31880840; 31.881;
116; 60570125; 60.570;
117; 32037152; 32.037;
118; 32424412; 32.424;
119; 32684472; 32.684;
120; 31487560; 31.488;
121; 31493100; 31.493;
122; 75215323; 75.215;
123; 32697225; 32.697;
124; 33769583; 33.770;
125; 30992880; 30.993;
126; 32136902; 32.137;
127; 32394916; 32.395;
128; 32184260; 32.184;
129; 33861786; 33.862;
130; 36488047; 36.488;
131; 34202096; 34.202;
132; 33429864; 33.430;
133; 33186997; 33.187;
134; 31515603; 31.516;
135; 31337609; 31.338;
136; 32840676; 32.841;
137; 29757857; 29.758;
138; 34333685; 34.334;
139; 31266094; 31.266;
140; 32612847; 32.613;
141; 32798306; 32.798;
142; 32801461; 32.801;
143; 31694039; 31.694;
144; 32641551; 32.642;
145; 33191646; 33.192;
146; 35510087; 35.510;
147; 33664033; 33.664;
148; 31254061; 31.254;
149; 31621392; 31.621;
150; 34768542; 34.769;
151; 32708237; 32.708;
152; 31910346; 31.910;
153; 31502058; 31.502;
154; 38268266; 38.268;
155; 32083021; 32.083;
156; 33564276; 33.564;
157; 32910457; 32.910;
158; 31992730; 31.993;
159; 33689764; 33.690;
160; 33671589; 33.672;
161; 33643024; 33.643;
162; 32041181; 32.041;
163; 32271925; 32.272;
164; 33176198; 33.176;
165; 32909265; 32.909;
166; 32301310; 32.301;
167; 33249315; 33.249;
168; 34523571; 34.524;
169; 33503523; 33.504;
170; 34212888; 34.213;
171; 31511957; 31.512;
172; 32582971; 32.583;
173; 31441293; 31.441;
174; 31032966; 31.033;
175; 31799457; 31.799;
176; 32329506; 32.330;
177; 29375969; 29.376;
178; 29091153; 29.091;
179; 31550029; 31.550;
180; 30698516; 30.699;
181; 32365182; 32.365;
182; 31564165; 31.564;
183; 34953321; 34.953;
184; 32063255; 32.063;
185; 31580768; 31.581;
186; 28305706; 28.306;
187; 34313328; 34.313;
188; 33396723; 33.397;
189; 33033870; 33.034;
190; 30091916; 30.092;
191; 34442138; 34.442;
192; 30731689; 30.732;
193; 30973825; 30.974;
194; 33198650; 33.199;
195; 33845065; 33.845;
196; 31942517; 31.943;
197; 31702616; 31.703;
198; 30832310; 30.832;
199; 29893993; 29.894;
200; 31637052; 31.637;
201; 33163013; 33.163;
202; 32242652; 32.243;
203; 50599643; 50.600;
204; 34934255; 34.934;
205; 32745739; 32.746;
206; 32116625; 32.117;
207; 34178955; 34.179;
208; 33351398; 33.351;
209; 34031347; 34.031;
210; 33585248; 33.585;
211; 33353783; 33.354;
212; 36392830; 36.393;
213; 31983976; 31.984;
214; 33816853; 33.817;
215; 34468208; 34.468;
216; 33645952; 33.646;
