iteration; latency_ns; latency_ms;
1; 2197416838; 2197.417;
2; 2263773235; 2263.773;
3; 2239102153; 2239.102;
4; 2272918748; 2272.919;
5; 2190140229; 2190.140;
6; 2330650662; 2330.651;
7; 2162910001; 2162.910;
8; 2312082725; 2312.083;
9; 2128728095; 2128.728;
10; 2144114645; 2144.115;
11; 2314627102; 2314.627;
12; 2179582699; 2179.583;
13; 2007960319; 2007.960;
14; 2089353300; 2089.353;
15; 2061155467; 2061.155;
16; 2216927278; 2216.927;
17; 2025031227; 2025.031;
18; 2188165632; 2188.166;
19; 2148387331; 2148.387;
20; 2149329014; 2149.329;
