iteration; latency_ns; latency_ms;
1; 2198606125; 2198.606;
2; 52610682; 52.611;
3; 50465881; 50.466;
4; 50815630; 50.816;
5; 48547867; 48.548;
6; 48136093; 48.136;
7; 46476125; 46.476;
8; 45759055; 45.759;
9; 52801341; 52.801;
10; 46790769; 46.791;
11; 43951579; 43.952;
12; 44363314; 44.363;
13; 47210168; 47.210;
14; 44381138; 44.381;
15; 49745585; 49.746;
16; 46111959; 46.112;
17; 46369634; 46.370;
18; 45645480; 45.645;
19; 47703167; 47.703;
20; 45000404; 45.000;
21; 41016290; 41.016;
22; 46767545; 46.768;
23; 39885810; 39.886;
24; 41570564; 41.571;
25; 45948470; 45.948;
26; 44467512; 44.468;
27; 42901211; 42.901;
28; 45398444; 45.398;
29; 46463471; 46.463;
30; 50514642; 50.515;
31; 45856628; 45.857;
32; 43598093; 43.598;
33; 43567586; 43.568;
34; 41243416; 41.243;
35; 42287723; 42.288;
36; 41564432; 41.564;
37; 43734229; 43.734;
38; 42896592; 42.897;
39; 41283583; 41.284;
40; 40906954; 40.907;
41; 40869845; 40.870;
42; 44615589; 44.616;
43; 49149832; 49.150;
44; 49025317; 49.025;
45; 46362652; 46.363;
46; 39866744; 39.867;
47; 38838416; 38.838;
48; 44308320; 44.308;
49; 37813556; 37.814;
50; 38702139; 38.702;
51; 41187521; 41.188;
52; 44264648; 44.265;
53; 42023246; 42.023;
54; 40601116; 40.601;
55; 40806114; 40.806;
56; 39345552; 39.346;
57; 39576497; 39.576;
58; 37801243; 37.801;
59; 38858494; 38.858;
60; 41369364; 41.369;
61; 42865633; 42.866;
62; 41479682; 41.480;
63; 42197154; 42.197;
64; 42387664; 42.388;
65; 40455985; 40.456;
66; 40804180; 40.804;
67; 49535048; 49.535;
68; 39804927; 39.805;
69; 42871905; 42.872;
70; 44158528; 44.159;
71; 45380692; 45.381;
72; 42526364; 42.526;
73; 45138605; 45.139;
74; 42840496; 42.840;
75; 41747116; 41.747;
76; 40507011; 40.507;
77; 41591673; 41.592;
78; 41305192; 41.305;
79; 41555576; 41.556;
80; 39518066; 39.518;
81; 40206374; 40.206;
82; 43004815; 43.005;
83; 41611991; 41.612;
84; 41258285; 41.258;
85; 41926345; 41.926;
86; 43947012; 43.947;
87; 41597253; 41.597;
88; 37533548; 37.534;
89; 39214205; 39.214;
90; 45963109; 45.963;
91; 48546113; 48.546;
92; 46399019; 46.399;
93; 44982230; 44.982;
94; 42465601; 42.466;
95; 37788789; 37.789;
96; 39723113; 39.723;
97; 40258122; 40.258;
98; 40812986; 40.813;
99; 37199881; 37.200;
100; 42404976; 42.405;
101; 39728703; 39.729;
102; 39249552; 39.250;
103; 39240704; 39.241;
104; 39740706; 39.741;
105; 37767779; 37.768;
106; 40304609; 40.305;
107; 43711747; 43.712;
108; 42340134; 42.340;
109; 39877444; 39.877;
110; 38126225; 38.126;
111; 41591843; 41.592;
112; 42657300; 42.657;
113; 42536474; 42.536;
114; 42754333; 42.754;
115; 45329004; 45.329;
116; 38489258; 38.489;
117; 44136577; 44.137;
118; 47530251; 47.530;
119; 58029780; 58.030;
120; 41782453; 41.782;
121; 44580763; 44.581;
122; 43566834; 43.567;
123; 43785155; 43.785;
124; 43703902; 43.704;
125; 42876163; 42.876;
126; 39684110; 39.684;
127; 40748225; 40.748;
128; 53668704; 53.669;
129; 44742399; 44.742;
130; 42261615; 42.262;
131; 45105554; 45.106;
132; 42731390; 42.731;
133; 44819174; 44.819;
134; 41109294; 41.109;
135; 44239220; 44.239;
136; 44046718; 44.047;
137; 46049231; 46.049;
138; 40127404; 40.127;
139; 43200975; 43.201;
140; 43073846; 43.074;
141; 42821640; 42.822;
142; 44608217; 44.608;
143; 47188035; 47.188;
144; 46754430; 46.754;
145; 45632737; 45.633;
146; 44077327; 44.077;
147; 44014206; 44.014;
148; 51367950; 51.368;
149; 44289085; 44.289;
150; 48404578; 48.405;
151; 43189643; 43.190;
152; 38172401; 38.172;
153; 42012025; 42.012;
154; 39582629; 39.583;
155; 43100124; 43.100;
156; 40093361; 40.093;
157; 39331616; 39.332;
158; 49420412; 49.420;
159; 43806857; 43.807;
160; 41048080; 41.048;
161; 43721777; 43.722;
162; 42220188; 42.220;
163; 39205829; 39.206;
164; 37393154; 37.393;
165; 38478278; 38.478;
166; 37591478; 37.591;
167; 40441075; 40.441;
168; 42379037; 42.379;
169; 40293969; 40.294;
170; 41227497; 41.227;
171; 47017595; 47.018;
172; 78632853; 78.633;
173; 39241035; 39.241;
174; 43702840; 43.703;
175; 72340500; 72.341;
176; 41086441; 41.086;
177; 42712685; 42.713;
178; 41297129; 41.297;
179; 39838160; 39.838;
180; 40325778; 40.326;
181; 41774948; 41.775;
182; 44454628; 44.455;
183; 44772575; 44.773;
184; 47123835; 47.124;
185; 42008879; 42.009;
186; 43536477; 43.536;
187; 43166600; 43.167;
188; 42220638; 42.221;
189; 39610391; 39.610;
190; 40719710; 40.720;
191; 41676133; 41.676;
192; 44561528; 44.562;
193; 43759468; 43.759;
194; 42894658; 42.895;
195; 39267866; 39.268;
196; 43945137; 43.945;
197; 41845891; 41.846;
198; 48424795; 48.425;
199; 41356830; 41.357;
200; 40692329; 40.692;
201; 37244403; 37.244;
202; 41739803; 41.740;
203; 39866392; 39.866;
204; 35258603; 35.259;
205; 44873927; 44.874;
206; 39858808; 39.859;
207; 43009856; 43.010;
208; 44154000; 44.154;
209; 41419839; 41.420;
210; 40168211; 40.168;
211; 42634808; 42.635;
212; 40456124; 40.456;
213; 42564065; 42.564;
214; 46846031; 46.846;
215; 42031283; 42.031;
216; 39893374; 39.893;
217; 44494812; 44.495;
218; 45899007; 45.899;
219; 44482008; 44.482;
220; 42968878; 42.969;
221; 43788522; 43.789;
222; 42402501; 42.403;
223; 42220769; 42.221;
224; 43281196; 43.281;
225; 42108217; 42.108;
226; 42725930; 42.726;
