iteration; latency_ns; latency_ms;
1; 17904948; 17.905;
2; 3608345; 3.608;
3; 3616420; 3.616;
4; 3739052; 3.739;
5; 3166461; 3.166;
6; 3393590; 3.394;
7; 3458682; 3.459;
8; 3469483; 3.469;
9; 4174454; 4.174;
10; 3606942; 3.607;
11; 3241502; 3.242;
12; 3611512; 3.612;
13; 3459504; 3.460;
14; 3307818; 3.308;
15; 3441240; 3.441;
16; 3313809; 3.314;
17; 3517574; 3.518;
18; 3138218; 3.138;
19; 3727240; 3.727;
20; 3375285; 3.375;
21; 3371758; 3.372;
22; 3257483; 3.257;
23; 3083645; 3.084;
24; 3548121; 3.548;
25; 3598417; 3.598;
26; 3511863; 3.512;
27; 3469884; 3.470;
28; 3284383; 3.284;
29; 3521241; 3.521;
30; 3735365; 3.735;
31; 3229680; 3.230;
32; 3441891; 3.442;
33; 3365957; 3.366;
34; 3368973; 3.369;
35; 3236172; 3.236;
36; 3616641; 3.617;
37; 3410942; 3.411;
38; 2919164; 2.919;
39; 3438234; 3.438;
40; 3328477; 3.328;
41; 3228358; 3.228;
42; 3397547; 3.398;
43; 3278663; 3.279;
44; 3672767; 3.673;
45; 3081911; 3.082;
46; 3009033; 3.009;
47; 3210304; 3.210;
48; 3627351; 3.627;
49; 3595040; 3.595;
50; 3682996; 3.683;
51; 3678598; 3.679;
52; 3563381; 3.563;
53; 3342683; 3.343;
54; 3389532; 3.390;
55; 3342443; 3.342;
56; 4164225; 4.164;
57; 3539044; 3.539;
58; 3520410; 3.520;
59; 2797073; 2.797;
60; 3419028; 3.419;
61; 3330671; 3.331;
62; 3469893; 3.470;
63; 3325952; 3.326;
64; 3645666; 3.646;
65; 3418747; 3.419;
66; 3391376; 3.391;
67; 3322716; 3.323;
68; 3329219; 3.329;
69; 3645085; 3.645;
70; 3458192; 3.458;
71; 3412576; 3.413;
72; 2943259; 2.943;
73; 3578018; 3.578;
74; 3531780; 3.532;
75; 3424859; 3.425;
76; 3621059; 3.621;
77; 2994356; 2.994;
78; 4180426; 4.180;
79; 3285686; 3.286;
80; 3159938; 3.160;
81; 3424408; 3.424;
82; 3391655; 3.392;
83; 3337654; 3.338;
84; 3173244; 3.173;
85; 4065178; 4.065;
86; 3994856; 3.995;
87; 3705228; 3.705;
88; 3164908; 3.165;
89; 3504689; 3.505;
90; 3166040; 3.166;
91; 3424187; 3.424;
92; 3474713; 3.475;
93; 3693266; 3.693;
94; 3304372; 3.304;
95; 3626089; 3.626;
96; 3500853; 3.501;
97; 3283822; 3.284;
98; 3462389; 3.462;
99; 3523855; 3.524;
100; 3614066; 3.614;
101; 3436501; 3.437;
102; 3638472; 3.638;
103; 3407116; 3.407;
104; 3690140; 3.690;
105; 3659331; 3.659;
106; 3796911; 3.797;
107; 3184084; 3.184;
108; 3198310; 3.198;
109; 3297298; 3.297;
110; 3507865; 3.508;
111; 3637460; 3.637;
112; 4023851; 4.024;
113; 3324318; 3.324;
114; 3182401; 3.182;
115; 3246452; 3.246;
116; 3750784; 3.751;
117; 3776613; 3.777;
118; 3626670; 3.627;
119; 3782424; 3.782;
120; 3430700; 3.431;
121; 3393569; 3.394;
122; 2997702; 2.998;
123; 2865993; 2.866;
124; 3531870; 3.532;
125; 3169436; 3.169;
126; 3397407; 3.397;
127; 3327585; 3.328;
128; 3567829; 3.568;
129; 3321453; 3.321;
130; 3446099; 3.446;
131; 3435398; 3.435;
132; 3314450; 3.314;
133; 3315923; 3.316;
134; 3566727; 3.567;
135; 2927109; 2.927;
136; 3208730; 3.209;
137; 3268724; 3.269;
138; 3682535; 3.683;
139; 3673929; 3.674;
140; 3359455; 3.359;
141; 3028471; 3.028;
142; 2979417; 2.979;
143; 2964649; 2.965;
144; 3000817; 3.001;
145; 3456429; 3.456;
146; 3168404; 3.168;
147; 3310894; 3.311;
148; 3266549; 3.267;
149; 3430238; 3.430;
150; 3005737; 3.006;
151; 3386146; 3.386;
152; 3453734; 3.454;
153; 3509278; 3.509;
154; 3788776; 3.789;
155; 2912130; 2.912;
156; 3208640; 3.209;
157; 3563681; 3.564;
158; 3265107; 3.265;
159; 3347162; 3.347;
160; 4685440; 4.685;
161; 3196898; 3.197;
162; 2828953; 2.829;
163; 3488038; 3.488;
164; 3089255; 3.089;
165; 3455176; 3.455;
166; 3148787; 3.149;
167; 3252153; 3.252;
168; 3653120; 3.653;
169; 3254025; 3.254;
170; 3178924; 3.179;
171; 3048919; 3.049;
172; 3350608; 3.351;
173; 2721881; 2.722;
174; 3335019; 3.335;
175; 3053378; 3.053;
176; 3062224; 3.062;
177; 3351330; 3.351;
178; 3307437; 3.307;
179; 3242203; 3.242;
180; 3342042; 3.342;
181; 3138848; 3.139;
182; 3081640; 3.082;
183; 3417475; 3.417;
184; 2831498; 2.831;
185; 3452781; 3.453;
186; 2963868; 2.964;
187; 3304592; 3.305;
188; 3174135; 3.174;
189; 3617051; 3.617;
190; 3316964; 3.317;
191; 3530228; 3.530;
192; 3358644; 3.359;
193; 3549534; 3.550;
194; 3060240; 3.060;
195; 3209211; 3.209;
196; 3201076; 3.201;
197; 2761957; 2.762;
198; 3411434; 3.411;
199; 3295154; 3.295;
200; 3249768; 3.250;
201; 3263775; 3.264;
202; 2777085; 2.777;
203; 3225753; 3.226;
204; 3564782; 3.565;
205; 3490122; 3.490;
206; 2935925; 2.936;
207; 3417675; 3.418;
208; 3364285; 3.364;
209; 3146733; 3.147;
210; 3188002; 3.188;
211; 3203982; 3.204;
212; 2979307; 2.979;
213; 3520930; 3.521;
214; 3398809; 3.399;
215; 3202669; 3.203;
216; 3524928; 3.525;
217; 3305523; 3.306;
218; 3453112; 3.453;
219; 4360165; 4.360;
220; 3375115; 3.375;
221; 3270547; 3.271;
222; 3396535; 3.397;
223; 3418827; 3.419;
224; 3535117; 3.535;
225; 3318769; 3.319;
226; 3392067; 3.392;
227; 3237415; 3.237;
228; 3242445; 3.242;
229; 3530458; 3.530;
230; 2967454; 2.967;
231; 3005477; 3.005;
232; 3479011; 3.479;
233; 3568139; 3.568;
234; 3185076; 3.185;
235; 3620849; 3.621;
236; 3535989; 3.536;
237; 3128619; 3.129;
238; 3169987; 3.170;
239; 3248756; 3.249;
240; 3437733; 3.438;
241; 3469864; 3.470;
242; 3571626; 3.572;
243; 3153776; 3.154;
244; 3270517; 3.271;
245; 3167302; 3.167;
246; 2959089; 2.959;
247; 3218298; 3.218;
248; 2986070; 2.986;
249; 3533253; 3.533;
250; 3228267; 3.228;
251; 3252433; 3.252;
252; 2666917; 2.667;
253; 3205635; 3.206;
254; 3281358; 3.281;
255; 3348344; 3.348;
256; 3451358; 3.451;
257; 3184886; 3.185;
258; 3362902; 3.363;
259; 3195065; 3.195;
260; 3352462; 3.352;
261; 3554454; 3.554;
262; 3336652; 3.337;
263; 3431812; 3.432;
264; 3597444; 3.597;
265; 3095747; 3.096;
266; 3769219; 3.769;
267; 3255469; 3.255;
268; 3587406; 3.587;
269; 3300413; 3.300;
270; 3277591; 3.278;
271; 3117087; 3.117;
272; 3039270; 3.039;
273; 3090988; 3.091;
274; 3163385; 3.163;
275; 3439466; 3.439;
276; 3365647; 3.366;
277; 2713204; 2.713;
278; 3255950; 3.256;
279; 3263444; 3.263;
280; 3316955; 3.317;
281; 2743361; 2.743;
282; 3142956; 3.143;
283; 3648411; 3.648;
284; 3363643; 3.364;
285; 3214982; 3.215;
286; 3111937; 3.112;
287; 3249527; 3.250;
288; 3326754; 3.327;
289; 3188843; 3.189;
290; 3090738; 3.091;
291; 3420821; 3.421;
292; 2800841; 2.801;
293; 2982063; 2.982;
294; 2576336; 2.576;
295; 3646858; 3.647;
296; 2781214; 2.781;
297; 3151432; 3.151;
298; 3045633; 3.046;
299; 3125724; 3.126;
300; 3366599; 3.367;
301; 3743040; 3.743;
302; 3215483; 3.215;
303; 3089976; 3.090;
304; 2986651; 2.987;
305; 3302798; 3.303;
306; 3203761; 3.204;
307; 3402085; 3.402;
308; 3012630; 3.013;
309; 3090697; 3.091;
310; 3544044; 3.544;
311; 3208350; 3.208;
312; 3386476; 3.386;
313; 3174837; 3.175;
314; 3231824; 3.232;
315; 3134190; 3.134;
316; 2956695; 2.957;
317; 3214000; 3.214;
318; 3229530; 3.230;
319; 2998333; 2.998;
320; 3096628; 3.097;
321; 2588329; 2.588;
322; 3043919; 3.044;
323; 2791983; 2.792;
324; 3352031; 3.352;
325; 3368241; 3.368;
326; 3342343; 3.342;
327; 2916689; 2.917;
328; 3204412; 3.204;
329; 3107980; 3.108;
330; 3574802; 3.575;
331; 3349476; 3.349;
332; 3184114; 3.184;
333; 3188382; 3.188;
334; 3266149; 3.266;
335; 3851895; 3.852;
336; 3059549; 3.060;
337; 3001809; 3.002;
338; 3210413; 3.210;
339; 3181559; 3.182;
340; 3270397; 3.270;
341; 3645496; 3.645;
342; 3100146; 3.100;
343; 2982383; 2.982;
344; 3272591; 3.273;
345; 2852849; 2.853;
346; 2946946; 2.947;
347; 3366970; 3.367;
348; 3362491; 3.362;
349; 3108060; 3.108;
350; 3226685; 3.227;
351; 3280206; 3.280;
352; 3116556; 3.117;
353; 3020165; 3.020;
354; 3031676; 3.032;
355; 3380785; 3.381;
356; 3218909; 3.219;
357; 3007430; 3.007;
358; 2789048; 2.789;
359; 3142305; 3.142;
360; 3127477; 3.127;
361; 3315011; 3.315;
362; 3199454; 3.199;
363; 3143126; 3.143;
364; 3348244; 3.348;
365; 3085438; 3.085;
366; 3235231; 3.235;
367; 3250640; 3.251;
368; 3369774; 3.370;
369; 2881994; 2.882;
370; 3502456; 3.502;
371; 3285977; 3.286;
372; 3099494; 3.099;
373; 3145582; 3.146;
374; 3312847; 3.313;
375; 3255980; 3.256;
376; 3328637; 3.329;
377; 3212698; 3.213;
378; 2901300; 2.901;
379; 2822902; 2.823;
380; 3194023; 3.194;
381; 2763329; 2.763;
382; 2843270; 2.843;
383; 2781052; 2.781;
384; 3213890; 3.214;
385; 3010817; 3.011;
386; 2931978; 2.932;
387; 2899857; 2.900;
388; 3051003; 3.051;
389; 2956975; 2.957;
390; 3379994; 3.380;
391; 2921838; 2.922;
392; 3132607; 3.133;
393; 3238887; 3.239;
394; 3333958; 3.334;
395; 3090577; 3.091;
396; 3221985; 3.222;
397; 2570846; 2.571;
398; 2712824; 2.713;
399; 2898154; 2.898;
400; 3130913; 3.131;
401; 3311685; 3.312;
402; 2918192; 2.918;
403; 3301726; 3.302;
404; 3101308; 3.101;
405; 3418797; 3.419;
406; 3246472; 3.246;
407; 3014173; 3.014;
408; 3239899; 3.240;
409; 3343895; 3.344;
410; 3092150; 3.092;
411; 3203671; 3.204;
412; 2986450; 2.986;
413; 3291637; 3.292;
414; 2875521; 2.876;
415; 3154749; 3.155;
416; 3233578; 3.234;
417; 2753921; 2.754;
418; 3241963; 3.242;
419; 3233427; 3.233;
420; 2591355; 2.591;
421; 3069488; 3.069;
422; 3280637; 3.281;
423; 3300905; 3.301;
424; 2774501; 2.775;
425; 2756156; 2.756;
426; 3315051; 3.315;
427; 2749443; 2.749;
428; 2991230; 2.991;
429; 3394211; 3.394;
430; 3420129; 3.420;
431; 3044339; 3.044;
432; 2938710; 2.939;
433; 3084065; 3.084;
434; 2684852; 2.685;
435; 2807463; 2.807;
436; 2868077; 2.868;
437; 3307607; 3.308;
438; 3058466; 3.058;
439; 3078033; 3.078;
440; 3297498; 3.297;
441; 2962696; 2.963;
442; 2816019; 2.816;
443; 2606382; 2.606;
444; 3082412; 3.082;
445; 3166962; 3.167;
446; 3161501; 3.162;
447; 3066431; 3.066;
448; 2863989; 2.864;
449; 2933301; 2.933;
450; 3338656; 3.339;
451; 3407456; 3.407;
452; 2945203; 2.945;
453; 3193372; 3.193;
454; 3204363; 3.204;
455; 3106418; 3.106;
456; 2534217; 2.534;
457; 3014043; 3.014;
458; 2861315; 2.861;
459; 3103191; 3.103;
460; 2877726; 2.878;
461; 3114894; 3.115;
462; 3013031; 3.013;
463; 3030924; 3.031;
464; 2779841; 2.780;
465; 2782405; 2.782;
466; 2870141; 2.870;
467; 3031125; 3.031;
468; 3189254; 3.189;
469; 2880520; 2.881;
470; 2847798; 2.848;
471; 3401785; 3.402;
472; 2932730; 2.933;
473; 2996520; 2.997;
474; 2834042; 2.834;
475; 3153366; 3.153;
476; 2868858; 2.869;
477; 3229459; 3.229;
478; 2820066; 2.820;
479; 3299612; 3.300;
480; 2894757; 2.895;
481; 3004114; 3.004;
482; 3283552; 3.284;
483; 3328166; 3.328;
484; 3366658; 3.367;
485; 3288511; 3.289;
486; 3267021; 3.267;
487; 3163375; 3.163;
488; 2860843; 2.861;
489; 3260749; 3.261;
490; 3131084; 3.131;
491; 3084726; 3.085;
492; 3110495; 3.110;
493; 3322315; 3.322;
494; 3188953; 3.189;
495; 2982954; 2.983;
496; 2864410; 2.864;
497; 3177221; 3.177;
498; 2789929; 2.790;
499; 2803835; 2.804;
500; 3249197; 3.249;
