iteration; latency_ns; latency_ms;
1; 9837941743; 9837.942;
2; 10743775235; 10743.775;
3; 9635991126; 9635.991;
4; 10065606460; 10065.606;
5; 10375679424; 10375.679;
6; 10377886363; 10377.886;
7; 10299998375; 10299.998;
8; 10465625542; 10465.626;
9; 9507125045; 9507.125;
10; 9720851980; 9720.852;
11; 9688055670; 9688.056;
12; 9713134413; 9713.134;
13; 9584151904; 9584.152;
14; 9525401121; 9525.401;
15; 9481569091; 9481.569;
16; 10087954592; 10087.955;
17; 10106220450; 10106.220;
18; 10462686408; 10462.686;
19; 10272527763; 10272.528;
20; 10668686850; 10668.687;
21; 9170386991; 9170.387;
22; 9653322001; 9653.322;
23; 11106508809; 11106.509;
24; 12107873614; 12107.874;
25; 11167857748; 11167.858;
26; 15655866899; 15655.867;
27; 13572392731; 13572.393;
28; 11692338742; 11692.339;
29; 9780016601; 9780.017;
30; 9541137632; 9541.138;
31; 11205079661; 11205.080;
32; 10228116923; 10228.117;
33; 9686479264; 9686.479;
34; 9851353365; 9851.353;
35; 10696256806; 10696.257;
36; 9587716199; 9587.716;
37; 10929276446; 10929.276;
38; 11010510788; 11010.511;
39; 10521023144; 10521.023;
40; 10380597298; 10380.597;
41; 9279230778; 9279.231;
42; 9673382899; 9673.383;
43; 10180166737; 10180.167;
44; 10217250750; 10217.251;
45; 9732839381; 9732.839;
46; 10404981486; 10404.981;
47; 9915297538; 9915.298;
48; 9276066329; 9276.066;
49; 9804216683; 9804.217;
50; 8779637994; 8779.638;
