iteration; latency_ns; latency_ms;
1; 1646115295; 1646.115;
2; 14826691; 14.827;
3; 13288644; 13.289;
4; 11407641; 11.408;
5; 10973233; 10.973;
6; 9738195; 9.738;
7; 10561075; 10.561;
8; 10693926; 10.694;
9; 10426191; 10.426;
10; 11367025; 11.367;
11; 10240532; 10.241;
12; 9247802; 9.248;
13; 9549519; 9.550;
14; 10169219; 10.169;
15; 9312443; 9.312;
16; 9326379; 9.326;
17; 9037575; 9.038;
18; 8673720; 8.674;
19; 8350973; 8.351;
20; 9574899; 9.575;
21; 8630549; 8.631;
22; 8742500; 8.742;
23; 10503507; 10.504;
24; 9595778; 9.596;
25; 10199884; 10.200;
26; 9059557; 9.060;
27; 8484364; 8.484;
28; 8709266; 8.709;
29; 8393241; 8.393;
30; 8567810; 8.568;
31; 8386799; 8.387;
32; 8993052; 8.993;
33; 10335281; 10.335;
34; 8595492; 8.595;
35; 9313665; 9.314;
36; 8478943; 8.479;
37; 8749442; 8.749;
38; 10351942; 10.352;
39; 9147954; 9.148;
40; 9688271; 9.688;
41; 8283906; 8.284;
42; 9093300; 9.093;
43; 8710229; 8.710;
44; 8900257; 8.900;
45; 8562832; 8.563;
46; 9320509; 9.321;
47; 9930407; 9.930;
48; 8972605; 8.973;
49; 8373595; 8.374;
50; 9341778; 9.342;
51; 8916247; 8.916;
52; 8980087; 8.980;
53; 8215316; 8.215;
54; 8832620; 8.833;
55; 8982622; 8.983;
56; 8865582; 8.866;
57; 9715993; 9.716;
58; 12413946; 12.414;
59; 13386138; 13.386;
60; 10274546; 10.275;
61; 10061564; 10.062;
62; 10896699; 10.897;
63; 10049773; 10.050;
64; 19381311; 19.381;
65; 28129713; 28.130;
66; 14879060; 14.879;
67; 8887714; 8.888;
68; 12345437; 12.345;
69; 9042104; 9.042;
70; 8610411; 8.610;
71; 8569975; 8.570;
72; 7909000; 7.909;
73; 10759899; 10.760;
74; 8190289; 8.190;
75; 9738336; 9.738;
76; 12588054; 12.588;
77; 10399612; 10.400;
78; 13788677; 13.789;
79; 9513191; 9.513;
80; 9375824; 9.376;
81; 9211273; 9.211;
82; 10400863; 10.401;
83; 9271125; 9.271;
84; 9153244; 9.153;
85; 10928899; 10.929;
86; 9386052; 9.386;
87; 8560577; 8.561;
88; 8653703; 8.654;
89; 8635478; 8.635;
90; 8521013; 8.521;
91; 8377563; 8.378;
92; 10486004; 10.486;
93; 9296754; 9.297;
94; 9930347; 9.930;
95; 10615929; 10.616;
96; 10372831; 10.373;
97; 10516441; 10.516;
98; 8787845; 8.788;
99; 9459010; 9.459;
100; 9804180; 9.804;
101; 9302134; 9.302;
102; 9035301; 9.035;
103; 9234707; 9.235;
104; 9721615; 9.722;
105; 9821032; 9.821;
106; 13209835; 13.210;
107; 9477013; 9.477;
108; 8666848; 8.667;
109; 9916750; 9.917;
110; 11047161; 11.047;
111; 9660118; 9.660;
112; 10832436; 10.832;
113; 10511764; 10.512;
114; 10473551; 10.474;
115; 9401051; 9.401;
116; 8633455; 8.633;
117; 9126404; 9.126;
118; 8859059; 8.859;
119; 8621032; 8.621;
120; 14458418; 14.458;
121; 8541460; 8.541;
122; 8282613; 8.283;
123; 8195038; 8.195;
124; 9400099; 9.400;
125; 8931736; 8.932;
126; 8982332; 8.982;
127; 10180440; 10.180;
128; 9928784; 9.929;
129; 8118494; 8.118;
130; 9353911; 9.354;
131; 8834965; 8.835;
132; 8552111; 8.552;
133; 9660900; 9.661;
134; 9718459; 9.718;
135; 9236189; 9.236;
136; 8824365; 8.824;
137; 10519969; 10.520;
138; 9405720; 9.406;
139; 9384079; 9.384;
140; 9657313; 9.657;
141; 9587241; 9.587;
142; 9176888; 9.177;
143; 10208051; 10.208;
144; 10179968; 10.180;
145; 9581830; 9.582;
146; 9402454; 9.402;
147; 10404631; 10.405;
148; 10364926; 10.365;
149; 11210339; 11.210;
150; 9344195; 9.344;
151; 10177834; 10.178;
152; 9565512; 9.566;
153; 8991710; 8.992;
154; 8669462; 8.669;
155; 9493595; 9.494;
156; 9435385; 9.435;
157; 11923191; 11.923;
158; 9189571; 9.190;
159; 8959839; 8.960;
160; 9974691; 9.975;
161; 10195577; 10.196;
162; 12066722; 12.067;
163; 9366817; 9.367;
164; 11289217; 11.289;
165; 10071803; 10.072;
166; 8916457; 8.916;
167; 9466332; 9.466;
168; 9018940; 9.019;
169; 9789482; 9.789;
170; 10427975; 10.428;
171; 10826405; 10.826;
172; 10278784; 10.279;
173; 10133571; 10.134;
174; 11268718; 11.269;
175; 10437954; 10.438;
176; 10542752; 10.543;
177; 9320889; 9.321;
178; 9657874; 9.658;
179; 9947731; 9.948;
180; 9215120; 9.215;
181; 10124924; 10.125;
182; 10372921; 10.373;
183; 9505868; 9.506;
184; 10105909; 10.106;
185; 11363297; 11.363;
186; 11047603; 11.048;
187; 10246483; 10.246;
188; 10062476; 10.062;
189; 10653420; 10.653;
190; 11305789; 11.306;
191; 10053419; 10.053;
192; 10771433; 10.771;
193; 12327182; 12.327;
194; 9256459; 9.256;
195; 9797006; 9.797;
196; 9343693; 9.344;
197; 9665058; 9.665;
198; 9211983; 9.212;
199; 9783943; 9.784;
200; 10066644; 10.067;
201; 10044914; 10.045;
202; 10671494; 10.671;
203; 10701841; 10.702;
204; 8971451; 8.971;
205; 9945346; 9.945;
206; 10611350; 10.611;
207; 8722823; 8.723;
