iteration; latency_ns; latency_ms;
1; 45021945; 45.022;
2; 40057524; 40.058;
3; 38335860; 38.336;
4; 37748342; 37.748;
5; 39785321; 39.785;
6; 35216253; 35.216;
7; 34005632; 34.006;
8; 32828104; 32.828;
9; 32461804; 32.462;
10; 33840531; 33.841;
11; 39703336; 39.703;
12; 42148233; 42.148;
13; 36343787; 36.344;
14; 36026760; 36.027;
15; 35283829; 35.284;
16; 35763323; 35.763;
17; 35153455; 35.153;
18; 33890636; 33.891;
19; 33958053; 33.958;
20; 38039791; 38.040;
21; 37025701; 37.026;
22; 35466072; 35.466;
23; 36212770; 36.213;
24; 37990539; 37.991;
25; 39304284; 39.304;
26; 36034253; 36.034;
27; 37856246; 37.856;
28; 33414289; 33.414;
29; 33224761; 33.225;
30; 45335174; 45.335;
31; 36424267; 36.424;
32; 36087564; 36.088;
33; 38882270; 38.882;
34; 38691709; 38.692;
35; 36147127; 36.147;
36; 37648935; 37.649;
37; 36585943; 36.586;
38; 37831440; 37.831;
39; 35870145; 35.870;
40; 36568189; 36.568;
41; 35917333; 35.917;
42; 36724345; 36.724;
43; 36486397; 36.486;
44; 42565988; 42.566;
45; 34851135; 34.851;
46; 36058941; 36.059;
47; 42005433; 42.005;
48; 34365299; 34.365;
49; 33924740; 33.925;
50; 35369332; 35.369;
51; 35200443; 35.200;
52; 36387378; 36.387;
53; 37134146; 37.134;
54; 34062711; 34.063;
55; 36282492; 36.282;
56; 35720240; 35.720;
57; 37529920; 37.530;
58; 37428722; 37.429;
59; 36362864; 36.363;
60; 36536621; 36.537;
61; 36038362; 36.038;
62; 38199914; 38.200;
63; 37959780; 37.960;
64; 36913240; 36.913;
65; 36980055; 36.980;
66; 35615865; 35.616;
67; 37609001; 37.609;
68; 55512999; 55.513;
69; 34880579; 34.881;
70; 34756778; 34.757;
71; 38445827; 38.446;
72; 38943595; 38.944;
73; 36268906; 36.269;
74; 33642909; 33.643;
75; 36903020; 36.903;
76; 37255014; 37.255;
77; 36453784; 36.454;
78; 34621823; 34.622;
79; 35112768; 35.113;
80; 34921478; 34.921;
81; 35832474; 35.832;
82; 35373289; 35.373;
83; 36826075; 36.826;
84; 34325816; 34.326;
85; 34564505; 34.565;
86; 35471174; 35.471;
87; 35248633; 35.249;
88; 34690572; 34.691;
89; 36108113; 36.108;
