iteration; latency_ns; latency_ms;
1; 1700448027; 1700.448;
2; 2226133; 2.226;
3; 2133048; 2.133;
4; 1816861; 1.817;
5; 2692724; 2.693;
6; 2123530; 2.124;
7; 2232205; 2.232;
8; 2166671; 2.167;
9; 1896931; 1.897;
10; 2267461; 2.267;
11; 2035633; 2.036;
12; 2228528; 2.229;
13; 1831188; 1.831;
14; 1703146; 1.703;
15; 1951405; 1.951;
16; 2016307; 2.016;
17; 2366098; 2.366;
18; 1981001; 1.981;
19; 2404871; 2.405;
20; 2206837; 2.207;
21; 2373051; 2.373;
22; 2553822; 2.554;
23; 2596984; 2.597;
24; 1786383; 1.786;
25; 1953689; 1.954;
26; 1632994; 1.633;
27; 1714197; 1.714;
28; 2587285; 2.587;
29; 2305824; 2.306;
30; 2380485; 2.380;
31; 2022990; 2.023;
32; 2385204; 2.385;
33; 2272000; 2.272;
34; 2198251; 2.198;
35; 2044550; 2.045;
36; 2406695; 2.407;
37; 1921378; 1.921;
38; 2507174; 2.507;
39; 2592184; 2.592;
40; 2279905; 2.280;
41; 2384974; 2.385;
42; 2463892; 2.464;
43; 2084045; 2.084;
44; 1892544; 1.893;
45; 2692754; 2.693;
46; 1666637; 1.667;
47; 2057725; 2.058;
48; 2351470; 2.351;
49; 2570534; 2.571;
50; 2540387; 2.540;
51; 1917220; 1.917;
52; 2407195; 2.407;
53; 2337494; 2.337;
54; 2431812; 2.432;
55; 1671566; 1.672;
56; 2398389; 2.398;
57; 2407436; 2.407;
58; 2206947; 2.207;
59; 1670645; 1.671;
60; 1996550; 1.997;
61; 2287359; 2.287;
62; 1812673; 1.813;
63; 2390093; 2.390;
64; 2459474; 2.459;
65; 2409299; 2.409;
66; 2242514; 2.243;
67; 2354736; 2.355;
68; 2140451; 2.140;
69; 1698497; 1.698;
70; 2451940; 2.452;
71; 2056373; 2.056;
72; 2334889; 2.335;
73; 2322656; 2.323;
74; 2128099; 2.128;
75; 1991951; 1.992;
76; 2338255; 2.338;
77; 2214531; 2.215;
78; 2013922; 2.014;
79; 2201618; 2.202;
80; 2447391; 2.447;
81; 1688238; 1.688;
82; 2368833; 2.369;
83; 2255258; 2.255;
84; 2138548; 2.139;
85; 2426241; 2.426;
86; 2589560; 2.590;
87; 2145301; 2.145;
88; 2370947; 2.371;
89; 2418046; 2.418;
90; 1976441; 1.976;
91; 2114483; 2.114;
92; 2320562; 2.321;
93; 2572768; 2.573;
94; 1809096; 1.809;
95; 2401154; 2.401;
96; 2452301; 2.452;
97; 1966753; 1.967;
98; 2349075; 2.349;
99; 2378290; 2.378;
100; 2049890; 2.050;
