iteration; latency_ns; latency_ms;
1; 2385599741; 2385.600;
2; 3916868; 3.917;
3; 3799576; 3.800;
4; 3978875; 3.979;
5; 3664471; 3.664;
6; 3943308; 3.943;
7; 3623685; 3.624;
8; 3510992; 3.511;
9; 3368362; 3.368;
10; 3463412; 3.463;
11; 3954369; 3.954;
12; 4103661; 4.104;
13; 3553923; 3.554;
14; 3700379; 3.700;
15; 3839292; 3.839;
16; 4003111; 4.003;
17; 3769420; 3.769;
18; 4540245; 4.540;
19; 3903092; 3.903;
20; 4295473; 4.295;
21; 3705870; 3.706;
22; 3337214; 3.337;
23; 4199603; 4.200;
24; 4086909; 4.087;
25; 4319900; 4.320;
26; 3741136; 3.741;
27; 3934772; 3.935;
28; 4602252; 4.602;
29; 4072743; 4.073;
30; 4351038; 4.351;
31; 4251160; 4.251;
32; 4372539; 4.373;
33; 3637751; 3.638;
34; 4142314; 4.142;
35; 4044950; 4.045;
36; 4207988; 4.208;
37; 4413697; 4.414;
38; 4843748; 4.844;
39; 3619306; 3.619;
40; 4047675; 4.048;
41; 4540205; 4.540;
42; 4415069; 4.415;
43; 4041273; 4.041;
44; 3977623; 3.978;
45; 4202889; 4.203;
46; 4092479; 4.092;
47; 3769900; 3.770;
48; 3974748; 3.975;
49; 3806189; 3.806;
50; 4227184; 4.227;
51; 4036093; 4.036;
52; 4246370; 4.246;
53; 4373931; 4.374;
54; 4279573; 4.280;
55; 3764630; 3.765;
56; 3773738; 3.774;
57; 4009413; 4.009;
58; 4087590; 4.088;
59; 3583779; 3.584;
60; 4008451; 4.008;
61; 4005455; 4.005;
62; 4118469; 4.118;
63; 3746426; 3.746;
64; 4596442; 4.596;
65; 4156160; 4.156;
66; 4403237; 4.403;
67; 3672867; 3.673;
68; 3491464; 3.491;
69; 4058816; 4.059;
70; 3705869; 3.706;
71; 3250510; 3.251;
72; 3833591; 3.834;
73; 4124009; 4.124;
74; 3806369; 3.806;
75; 3542821; 3.543;
76; 4074575; 4.075;
77; 3960460; 3.960;
78; 3916788; 3.917;
79; 4122356; 4.122;
80; 3770401; 3.770;
81; 3786812; 3.787;
82; 4344055; 4.344;
83; 4122757; 4.123;
84; 4136884; 4.137;
85; 4110273; 4.110;
86; 4233146; 4.233;
87; 3897802; 3.898;
88; 3680121; 3.680;
89; 3757657; 3.758;
90; 3745886; 3.746;
91; 3606853; 3.607;
92; 3712192; 3.712;
93; 3280316; 3.280;
