iteration; latency_ns; latency_ms;
1; 3704076054; 3704.076;
2; 2210124162; 2210.124;
3; 2214358756; 2214.359;
4; 2165852544; 2165.853;
5; 2214820077; 2214.820;
6; 2208480863; 2208.481;
7; 2119654483; 2119.654;
8; 2180693576; 2180.694;
9; 2274664943; 2274.665;
10; 2106142848; 2106.143;
11; 2160016044; 2160.016;
12; 2211132282; 2211.132;
13; 2118475110; 2118.475;
14; 2167396819; 2167.397;
15; 2166752002; 2166.752;
16; 2221028761; 2221.029;
17; 2183184563; 2183.185;
18; 2219357330; 2219.357;
19; 2215914458; 2215.914;
20; 2167903749; 2167.904;
21; 2178019449; 2178.019;
22; 2120007766; 2120.008;
23; 2067926767; 2067.927;
24; 2176002188; 2176.002;
25; 2197848976; 2197.849;
26; 2111585722; 2111.586;
27; 2109794138; 2109.794;
28; 2163615859; 2163.616;
29; 2220370114; 2220.370;
30; 2223144463; 2223.144;
31; 2218801921; 2218.802;
32; 2124740871; 2124.741;
33; 2160502710; 2160.503;
34; 2113616673; 2113.617;
35; 2110838577; 2110.839;
36; 2159290068; 2159.290;
37; 2151286956; 2151.287;
38; 2116596377; 2116.596;
39; 2216261771; 2216.262;
40; 2166887363; 2166.887;
41; 2214858881; 2214.859;
42; 2258661353; 2258.661;
43; 2227017449; 2227.017;
44; 2220518070; 2220.518;
45; 2119811411; 2119.811;
46; 2170696946; 2170.697;
47; 2119240811; 2119.241;
48; 2116121447; 2116.121;
49; 2113447091; 2113.447;
50; 2210967096; 2210.967;
