iteration; latency_ns; latency_ms;
1; 12814186; 12.814;
2; 2846159; 2.846;
3; 2894440; 2.894;
4; 2295227; 2.295;
5; 3435011; 3.435;
6; 2592089; 2.592;
7; 2934024; 2.934;
8; 2945416; 2.945;
9; 2704822; 2.705;
10; 2287213; 2.287;
11; 2293264; 2.293;
12; 2573844; 2.574;
13; 2471931; 2.472;
14; 14274555; 14.275;
15; 2443297; 2.443;
16; 2524431; 2.524;
17; 2716233; 2.716;
18; 2400616; 2.401;
19; 2680726; 2.681;
20; 2855947; 2.856;
21; 2909498; 2.909;
22; 2384796; 2.385;
23; 2460900; 2.461;
24; 2333850; 2.334;
25; 2628868; 2.629;
26; 2833876; 2.834;
27; 2721212; 2.721;
28; 2514191; 2.514;
29; 2928214; 2.928;
30; 3053260; 3.053;
31; 2313993; 2.314;
32; 3430122; 3.430;
33; 2328080; 2.328;
34; 2385348; 2.385;
35; 1956788; 1.957;
36; 2685705; 2.686;
37; 3065623; 3.066;
38; 2497860; 2.498;
39; 3218462; 3.218;
40; 2208744; 2.209;
41; 1771197; 1.771;
42; 2326377; 2.326;
43; 3379426; 3.379;
44; 2354178; 2.354;
45; 2293804; 2.294;
46; 3420193; 3.420;
47; 2815762; 2.816;
48; 2645118; 2.645;
49; 2997104; 2.997;
50; 2566480; 2.566;
51; 2087265; 2.087;
52; 2500906; 2.501;
53; 2453446; 2.453;
54; 2482341; 2.482;
55; 3506246; 3.506;
56; 2370379; 2.370;
57; 2559837; 2.560;
58; 2954413; 2.954;
59; 2391960; 2.392;
60; 2586447; 2.586;
61; 3149612; 3.150;
62; 2238590; 2.239;
63; 2763813; 2.764;
64; 2255322; 2.255;
65; 2537526; 2.538;
66; 2724228; 2.724;
67; 3105589; 3.106;
68; 2501477; 2.501;
69; 2328340; 2.328;
70; 2642343; 2.642;
71; 2358827; 2.359;
72; 2321647; 2.322;
73; 3147629; 3.148;
74; 2748213; 2.748;
75; 2420724; 2.421;
76; 2351935; 2.352;
77; 2377914; 2.378;
78; 2559006; 2.559;
79; 3643886; 3.644;
80; 2702818; 2.703;
81; 2684483; 2.684;
82; 2882989; 2.883;
83; 2782178; 2.782;
84; 2207331; 2.207;
85; 3060975; 3.061;
86; 2680085; 2.680;
87; 2139443; 2.139;
88; 2721292; 2.721;
89; 2452295; 2.452;
90; 3127781; 3.128;
91; 2881605; 2.882;
92; 1943042; 1.943;
93; 2457544; 2.458;
94; 2609291; 2.609;
95; 2777348; 2.777;
96; 2980523; 2.981;
97; 2391499; 2.391;
98; 2795783; 2.796;
99; 2490226; 2.490;
100; 2802416; 2.802;
