iteration; latency_ns; latency_ms;
1; 1686691109; 1686.691;
2; 1057325830; 1057.326;
3; 1030435893; 1030.436;
4; 1012905594; 1012.906;
5; 1190568889; 1190.569;
6; 1206950847; 1206.951;
7; 1297429182; 1297.429;
8; 1382117906; 1382.118;
9; 1408082343; 1408.082;
10; 1670317016; 1670.317;
11; 1218810282; 1218.810;
12; 1206624427; 1206.624;
13; 1205904480; 1205.904;
14; 1347826863; 1347.827;
15; 1158945592; 1158.946;
16; 1155859377; 1155.859;
17; 1401283385; 1401.283;
18; 1137514614; 1137.515;
19; 1086463338; 1086.463;
20; 1132465408; 1132.465;
21; 1209305291; 1209.305;
22; 1217410771; 1217.411;
23; 1206793237; 1206.793;
24; 1194570482; 1194.570;
25; 1216891791; 1216.892;
26; 1202424944; 1202.425;
27; 1204772304; 1204.772;
28; 1337955449; 1337.955;
29; 1147156626; 1147.157;
30; 1523775569; 1523.776;
31; 1300840226; 1300.840;
32; 1726878574; 1726.879;
33; 1334136239; 1334.136;
34; 1349842531; 1349.843;
35; 1511182528; 1511.183;
36; 1673355098; 1673.355;
37; 1483914111; 1483.914;
38; 1398084079; 1398.084;
39; 1721889753; 1721.890;
40; 1285280318; 1285.280;
41; 1403732261; 1403.732;
42; 1361706633; 1361.707;
43; 1267127172; 1267.127;
44; 1722726549; 1722.727;
45; 1222486231; 1222.486;
46; 1231173627; 1231.174;
47; 1332537116; 1332.537;
48; 1146935554; 1146.936;
49; 1319033948; 1319.034;
50; 1145821406; 1145.821;
