iteration; latency_ns; latency_ms;
1; 5968710; 5.969;
2; 4332851; 4.333;
3; 4328064; 4.328;
4; 4019774; 4.020;
5; 3207234; 3.207;
6; 3444390; 3.444;
7; 3818664; 3.819;
8; 9159643; 9.160;
9; 3251338; 3.251;
10; 3340835; 3.341;
11; 3172749; 3.173;
12; 3304085; 3.304;
13; 3322131; 3.322;
14; 3130219; 3.130;
15; 3286554; 3.287;
16; 3086317; 3.086;
17; 3101967; 3.102;
18; 3251017; 3.251;
19; 3176086; 3.176;
20; 3305370; 3.305;
21; 3202706; 3.203;
22; 3235647; 3.236;
23; 3251899; 3.252;
24; 3156738; 3.157;
25; 3149555; 3.150;
26; 3227444; 3.227;
27; 5423915; 5.424;
28; 3384016; 3.384;
29; 3419865; 3.420;
30; 3890831; 3.891;
31; 3341046; 3.341;
32; 3237122; 3.237;
33; 3149906; 3.150;
34; 3610202; 3.610;
35; 3314145; 3.314;
36; 3180314; 3.180;
37; 3293427; 3.293;
38; 3891482; 3.891;
39; 3527187; 3.527;
40; 3763721; 3.764;
41; 3830647; 3.831;
42; 3312201; 3.312;
43; 3456393; 3.456;
44; 3342268; 3.342;
45; 3491319; 3.491;
46; 3445583; 3.446;
47; 3324955; 3.325;
48; 3731151; 3.731;
49; 3654778; 3.655;
50; 3291534; 3.292;
51; 3396290; 3.396;
52; 3330436; 3.330;
53; 3453218; 3.453;
54; 3407771; 3.408;
55; 3512248; 3.512;
56; 3603029; 3.603;
57; 3291943; 3.292;
58; 3427849; 3.428;
59; 4222214; 4.222;
60; 3706252; 3.706;
61; 3510695; 3.511;
62; 3678851; 3.679;
63; 3716253; 3.716;
64; 3819788; 3.820;
65; 3617977; 3.618;
66; 3577590; 3.578;
67; 3444780; 3.445;
68; 3607367; 3.607;
69; 3472343; 3.472;
70; 3440113; 3.440;
71; 3620291; 3.620;
72; 3422880; 3.423;
73; 3689613; 3.690;
74; 3467364; 3.467;
75; 3537104; 3.537;
76; 3807314; 3.807;
77; 3884309; 3.884;
78; 3793488; 3.793;
79; 3804989; 3.805;
80; 3572611; 3.573;
81; 3641511; 3.642;
82; 3757160; 3.757;
83; 3539679; 3.540;
84; 3629770; 3.630;
85; 3348131; 3.348;
86; 3544618; 3.545;
87; 3432038; 3.432;
88; 3361765; 3.362;
89; 3391101; 3.391;
90; 3640470; 3.640;
91; 3466993; 3.467;
92; 3452033; 3.452;
93; 3614170; 3.614;
94; 3406349; 3.406;
95; 3254863; 3.255;
96; 3264333; 3.264;
97; 3316110; 3.316;
98; 3191885; 3.192;
99; 3577231; 3.577;
100; 3479186; 3.479;
101; 3472243; 3.472;
102; 3378216; 3.378;
103; 3588301; 3.588;
104; 3587260; 3.587;
105; 3559868; 3.560;
106; 3498091; 3.498;
107; 3146961; 3.147;
108; 3261216; 3.261;
109; 3259043; 3.259;
110; 3360302; 3.360;
111; 3329565; 3.330;
112; 3416609; 3.417;
113; 3398984; 3.399;
114; 3387836; 3.388;
115; 3448838; 3.449;
116; 3589353; 3.589;
117; 3768492; 3.768;
118; 3748162; 3.748;
119; 3656308; 3.656;
120; 4063195; 4.063;
121; 3368199; 3.368;
122; 3457035; 3.457;
123; 3460721; 3.461;
124; 3834313; 3.834;
125; 3604121; 3.604;
126; 3676247; 3.676;
127; 3618970; 3.619;
128; 3623778; 3.624;
129; 3543146; 3.543;
130; 3613879; 3.614;
131; 3352868; 3.353;
132; 3416498; 3.416;
133; 3930896; 3.931;
134; 3729427; 3.729;
135; 3519071; 3.519;
136; 3811653; 3.812;
137; 3750156; 3.750;
138; 3765795; 3.766;
139; 3580998; 3.581;
140; 3596687; 3.597;
141; 3698849; 3.699;
142; 3651400; 3.651;
143; 3644688; 3.645;
144; 3933230; 3.933;
145; 3625461; 3.625;
146; 3756367; 3.756;
147; 3721021; 3.721;
148; 3766376; 3.766;
149; 3690163; 3.690;
150; 4050661; 4.051;
151; 3969838; 3.970;
152; 3651521; 3.652;
153; 3689431; 3.689;
154; 3695783; 3.696;
155; 3473636; 3.474;
156; 3451424; 3.451;
157; 4139799; 4.140;
158; 4607078; 4.607;
159; 3839143; 3.839;
160; 4236972; 4.237;
161; 3814396; 3.814;
162; 3753121; 3.753;
163; 3659576; 3.660;
164; 3718988; 3.719;
165; 3658352; 3.658;
166; 3741079; 3.741;
167; 3544089; 3.544;
168; 3696916; 3.697;
169; 3975720; 3.976;
170; 3806122; 3.806;
171; 8424320; 8.424;
172; 3498311; 3.498;
173; 3446024; 3.446;
174; 3456143; 3.456;
175; 3511988; 3.512;
176; 3258190; 3.258;
177; 3317963; 3.318;
178; 3242210; 3.242;
179; 3263710; 3.264;
180; 3264983; 3.265;
181; 3337189; 3.337;
182; 3899547; 3.900;
183; 3456834; 3.457;
184; 3371212; 3.371;
185; 3301482; 3.301;
186; 3212804; 3.213;
187; 3429783; 3.430;
188; 3346476; 3.346;
189; 3237600; 3.238;
190; 3263591; 3.264;
191; 3198678; 3.199;
192; 3302965; 3.303;
193; 3329053; 3.329;
194; 3461984; 3.462;
195; 3615162; 3.615;
196; 3322181; 3.322;
197; 3250546; 3.251;
198; 3566461; 3.566;
199; 3419004; 3.419;
200; 3661369; 3.661;
201; 4172150; 4.172;
202; 4393525; 4.394;
203; 3560620; 3.561;
204; 3704399; 3.704;
205; 3755596; 3.756;
206; 3652461; 3.652;
207; 3640069; 3.640;
208; 3669704; 3.670;
209; 3552184; 3.552;
210; 3476110; 3.476;
211; 3249874; 3.250;
212; 3583423; 3.583;
213; 3596557; 3.597;
214; 3645148; 3.645;
215; 3695152; 3.695;
216; 3626563; 3.627;
217; 3395440; 3.395;
218; 3271897; 3.272;
219; 3404234; 3.404;
220; 3574576; 3.575;
221; 3587901; 3.588;
222; 3596378; 3.596;
223; 3709119; 3.709;
224; 3492230; 3.492;
225; 3512368; 3.512;
226; 3341807; 3.342;
227; 3515895; 3.516;
228; 3552654; 3.553;
229; 3380540; 3.381;
230; 3302815; 3.303;
231; 3307303; 3.307;
232; 3378588; 3.379;
233; 3428951; 3.429;
234; 3463536; 3.464;
235; 3710362; 3.710;
236; 3731732; 3.732;
237; 3455201; 3.455;
238; 3389798; 3.390;
239; 3748963; 3.749;
240; 3862787; 3.863;
241; 3893155; 3.893;
242; 4214218; 4.214;
243; 3672721; 3.673;
244; 3308283; 3.308;
245; 3736790; 3.737;
246; 3644047; 3.644;
247; 3505535; 3.506;
248; 3705172; 3.705;
249; 3471572; 3.472;
250; 3329755; 3.330;
251; 3370291; 3.370;
252; 3589123; 3.589;
253; 3676508; 3.677;
254; 3761477; 3.761;
255; 3618028; 3.618;
256; 3153022; 3.153;
257; 3535132; 3.535;
258; 3428261; 3.428;
259; 4182540; 4.183;
260; 3441535; 3.442;
261; 3555298; 3.555;
262; 3561582; 3.562;
263; 3564477; 3.564;
264; 3808545; 3.809;
265; 3767878; 3.768;
266; 8610571; 8.611;
267; 3355044; 3.355;
268; 3296853; 3.297;
269; 3298896; 3.299;
270; 3252600; 3.253;
271; 3194510; 3.195;
272; 3229626; 3.230;
273; 3257339; 3.257;
274; 3234856; 3.235;
275; 3616154; 3.616;
276; 3695002; 3.695;
277; 3351206; 3.351;
278; 4007851; 4.008;
279; 3414385; 3.414;
280; 3424673; 3.425;
281; 3204258; 3.204;
282; 3262880; 3.263;
283; 10791654; 10.792;
284; 3052003; 3.052;
285; 3217293; 3.217;
286; 3333592; 3.334;
287; 3375191; 3.375;
288; 3411378; 3.411;
289; 3106625; 3.107;
290; 3272737; 3.273;
291; 3127244; 3.127;
292; 3582501; 3.583;
293; 3334394; 3.334;
294; 3440283; 3.440;
295; 3529560; 3.530;
296; 3761256; 3.761;
297; 3640088; 3.640;
298; 3608420; 3.608;
299; 3427138; 3.427;
300; 3639728; 3.640;
301; 3775293; 3.775;
302; 3574166; 3.574;
303; 3567001; 3.567;
304; 3624389; 3.624;
305; 7868023; 7.868;
306; 3463438; 3.463;
307; 3544028; 3.544;
308; 3534942; 3.535;
309; 3629809; 3.630;
310; 3519732; 3.520;
311; 3372816; 3.373;
312; 3386081; 3.386;
313; 3502270; 3.502;
314; 3288607; 3.289;
315; 3625081; 3.625;
316; 3443328; 3.443;
317; 3359942; 3.360;
318; 3365232; 3.365;
319; 3319255; 3.319;
320; 3710541; 3.711;
321; 3678852; 3.679;
322; 4150650; 4.151;
323; 3413713; 3.414;
324; 4164365; 4.164;
325; 3791564; 3.792;
326; 3220039; 3.220;
327; 3048074; 3.048;
328; 2985368; 2.985;
329; 3374078; 3.374;
330; 3258971; 3.259;
331; 3323353; 3.323;
332; 3444922; 3.445;
333; 3249414; 3.249;
334; 3249064; 3.249;
335; 3062803; 3.063;
336; 3174373; 3.174;
337; 3447838; 3.448;
338; 3314766; 3.315;
339; 3344161; 3.344;
340; 3267076; 3.267;
341; 3162700; 3.163;
342; 3231672; 3.232;
343; 3210009; 3.210;
344; 3634499; 3.634;
345; 3358460; 3.358;
346; 3459750; 3.460;
347; 3295260; 3.295;
348; 3547255; 3.547;
349; 3433811; 3.434;
350; 3207796; 3.208;
351; 3404626; 3.405;
352; 3191715; 3.192;
353; 3101496; 3.101;
354; 3203037; 3.203;
355; 3262297; 3.262;
356; 3470120; 3.470;
357; 3987984; 3.988;
358; 3657522; 3.658;
359; 4665568; 4.666;
360; 3519483; 3.519;
361; 3767519; 3.768;
362; 3552605; 3.553;
363; 3529410; 3.529;
364; 3818846; 3.819;
365; 9695101; 9.695;
366; 3432217; 3.432;
367; 3075988; 3.076;
368; 3106415; 3.106;
369; 3118338; 3.118;
370; 3311299; 3.311;
371; 3262960; 3.263;
372; 3321639; 3.322;
373; 3350735; 3.351;
374; 3308636; 3.309;
375; 3047425; 3.047;
376; 3017798; 3.018;
377; 3238654; 3.239;
378; 3373989; 3.374;
379; 3314546; 3.315;
380; 3843771; 3.844;
381; 4313055; 4.313;
382; 4242251; 4.242;
383; 3388034; 3.388;
384; 3552034; 3.552;
385; 3715651; 3.716;
386; 3754985; 3.755;
387; 3284029; 3.284;
388; 8860271; 8.860;
389; 3875582; 3.876;
390; 3696995; 3.697;
391; 4713077; 4.713;
392; 4001116; 4.001;
393; 3671668; 3.672;
394; 3229667; 3.230;
395; 3358549; 3.359;
396; 3607067; 3.607;
397; 3772850; 3.773;
398; 5680027; 5.680;
399; 4044960; 4.045;
400; 3079424; 3.079;
401; 3459519; 3.460;
402; 3446424; 3.446;
403; 3771325; 3.771;
404; 3161779; 3.162;
405; 3270353; 3.270;
406; 3214870; 3.215;
407; 3213736; 3.214;
408; 3335987; 3.336;
409; 3224227; 3.224;
410; 3777237; 3.777;
411; 3382234; 3.382;
412; 3342839; 3.343;
413; 3677709; 3.678;
414; 3386051; 3.386;
415; 3391662; 3.392;
416; 3485308; 3.485;
417; 3323313; 3.323;
418; 3295240; 3.295;
419; 3222313; 3.222;
420; 3750847; 3.751;
421; 3630731; 3.631;
422; 3548727; 3.549;
423; 8416727; 8.417;
424; 3354420; 3.354;
425; 3381642; 3.382;
426; 3214609; 3.215;
427; 3343140; 3.343;
428; 3387002; 3.387;
429; 3497600; 3.498;
430; 3326179; 3.326;
431; 3268279; 3.268;
432; 3323744; 3.324;
433; 3100524; 3.101;
434; 3409956; 3.410;
435; 3232532; 3.233;
436; 3306220; 3.306;
437; 3381041; 3.381;
438; 3609771; 3.610;
439; 3094542; 3.095;
440; 3209548; 3.210;
441; 3719849; 3.720;
442; 3458508; 3.459;
443; 3422850; 3.423;
444; 3372997; 3.373;
445; 3391561; 3.392;
446; 3356957; 3.357;
447; 3441205; 3.441;
448; 3395007; 3.395;
449; 3483594; 3.484;
450; 3435134; 3.435;
451; 3256226; 3.256;
452; 3467404; 3.467;
453; 3698277; 3.698;
454; 3559478; 3.559;
455; 3293657; 3.294;
456; 3441686; 3.442;
457; 3996118; 3.996;
458; 3861205; 3.861;
459; 3723646; 3.724;
460; 3724548; 3.725;
461; 3828794; 3.829;
462; 3806101; 3.806;
463; 3930917; 3.931;
464; 3649667; 3.650;
465; 3661871; 3.662;
466; 3735017; 3.735;
467; 3709380; 3.709;
468; 3825878; 3.826;
469; 3657231; 3.657;
470; 3575296; 3.575;
471; 3658924; 3.659;
472; 3610082; 3.610;
473; 3645689; 3.646;
474; 3788860; 3.789;
475; 3693088; 3.693;
476; 3656079; 3.656;
477; 3935404; 3.935;
478; 3624238; 3.624;
479; 3589434; 3.589;
480; 3552474; 3.552;
481; 4262109; 4.262;
482; 3934953; 3.935;
483; 3852048; 3.852;
484; 3492591; 3.493;
485; 3750787; 3.751;
486; 3436145; 3.436;
487; 3662211; 3.662;
488; 3772679; 3.773;
489; 3757630; 3.758;
490; 3324525; 3.325;
491; 3859392; 3.859;
492; 3707516; 3.708;
493; 3701735; 3.702;
494; 3655197; 3.655;
495; 3559226; 3.559;
496; 3979407; 3.979;
497; 3774102; 3.774;
498; 5072905; 5.073;
499; 4287248; 4.287;
500; 3825317; 3.825;
501; 3576850; 3.577;
502; 3458217; 3.458;
503; 3820139; 3.820;
504; 3649436; 3.649;
505; 3505115; 3.505;
506; 8519150; 8.519;
507; 3236028; 3.236;
508; 3322311; 3.322;
509; 3266727; 3.267;
510; 4056362; 4.056;
511; 3245627; 3.246;
512; 3386202; 3.386;
513; 3461353; 3.461;
514; 3373146; 3.373;
515; 3576621; 3.577;
516; 3243123; 3.243;
517; 3340635; 3.341;
518; 3414333; 3.414;
519; 3448308; 3.448;
520; 3572712; 3.573;
521; 3227592; 3.228;
522; 3267498; 3.267;
523; 3417239; 3.417;
524; 3316661; 3.317;
525; 3129969; 3.130;
526; 3329755; 3.330;
527; 3310169; 3.310;
528; 3245126; 3.245;
529; 3293538; 3.294;
530; 3391892; 3.392;
531; 3237993; 3.238;
532; 3419874; 3.420;
533; 3147101; 3.147;
534; 3077340; 3.077;
535; 3458760; 3.459;
536; 3742110; 3.742;
537; 3638356; 3.638;
538; 3809948; 3.810;
539; 3620783; 3.621;
540; 3544428; 3.544;
541; 3773640; 3.774;
542; 3698369; 3.698;
543; 3671147; 3.671;
544; 3537987; 3.538;
545; 3716323; 3.716;
546; 3960443; 3.960;
547; 3678642; 3.679;
548; 3931998; 3.932;
549; 3668542; 3.669;
550; 3751629; 3.752;
551; 3946727; 3.947;
552; 3735208; 3.735;
553; 3983836; 3.984;
554; 3870803; 3.871;
555; 3642283; 3.642;
556; 3570078; 3.570;
557; 3380741; 3.381;
558; 3513370; 3.513;
559; 4139128; 4.139;
560; 3972254; 3.972;
