iteration; latency_ns; latency_ms;
1; 23826515; 23.827;
2; 25715449; 25.715;
3; 28442060; 28.442;
4; 24628753; 24.629;
5; 26092469; 26.092;
6; 20179522; 20.180;
7; 27280643; 27.281;
8; 24712212; 24.712;
9; 26368528; 26.369;
10; 24157467; 24.157;
11; 14501037; 14.501;
12; 24907057; 24.907;
13; 27818046; 27.818;
14; 29822157; 29.822;
15; 20698148; 20.698;
16; 26859812; 26.860;
17; 29552290; 29.552;
18; 28677522; 28.678;
19; 27907324; 27.907;
20; 27280023; 27.280;
21; 21073513; 21.074;
22; 29118593; 29.119;
23; 21562614; 21.563;
24; 19188628; 19.189;
25; 25430372; 25.430;
26; 31949600; 31.950;
27; 17223149; 17.223;
28; 24782453; 24.782;
29; 33357730; 33.358;
30; 28954885; 28.955;
31; 26850585; 26.851;
32; 21328874; 21.329;
33; 24133243; 24.133;
34; 20415836; 20.416;
35; 31987912; 31.988;
36; 27281968; 27.282;
37; 26425095; 26.425;
38; 20445684; 20.446;
39; 27534623; 27.535;
40; 28941870; 28.942;
41; 30967492; 30.967;
42; 27108510; 27.109;
43; 22149319; 22.149;
44; 33009264; 33.009;
45; 27104344; 27.104;
46; 27087892; 27.088;
47; 32299789; 32.300;
48; 27480050; 27.480;
49; 29301728; 29.302;
50; 33646764; 33.647;
51; 34862872; 34.863;
52; 24636449; 24.636;
53; 27829897; 27.830;
54; 24857534; 24.858;
55; 39153075; 39.153;
56; 20116383; 20.116;
57; 26229527; 26.230;
58; 26162140; 26.162;
59; 36717132; 36.717;
60; 48502788; 48.503;
61; 28087753; 28.088;
62; 26123518; 26.124;
63; 28671692; 28.672;
64; 28027850; 28.028;
65; 30158910; 30.159;
66; 20452295; 20.452;
67; 27431880; 27.432;
68; 32952247; 32.952;
69; 35882089; 35.882;
70; 25352867; 25.353;
71; 32513301; 32.513;
72; 22678936; 22.679;
73; 28656614; 28.657;
74; 45066714; 45.067;
75; 23949997; 23.950;
76; 33120884; 33.121;
77; 32026014; 32.026;
78; 28495400; 28.495;
79; 34270568; 34.271;
80; 25173791; 25.174;
81; 30890176; 30.890;
82; 31614891; 31.615;
83; 27775135; 27.775;
84; 33000798; 33.001;
85; 37096044; 37.096;
86; 27526318; 27.526;
87; 23754319; 23.754;
88; 23298862; 23.299;
89; 16007242; 16.007;
90; 31262087; 31.262;
91; 28025465; 28.025;
92; 27836960; 27.837;
93; 24522214; 24.522;
94; 25804557; 25.805;
95; 24709445; 24.709;
96; 20587440; 20.587;
97; 25985668; 25.986;
98; 25678771; 25.679;
99; 19806830; 19.807;
100; 23359935; 23.360;
101; 22891375; 22.891;
102; 23578398; 23.578;
103; 24919552; 24.920;
104; 24993912; 24.994;
105; 31918191; 31.918;
106; 27695075; 27.695;
107; 28888479; 28.888;
108; 32121785; 32.122;
109; 23831704; 23.832;
110; 25174632; 25.175;
111; 27416731; 27.417;
112; 14228374; 14.228;
113; 39362861; 39.363;
114; 35023114; 35.023;
115; 23814493; 23.814;
116; 32597259; 32.597;
117; 32578633; 32.579;
118; 31963537; 31.964;
119; 25646320; 25.646;
120; 25078752; 25.079;
121; 33089746; 33.090;
122; 28402395; 28.402;
123; 28918396; 28.918;
124; 16722067; 16.722;
125; 42832038; 42.832;
126; 32140439; 32.140;
127; 36386009; 36.386;
128; 29251663; 29.252;
129; 36951554; 36.952;
130; 22637779; 22.638;
131; 25767547; 25.768;
132; 25842409; 25.842;
133; 31249282; 31.249;
134; 27673223; 27.673;
135; 25847388; 25.847;
136; 28118841; 28.119;
137; 34334488; 34.334;
138; 24253689; 24.254;
139; 42350362; 42.350;
140; 31566009; 31.566;
141; 27019333; 27.019;
142; 27456615; 27.457;
143; 29677795; 29.678;
144; 27779645; 27.780;
145; 33356287; 33.356;
146; 20124600; 20.125;
147; 31085124; 31.085;
148; 23367170; 23.367;
149; 32476952; 32.477;
150; 26234998; 26.235;
151; 34833427; 34.833;
152; 34862121; 34.862;
153; 31804098; 31.804;
154; 32352347; 32.352;
155; 30908360; 30.908;
156; 28852122; 28.852;
157; 32868270; 32.868;
158; 29063840; 29.064;
159; 26273659; 26.274;
160; 34139290; 34.139;
161; 17049293; 17.049;
162; 20282215; 20.282;
163; 34561765; 34.562;
164; 23790897; 23.791;
165; 26730380; 26.730;
166; 37258341; 37.258;
167; 25753000; 25.753;
168; 26135269; 26.135;
169; 29956771; 29.957;
170; 26709570; 26.710;
171; 32405059; 32.405;
172; 25652441; 25.652;
173; 37187718; 37.188;
174; 28597121; 28.597;
175; 34762203; 34.762;
176; 34043751; 34.044;
177; 31833031; 31.833;
178; 35432094; 35.432;
179; 32625503; 32.626;
180; 26388947; 26.389;
181; 34578779; 34.579;
182; 23506362; 23.506;
183; 30566629; 30.567;
184; 24872132; 24.872;
185; 33443392; 33.443;
186; 33193041; 33.193;
187; 29050876; 29.051;
188; 23427665; 23.428;
189; 27625243; 27.625;
190; 24554776; 24.555;
191; 28887328; 28.887;
192; 27835549; 27.836;
193; 25013509; 25.014;
194; 19249062; 19.249;
195; 25498812; 25.499;
196; 27792528; 27.793;
197; 31164404; 31.164;
198; 28968030; 28.968;
199; 29953614; 29.954;
200; 34726037; 34.726;
201; 32141471; 32.141;
202; 24430412; 24.430;
203; 25514631; 25.515;
204; 23024767; 23.025;
205; 32139869; 32.140;
206; 35049955; 35.050;
207; 28958602; 28.959;
208; 35795707; 35.796;
209; 31221971; 31.222;
210; 28012283; 28.012;
211; 27269865; 27.270;
212; 37432789; 37.433;
213; 30820615; 30.821;
214; 25593310; 25.593;
215; 16678064; 16.678;
216; 21424645; 21.425;
217; 37873679; 37.874;
218; 27299741; 27.300;
219; 39336372; 39.336;
220; 34000919; 34.001;
221; 31796332; 31.796;
