iteration; latency_ns; latency_ms;
1; 1802713844; 1802.714;
2; 10821430; 10.821;
3; 11541806; 11.542;
4; 11820421; 11.820;
5; 11359754; 11.360;
6; 11210322; 11.210;
7; 10528657; 10.529;
8; 11704202; 11.704;
9; 10698928; 10.699;
10; 10027352; 10.027;
11; 10153780; 10.154;
12; 10318141; 10.318;
13; 10695171; 10.695;
14; 10739866; 10.740;
15; 10193526; 10.194;
16; 10650808; 10.651;
17; 10846596; 10.847;
18; 10239743; 10.240;
19; 10574092; 10.574;
20; 10017674; 10.018;
21; 10492499; 10.492;
22; 9575061; 9.575;
23; 11522549; 11.523;
24; 11342191; 11.342;
25; 9927474; 9.927;
26; 11098140; 11.098;
27; 9681060; 9.681;
28; 9213439; 9.213;
29; 12254548; 12.255;
30; 9909061; 9.909;
31; 10311017; 10.311;
32; 10483793; 10.484;
33; 10667669; 10.668;
34; 10464435; 10.464;
35; 9928806; 9.929;
36; 8447344; 8.447;
37; 10765082; 10.765;
38; 9924018; 9.924;
39; 9755671; 9.756;
40; 9778113; 9.778;
41; 12383241; 12.383;
42; 10367464; 10.367;
43; 9603544; 9.604;
44; 10755033; 10.755;
45; 9807548; 9.808;
46; 8887004; 8.887;
47; 9851502; 9.852;
48; 9925891; 9.926;
49; 10588991; 10.589;
50; 10915737; 10.916;
51; 10312260; 10.312;
52; 10045847; 10.046;
53; 10085653; 10.086;
54; 9843656; 9.844;
55; 10461891; 10.462;
56; 10345412; 10.345;
57; 9159075; 9.159;
58; 10559777; 10.560;
59; 10705982; 10.706;
60; 9960638; 9.961;
61; 12564993; 12.565;
62; 10914314; 10.914;
63; 10612486; 10.612;
64; 9970626; 9.971;
65; 10522946; 10.523;
66; 10768239; 10.768;
67; 10539297; 10.539;
68; 11553858; 11.554;
69; 12554133; 12.554;
70; 10009308; 10.009;
71; 10964820; 10.965;
72; 9945148; 9.945;
73; 10747308; 10.747;
74; 11544040; 11.544;
75; 11765658; 11.766;
76; 12192023; 12.192;
77; 11579556; 11.580;
78; 10711240; 10.711;
79; 10031151; 10.031;
80; 9962891; 9.963;
81; 12446290; 12.446;
82; 10903404; 10.903;
83; 10069222; 10.069;
84; 12328308; 12.328;
85; 10592626; 10.593;
86; 10204437; 10.204;
87; 10124436; 10.124;
88; 12384515; 12.385;
89; 12045765; 12.046;
90; 9738317; 9.738;
91; 10629157; 10.629;
92; 11667883; 11.668;
93; 10923411; 10.923;
94; 10729716; 10.730;
95; 10242919; 10.243;
96; 10483322; 10.483;
97; 9612090; 9.612;
98; 11637947; 11.638;
99; 11692310; 11.692;
100; 10079652; 10.080;
101; 9340399; 9.340;
102; 10240564; 10.241;
103; 9325321; 9.325;
104; 9560363; 9.560;
105; 11345706; 11.346;
106; 11557435; 11.557;
107; 10687447; 10.687;
108; 12053150; 12.053;
109; 9443903; 9.444;
110; 11888409; 11.888;
111; 12703966; 12.704;
112; 11088641; 11.089;
113; 9521869; 9.522;
114; 9700066; 9.700;
115; 10384395; 10.384;
116; 13390249; 13.390;
117; 12918289; 12.918;
118; 12575545; 12.576;
119; 11453780; 11.454;
120; 10596245; 10.596;
121; 11917234; 11.917;
122; 11774334; 11.774;
123; 11838936; 11.839;
124; 10901841; 10.902;
125; 9123729; 9.124;
126; 9609766; 9.610;
127; 9247002; 9.247;
128; 10705791; 10.706;
129; 11613983; 11.614;
130; 12156764; 12.157;
131; 10972012; 10.972;
132; 10411657; 10.412;
133; 10525571; 10.526;
134; 9924208; 9.924;
135; 9841193; 9.841;
136; 12854109; 12.854;
137; 9934237; 9.934;
138; 9419248; 9.419;
139; 10222531; 10.223;
140; 10246145; 10.246;
141; 10932057; 10.932;
142; 13379098; 13.379;
143; 12084689; 12.085;
144; 10583731; 10.584;
145; 12362752; 12.363;
146; 10492038; 10.492;
147; 10385969; 10.386;
148; 10873937; 10.874;
149; 12861353; 12.861;
150; 10233150; 10.233;
151; 13188870; 13.189;
152; 12648211; 12.648;
153; 12420933; 12.421;
154; 10861204; 10.861;
155; 10124396; 10.124;
156; 11065449; 11.065;
157; 13015132; 13.015;
158; 12067618; 12.068;
159; 12982551; 12.983;
160; 11898858; 11.899;
161; 10633915; 10.634;
162; 12195469; 12.195;
163; 11718058; 11.718;
164; 10952727; 10.953;
165; 10714478; 10.714;
166; 10896721; 10.897;
167; 9981227; 9.981;
168; 11599255; 11.599;
169; 11303025; 11.303;
170; 9544404; 9.544;
171; 10823773; 10.824;
172; 11648338; 11.648;
173; 11240959; 11.241;
174; 11322052; 11.322;
175; 11198610; 11.199;
176; 9953803; 9.954;
177; 11627427; 11.627;
178; 10651800; 10.652;
179; 10518508; 10.519;
180; 11476003; 11.476;
181; 11278300; 11.278;
182; 10106562; 10.107;
183; 8874772; 8.875;
184; 9053208; 9.053;
185; 10124926; 10.125;
186; 9728078; 9.728;
187; 9733238; 9.733;
188; 9773224; 9.773;
189; 9637288; 9.637;
190; 11666000; 11.666;
191; 10773459; 10.773;
192; 10050046; 10.050;
193; 11666641; 11.667;
194; 12763627; 12.764;
195; 12814232; 12.814;
196; 11815341; 11.815;
197; 11503224; 11.503;
198; 10859581; 10.860;
199; 11826263; 11.826;
200; 9956329; 9.956;
201; 10722382; 10.722;
202; 13998535; 13.999;
203; 13100203; 13.100;
204; 12651267; 12.651;
205; 11945818; 11.946;
206; 12321325; 12.321;
207; 11866948; 11.867;
208; 12162075; 12.162;
209; 11065098; 11.065;
210; 9509488; 9.509;
211; 10328480; 10.328;
212; 10129945; 10.130;
213; 12176111; 12.176;
214; 12474353; 12.474;
215; 12392239; 12.392;
216; 9717159; 9.717;
217; 10702033; 10.702;
218; 10878377; 10.878;
219; 11188098; 11.188;
220; 10804738; 10.805;
221; 10137881; 10.138;
222; 12820214; 12.820;
223; 12592346; 12.592;
224; 13734358; 13.734;
225; 10758870; 10.759;
