iteration; latency_ns; latency_ms;
1; 4307319398; 4307.319;
2; 1253846196; 1253.846;
3; 1205970133; 1205.970;
4; 1297831486; 1297.831;
5; 1179987554; 1179.988;
6; 1354395174; 1354.395;
7; 1131115995; 1131.116;
8; 1444119533; 1444.120;
9; 1136064783; 1136.065;
10; 1370612256; 1370.612;
11; 1122614591; 1122.615;
12; 1371905005; 1371.905;
13; 1095174695; 1095.175;
14; 1435640090; 1435.640;
15; 1097506092; 1097.506;
16; 1414731180; 1414.731;
17; 1060503713; 1060.504;
18; 1495908766; 1495.909;
19; 1077719988; 1077.720;
20; 1460898584; 1460.899;
