iteration; latency_ns; latency_ms;
1; 2034348476; 2034.348;
2; 1771550724; 1771.551;
3; 1753394428; 1753.394;
4; 1746988583; 1746.989;
5; 1768653751; 1768.654;
6; 1753291033; 1753.291;
7; 1723351616; 1723.352;
8; 1762249823; 1762.250;
9; 1773407340; 1773.407;
10; 1758356552; 1758.357;
11; 1818610780; 1818.611;
12; 1764915776; 1764.916;
13; 1797302477; 1797.302;
14; 1703940343; 1703.940;
15; 1810130957; 1810.131;
16; 1738936929; 1738.937;
17; 1832855081; 1832.855;
18; 1724868665; 1724.869;
19; 1792661754; 1792.662;
20; 1747685536; 1747.686;
