iteration; latency_ns; latency_ms;
1; 1248323646; 1248.324;
2; 8838114; 8.838;
3; 8959263; 8.959;
4; 7772429; 7.772;
5; 11774527; 11.775;
6; 7390707; 7.391;
7; 9471682; 9.472;
8; 8270982; 8.271;
9; 7966896; 7.967;
10; 10419073; 10.419;
11; 12256098; 12.256;
12; 8112141; 8.112;
13; 9068129; 9.068;
14; 10226590; 10.227;
15; 8912594; 8.913;
16; 8442135; 8.442;
17; 8436976; 8.437;
18; 7541772; 7.542;
19; 9215517; 9.216;
20; 8322078; 8.322;
21; 9033112; 9.033;
22; 8231326; 8.231;
23; 7808647; 7.809;
24; 7348728; 7.349;
25; 10305439; 10.305;
26; 7337606; 7.338;
27; 7586557; 7.587;
28; 9678042; 9.678;
29; 8077956; 8.078;
30; 8409132; 8.409;
31; 8350442; 8.350;
32; 6908534; 6.909;
33; 8099707; 8.100;
34; 9113204; 9.113;
35; 8344300; 8.344;
36; 9896676; 9.897;
37; 7912694; 7.913;
38; 9403333; 9.403;
39; 8977047; 8.977;
40; 8272934; 8.273;
41; 8907344; 8.907;
42; 7648504; 7.649;
43; 7578191; 7.578;
44; 6883979; 6.884;
45; 8318641; 8.319;
46; 7980081; 7.980;
47; 8703299; 8.703;
48; 7173065; 7.173;
49; 7257314; 7.257;
50; 8444679; 8.445;
51; 8003435; 8.003;
52; 7096941; 7.097;
53; 7696535; 7.697;
54; 19822977; 19.823;
55; 8204095; 8.204;
56; 8813868; 8.814;
57; 8010889; 8.011;
58; 19224645; 19.225;
59; 8780655; 8.781;
60; 8684824; 8.685;
61; 8830689; 8.831;
62; 8610243; 8.610;
63; 6717173; 6.717;
64; 9224293; 9.224;
65; 8919227; 8.919;
66; 8768783; 8.769;
67; 8217330; 8.217;
68; 7251793; 7.252;
69; 6607655; 6.608;
70; 6509600; 6.510;
71; 8222189; 8.222;
72; 10443550; 10.444;
73; 8139432; 8.139;
74; 8499734; 8.500;
75; 7836098; 7.836;
76; 7695312; 7.695;
77; 6601443; 6.601;
78; 6543935; 6.544;
79; 7596195; 7.596;
80; 7811411; 7.811;
81; 8528157; 8.528;
82; 7746709; 7.747;
83; 6930677; 6.931;
84; 7839595; 7.840;
85; 8665226; 8.665;
86; 6578280; 6.578;
87; 7720681; 7.721;
88; 6835807; 6.836;
89; 7737532; 7.738;
90; 8796244; 8.796;
91; 8811553; 8.812;
92; 7174207; 7.174;
93; 7213060; 7.213;
94; 6448765; 6.449;
95; 8944003; 8.944;
96; 8169839; 8.170;
97; 6645407; 6.645;
98; 9377513; 9.378;
99; 7435240; 7.435;
100; 8557322; 8.557;
101; 8174338; 8.174;
102; 8541833; 8.542;
103; 8553826; 8.554;
104; 8142698; 8.143;
105; 7503158; 7.503;
106; 8199635; 8.200;
107; 7609110; 7.609;
108; 8872418; 8.872;
109; 9419182; 9.419;
110; 8276010; 8.276;
111; 8455469; 8.455;
112; 7951678; 7.952;
113; 8241435; 8.241;
114; 7453936; 7.454;
115; 7026557; 7.027;
116; 6692746; 6.693;
117; 7877586; 7.878;
118; 14826257; 14.826;
119; 7837090; 7.837;
120; 8382872; 8.383;
121; 9298774; 9.299;
122; 33243053; 33.243;
123; 6899898; 6.900;
124; 7063898; 7.064;
125; 8391629; 8.392;
126; 7932430; 7.932;
127; 7751298; 7.751;
128; 8314353; 8.314;
129; 7581507; 7.582;
130; 8200868; 8.201;
131; 8143960; 8.144;
132; 9710042; 9.710;
133; 7196819; 7.197;
134; 8137338; 8.137;
135; 8401026; 8.401;
136; 7884930; 7.885;
137; 7969039; 7.969;
138; 8217159; 8.217;
139; 8574905; 8.575;
140; 8485777; 8.486;
141; 8404022; 8.404;
142; 8814889; 8.815;
143; 7995340; 7.995;
144; 8428498; 8.428;
145; 9836932; 9.837;
146; 8328329; 8.328;
147; 8257395; 8.257;
148; 8166263; 8.166;
149; 8244089; 8.244;
150; 7718997; 7.719;
151; 8337687; 8.338;
152; 6824396; 6.824;
153; 8826140; 8.826;
154; 9069070; 9.069;
155; 7796554; 7.797;
156; 7757079; 7.757;
157; 8075611; 8.076;
158; 8073888; 8.074;
159; 7776615; 7.777;
160; 7838252; 7.838;
161; 6740776; 6.741;
162; 7597507; 7.598;
163; 8002032; 8.002;
164; 8300807; 8.301;
165; 7837921; 7.838;
166; 7902654; 7.903;
167; 8321827; 8.322;
168; 8489344; 8.489;
169; 7771797; 7.772;
170; 11065615; 11.066;
171; 8101079; 8.101;
172; 7286729; 7.287;
173; 7564374; 7.564;
174; 7715440; 7.715;
175; 8352644; 8.353;
176; 7502076; 7.502;
177; 8228189; 8.228;
178; 8069550; 8.070;
179; 7975752; 7.976;
180; 7953570; 7.954;
181; 7919336; 7.919;
182; 9204276; 9.204;
183; 9909529; 9.910;
184; 8096400; 8.096;
185; 8096441; 8.096;
186; 7709008; 7.709;
187; 7706523; 7.707;
188; 7773629; 7.774;
189; 7197891; 7.198;
190; 8219043; 8.219;
191; 7647191; 7.647;
192; 7851948; 7.852;
193; 7666377; 7.666;
194; 6412617; 6.413;
195; 8756458; 8.756;
196; 8401827; 8.402;
197; 7763371; 7.763;
198; 7148808; 7.149;
199; 7550849; 7.551;
200; 7006178; 7.006;
201; 8119103; 8.119;
202; 6832711; 6.833;
203; 8428918; 8.429;
204; 8338478; 8.338;
205; 7682417; 7.682;
206; 6828132; 6.828;
207; 7771185; 7.771;
208; 8301769; 8.302;
209; 7882926; 7.883;
210; 7629036; 7.629;
211; 7860994; 7.861;
212; 7835286; 7.835;
213; 9393323; 9.393;
214; 8158988; 8.159;
215; 8610652; 8.611;
216; 8096190; 8.096;
217; 7952929; 7.953;
218; 8670265; 8.670;
219; 15527752; 15.528;
220; 8370178; 8.370;
221; 10521065; 10.521;
222; 8078536; 8.079;
223; 8159930; 8.160;
224; 7950945; 7.951;
225; 8133810; 8.134;
226; 7241393; 7.241;
227; 8307780; 8.308;
228; 9054562; 9.055;
229; 8954733; 8.955;
230; 9543857; 9.544;
231; 8173967; 8.174;
232; 7162865; 7.163;
233; 7790201; 7.790;
234; 8115586; 8.116;
235; 7914486; 7.914;
236; 8253096; 8.253;
237; 8501587; 8.502;
238; 8394924; 8.395;
239; 7638033; 7.638;
240; 8328950; 8.329;
241; 8871496; 8.871;
242; 8484834; 8.485;
243; 7520211; 7.520;
244; 7537443; 7.537;
245; 8330533; 8.331;
246; 17514359; 17.514;
247; 8440931; 8.441;
248; 7449096; 7.449;
249; 8824667; 8.825;
250; 23049506; 23.050;
251; 8134732; 8.135;
252; 8100096; 8.100;
253; 7246373; 7.246;
254; 7684151; 7.684;
255; 7131255; 7.131;
256; 7323749; 7.324;
257; 8024815; 8.025;
258; 7891232; 7.891;
259; 8118252; 8.118;
260; 8248447; 8.248;
261; 7704519; 7.705;
262; 6687766; 6.688;
263; 7773149; 7.773;
264; 8332657; 8.333;
265; 7979979; 7.980;
266; 7862788; 7.863;
267; 8008444; 8.008;
268; 9033502; 9.034;
269; 8150843; 8.151;
270; 6720708; 6.721;
271; 7753341; 7.753;
272; 6360007; 6.360;
273; 13460252; 13.460;
274; 6556899; 6.557;
275; 7652851; 7.653;
276; 8386748; 8.387;
277; 8201338; 8.201;
278; 8741600; 8.742;
279; 8604310; 8.604;
280; 8618397; 8.618;
281; 7939814; 7.940;
282; 7818885; 7.819;
283; 8235643; 8.236;
284; 8182864; 8.183;
285; 8149110; 8.149;
286; 7931217; 7.931;
287; 9227528; 9.228;
288; 7941817; 7.942;
289; 6658080; 6.658;
290; 7656899; 7.657;
291; 8650378; 8.650;
292; 8046706; 8.047;
293; 8237366; 8.237;
294; 7947989; 7.948;
295; 8242225; 8.242;
296; 7708516; 7.709;
297; 7811121; 7.811;
298; 7910508; 7.911;
299; 8268816; 8.269;
300; 8209995; 8.210;
301; 7882145; 7.882;
302; 8479364; 8.479;
303; 6285004; 6.285;
304; 7989748; 7.990;
305; 8351492; 8.351;
306; 8104094; 8.104;
307; 7906440; 7.906;
308; 8002892; 8.003;
309; 7851186; 7.851;
310; 8542092; 8.542;
311; 7269376; 7.269;
312; 7470786; 7.471;
313; 7307327; 7.307;
314; 7711852; 7.712;
315; 8032338; 8.032;
316; 8493561; 8.494;
317; 7410933; 7.411;
318; 7554565; 7.555;
319; 7933291; 7.933;
320; 8247616; 8.248;
321; 7900118; 7.900;
322; 8483351; 8.483;
323; 7705851; 7.706;
324; 8310785; 8.311;
325; 8019314; 8.019;
326; 7640788; 7.641;
327; 7482378; 7.482;
328; 6905818; 6.906;
329; 7730919; 7.731;
330; 8528987; 8.529;
331; 8779130; 8.779;
332; 8365668; 8.366;
333; 9748744; 9.749;
334; 8591917; 8.592;
335; 7785922; 7.786;
336; 8850506; 8.851;
337; 8327487; 8.327;
338; 7902473; 7.902;
339; 8931769; 8.932;
340; 8087473; 8.087;
341; 8049541; 8.050;
342; 8178184; 8.178;
343; 8457282; 8.457;
344; 8479524; 8.480;
345; 8056644; 8.057;
346; 8056925; 8.057;
347; 7642701; 7.643;
348; 7105656; 7.106;
349; 8575976; 8.576;
350; 7915548; 7.916;
351; 8738494; 8.738;
352; 8086060; 8.086;
353; 7715489; 7.715;
354; 8727302; 8.727;
355; 8673711; 8.674;
356; 9037809; 9.038;
357; 8344057; 8.344;
358; 8864391; 8.864;
359; 8110065; 8.110;
360; 9129924; 9.130;
361; 7966634; 7.967;
362; 7892975; 7.893;
363; 8270619; 8.271;
364; 8547703; 8.548;
365; 8469996; 8.470;
366; 8158426; 8.158;
367; 7821971; 7.822;
368; 8417396; 8.417;
369; 8009946; 8.010;
370; 8095828; 8.096;
371; 8067875; 8.068;
372; 9503169; 9.503;
373; 8046725; 8.047;
374; 7208650; 7.209;
375; 8031627; 8.032;
376; 8258515; 8.259;
377; 7946065; 7.946;
378; 6742219; 6.742;
379; 8598308; 8.598;
380; 8151935; 8.152;
381; 8421855; 8.422;
382; 8839324; 8.839;
383; 7654514; 7.655;
384; 8246803; 8.247;
385; 8275227; 8.275;
386; 10442645; 10.443;
387; 7689129; 7.689;
388; 7408688; 7.409;
389; 7068115; 7.068;
390; 6681264; 6.681;
391; 7717804; 7.718;
392; 7299332; 7.299;
393; 8510012; 8.510;
394; 11570649; 11.571;
395; 8435500; 8.435;
396; 8879881; 8.880;
397; 9056113; 9.056;
398; 8313079; 8.313;
399; 8725419; 8.725;
400; 8994777; 8.995;
401; 8581286; 8.581;
402; 7990098; 7.990;
403; 8101309; 8.101;
404; 7969058; 7.969;
405; 8220945; 8.221;
406; 7428406; 7.428;
407; 8289715; 8.290;
408; 8860003; 8.860;
409; 7306566; 7.307;
410; 8889780; 8.890;
411; 8245722; 8.246;
412; 8081661; 8.082;
413; 8015967; 8.016;
414; 10292993; 10.293;
415; 8743192; 8.743;
416; 16869627; 16.870;
417; 8243948; 8.244;
418; 7743803; 7.744;
419; 6949751; 6.950;
420; 8206818; 8.207;
421; 7701863; 7.702;
422; 8351020; 8.351;
423; 8513427; 8.513;
424; 7042957; 7.043;
425; 7981212; 7.981;
426; 17872333; 17.872;
427; 7462250; 7.462;
428; 7016998; 7.017;
429; 6786142; 6.786;
430; 7603527; 7.604;
431; 8084957; 8.085;
432; 7557670; 7.558;
433; 6392087; 6.392;
434; 6576345; 6.576;
435; 8156963; 8.157;
436; 8211086; 8.211;
437; 6467749; 6.468;
438; 13200119; 13.200;
439; 7538234; 7.538;
440; 6645325; 6.645;
441; 8075119; 8.075;
442; 8485094; 8.485;
443; 7654394; 7.654;
444; 8013372; 8.013;
445; 8709808; 8.710;
446; 8985631; 8.986;
447; 6636609; 6.637;
448; 7727562; 7.728;
449; 8498309; 8.498;
450; 8469264; 8.469;
451; 8253085; 8.253;
452; 8786464; 8.786;
453; 6833742; 6.834;
454; 8345771; 8.346;
455; 8023231; 8.023;
456; 7946496; 7.946;
457; 8278203; 8.278;
458; 9214844; 9.215;
459; 8563613; 8.564;
460; 7944592; 7.945;
461; 8078575; 8.079;
462; 8600643; 8.601;
463; 8313750; 8.314;
464; 6490232; 6.490;
465; 8481216; 8.481;
466; 7948489; 7.948;
467; 8343486; 8.343;
468; 8431813; 8.432;
469; 8228329; 8.228;
470; 7620789; 7.621;
471; 7455587; 7.456;
472; 7807162; 7.807;
473; 8246362; 8.246;
474; 8006779; 8.007;
475; 6955682; 6.956;
476; 9613938; 9.614;
477; 8938612; 8.939;
478; 6728422; 6.728;
479; 7166400; 7.166;
480; 9103312; 9.103;
481; 6231984; 6.232;
482; 8653372; 8.653;
483; 7144238; 7.144;
484; 7659472; 7.659;
485; 7922791; 7.923;
486; 7500942; 7.501;
487; 7583790; 7.584;
488; 7353654; 7.354;
489; 7651287; 7.651;
490; 7991490; 7.991;
491; 7795459; 7.795;
492; 6558110; 6.558;
493; 7694168; 7.694;
494; 8561308; 8.561;
495; 8116908; 8.117;
496; 8766906; 8.767;
497; 8798436; 8.798;
498; 8448335; 8.448;
499; 8380235; 8.380;
500; 8463843; 8.464;
