iteration; latency_ns; latency_ms;
1; 243604372; 243.604;
2; 1635255835; 1635.256;
3; 1218469821; 1218.470;
4; 1240447854; 1240.448;
5; 1228510745; 1228.511;
6; 1246857259; 1246.857;
7; 1223902577; 1223.903;
8; 1232429638; 1232.430;
9; 1224840083; 1224.840;
10; 1237920732; 1237.921;
11; 1481726558; 1481.727;
12; 1248803173; 1248.803;
13; 1212413913; 1212.414;
14; 1175713249; 1175.713;
15; 1203095945; 1203.096;
16; 1177650966; 1177.651;
17; 1202835057; 1202.835;
18; 1197352525; 1197.353;
19; 1178115111; 1178.115;
20; 1185114265; 1185.114;
21; 1187725974; 1187.726;
22; 1356028214; 1356.028;
23; 1187856973; 1187.857;
24; 1189531917; 1189.532;
25; 1202154117; 1202.154;
26; 1193540032; 1193.540;
27; 1189769317; 1189.769;
28; 1205314692; 1205.315;
29; 1166797088; 1166.797;
30; 1198514566; 1198.515;
31; 1200680887; 1200.681;
32; 1189345796; 1189.346;
33; 1206682171; 1206.682;
34; 1183461505; 1183.462;
35; 1211340536; 1211.341;
36; 1212374685; 1212.375;
37; 1174735985; 1174.736;
38; 1214172975; 1214.173;
39; 1181853439; 1181.853;
40; 1190251706; 1190.252;
41; 1194466090; 1194.466;
42; 1182987104; 1182.987;
43; 1213692044; 1213.692;
44; 1179806128; 1179.806;
45; 1185664750; 1185.665;
46; 1191556285; 1191.556;
47; 1182225600; 1182.226;
48; 1217910325; 1217.910;
49; 1176087462; 1176.087;
50; 1198009643; 1198.010;
