iteration; latency_ns; latency_ms;
1; 95830319; 95.830;
2; 2570985; 2.571;
3; 2337163; 2.337;
4; 2358463; 2.358;
5; 2454956; 2.455;
6; 1583129; 1.583;
7; 1355610; 1.356;
8; 1749694; 1.750;
9; 1688408; 1.688;
10; 1724055; 1.724;
11; 1539727; 1.540;
12; 1494292; 1.494;
13; 1291309; 1.291;
14; 1778578; 1.779;
15; 1401046; 1.401;
16; 1365709; 1.366;
17; 1434468; 1.434;
18; 1437114; 1.437;
19; 1490685; 1.491;
20; 1407658; 1.408;
21; 1664863; 1.665;
22; 1426593; 1.427;
23; 1409200; 1.409;
24; 1414641; 1.415;
25; 1420623; 1.421;
26; 1324761; 1.325;
27; 1716781; 1.717;
28; 1826699; 1.827;
29; 1366200; 1.366;
30; 1665725; 1.666;
31; 1893616; 1.894;
32; 1445169; 1.445;
33; 2155460; 2.155;
34; 1745155; 1.745;
35; 1335602; 1.336;
36; 1320513; 1.321;
37; 1275699; 1.276;
38; 1307278; 1.307;
39; 1601795; 1.602;
40; 1957346; 1.957;
41; 1753471; 1.753;
42; 2019002; 2.019;
43; 1887815; 1.888;
44; 2004785; 2.005;
45; 1863399; 1.863;
46; 1958768; 1.959;
47; 1608888; 1.609;
48; 1351331; 1.351;
49; 1399323; 1.399;
50; 1432986; 1.433;
51; 1538696; 1.539;
52; 1599060; 1.599;
53; 1384294; 1.384;
54; 1420352; 1.420;
55; 1640718; 1.641;
56; 1508388; 1.508;
57; 1361992; 1.362;
58; 1816761; 1.817;
59; 1671476; 1.671;
60; 1439839; 1.440;
61; 1529508; 1.530;
62; 1568712; 1.569;
63; 1433747; 1.434;
64; 1954330; 1.954;
65; 1462181; 1.462;
66; 1314592; 1.315;
67; 1422376; 1.422;
68; 1535049; 1.535;
69; 1589992; 1.590;
70; 1842359; 1.842;
71; 2503127; 2.503;
72; 1614178; 1.614;
73; 1262594; 1.263;
74; 1625930; 1.626;
75; 1331123; 1.331;
76; 1512626; 1.513;
77; 1775974; 1.776;
78; 1698006; 1.698;
79; 1454937; 1.455;
80; 1422546; 1.423;
81; 1489453; 1.489;
82; 1665174; 1.665;
83; 2019523; 2.020;
84; 1658492; 1.658;
85; 1567259; 1.567;
86; 1477580; 1.478;
87; 1784610; 1.785;
88; 2088755; 2.089;
89; 1679250; 1.679;
90; 1616081; 1.616;
91; 1447584; 1.448;
92; 1460658; 1.461;
93; 1542152; 1.542;
94; 1645146; 1.645;
95; 1873568; 1.874;
96; 1725629; 1.726;
97; 1883987; 1.884;
98; 1468102; 1.468;
99; 1395675; 1.396;
100; 1524008; 1.524;
101; 1881894; 1.882;
102; 1334601; 1.335;
103; 1715850; 1.716;
104; 1619468; 1.619;
105; 1463984; 1.464;
106; 1542423; 1.542;
107; 1767608; 1.768;
108; 1903384; 1.903;
109; 1404172; 1.404;
110; 1782426; 1.782;
111; 1763249; 1.763;
112; 1348185; 1.348;
113; 1727392; 1.727;
114; 1755505; 1.756;
115; 1351472; 1.351;
116; 1432395; 1.432;
117; 1470987; 1.471;
118; 1558282; 1.558;
119; 1645497; 1.645;
120; 1364888; 1.365;
121; 1357864; 1.358;
122; 1475336; 1.475;
123; 1419280; 1.419;
124; 1572469; 1.572;
125; 1553253; 1.553;
126; 1487078; 1.487;
127; 1382561; 1.383;
128; 1394984; 1.395;
129; 1373864; 1.374;
130; 1643884; 1.644;
131; 1358816; 1.359;
132; 1945443; 1.945;
133; 1406575; 1.407;
134; 1505352; 1.505;
135; 1357734; 1.358;
136; 1593028; 1.593;
137; 1414811; 1.415;
138; 1676075; 1.676;
139; 1454467; 1.454;
140; 1399944; 1.400;
141; 1445208; 1.445;
142; 1475065; 1.475;
143; 1437895; 1.438;
144; 1526913; 1.527;
145; 1738683; 1.739;
146; 1473842; 1.474;
147; 1417897; 1.418;
148; 1458073; 1.458;
149; 1633635; 1.634;
150; 1352915; 1.353;
151; 1937889; 1.938;
152; 1629868; 1.630;
153; 1327767; 1.328;
154; 1322568; 1.323;
155; 1435972; 1.436;
156; 1436933; 1.437;
157; 2134030; 2.134;
158; 1444026; 1.444;
159; 1425903; 1.426;
160; 1612816; 1.613;
161; 1342164; 1.342;
162; 1549406; 1.549;
163; 1381619; 1.382;
164; 1660766; 1.661;
165; 2031465; 2.031;
166; 1709017; 1.709;
167; 1679943; 1.680;
168; 1579663; 1.580;
169; 1284776; 1.285;
170; 1944542; 1.945;
171; 1454387; 1.454;
172; 1358675; 1.359;
173; 1475045; 1.475;
174; 1503770; 1.504;
175; 1357012; 1.357;
176; 1937919; 1.938;
177; 1350881; 1.351;
178; 1482680; 1.483;
179; 1397228; 1.397;
180; 1435030; 1.435;
181; 1480295; 1.480;
