iteration; latency_ns; latency_ms;
1; 7012605209; 7012.605;
2; 2225779477; 2225.779;
3; 2219425623; 2219.426;
4; 2206064683; 2206.065;
5; 2009989504; 2009.990;
6; 2239896623; 2239.897;
7; 2167586170; 2167.586;
8; 2174766550; 2174.767;
9; 2166796045; 2166.796;
10; 2119032649; 2119.033;
11; 2063781408; 2063.781;
12; 2158608793; 2158.609;
13; 2075910435; 2075.910;
14; 2213525721; 2213.526;
15; 2168158960; 2168.159;
16; 2169659802; 2169.660;
17; 2170044154; 2170.044;
18; 2125703681; 2125.704;
19; 2164670013; 2164.670;
20; 2162675252; 2162.675;
21; 2176447891; 2176.448;
22; 2166122495; 2166.122;
23; 2155562170; 2155.562;
24; 2118157327; 2118.157;
25; 2073583550; 2073.584;
26; 2070438440; 2070.438;
27; 2171603665; 2171.604;
28; 2258079659; 2258.080;
29; 2178819528; 2178.820;
30; 2166866495; 2166.866;
31; 2169026903; 2169.027;
32; 2160464918; 2160.465;
33; 2220984553; 2220.985;
34; 2164910470; 2164.910;
35; 2120520655; 2120.521;
36; 2216068328; 2216.068;
37; 2184199018; 2184.199;
38; 2230757417; 2230.757;
39; 2169821901; 2169.822;
40; 2212663378; 2212.663;
41; 2172289652; 2172.290;
42; 2216738681; 2216.739;
43; 2204762408; 2204.762;
44; 2175129344; 2175.129;
45; 2115532588; 2115.533;
46; 2127890224; 2127.890;
47; 2165528684; 2165.529;
48; 2108382592; 2108.383;
49; 2164237488; 2164.237;
50; 2107881056; 2107.881;
