iteration; latency_ns; latency_ms;
1; 1259767752; 1259.768;
2; 8459626; 8.460;
3; 6572470; 6.572;
4; 5819327; 5.819;
5; 17489771; 17.490;
6; 4876686; 4.877;
7; 8328058; 8.328;
8; 4393051; 4.393;
9; 6234070; 6.234;
10; 16755393; 16.755;
11; 5711053; 5.711;
12; 5375788; 5.376;
13; 5501457; 5.501;
14; 3925238; 3.925;
15; 5042218; 5.042;
16; 5094637; 5.095;
17; 3963900; 3.964;
18; 4805541; 4.806;
19; 4161193; 4.161;
20; 5059651; 5.060;
21; 4923053; 4.923;
22; 4374546; 4.375;
23; 4680685; 4.681;
24; 5441673; 5.442;
25; 4694151; 4.694;
26; 5793047; 5.793;
27; 4303382; 4.303;
28; 4777077; 4.777;
29; 5150273; 5.150;
30; 5019506; 5.020;
31; 4215356; 4.215;
32; 4094758; 4.095;
33; 15911418; 15.911;
34; 3847631; 3.848;
35; 4623447; 4.623;
36; 16152885; 16.153;
37; 4277023; 4.277;
38; 4544608; 4.545;
39; 4323079; 4.323;
40; 4127851; 4.128;
41; 4327488; 4.327;
42; 5250151; 5.250;
43; 5168197; 5.168;
44; 4897125; 4.897;
45; 4466070; 4.466;
46; 3928063; 3.928;
47; 4680004; 4.680;
48; 3960313; 3.960;
49; 4567561; 4.568;
50; 4493291; 4.493;
51; 16932928; 16.933;
52; 4090080; 4.090;
53; 3538707; 3.539;
54; 4750948; 4.751;
55; 4105327; 4.105;
56; 4340382; 4.340;
57; 4338379; 4.338;
58; 15699578; 15.700;
59; 4870303; 4.870;
60; 4043651; 4.044;
61; 4358766; 4.359;
62; 4373705; 4.374;
63; 5049352; 5.049;
64; 4174539; 4.175;
65; 4133891; 4.134;
66; 15128669; 15.129;
67; 4411527; 4.412;
68; 4327869; 4.328;
69; 15770813; 15.771;
70; 3834887; 3.835;
71; 4489735; 4.490;
72; 3959933; 3.960;
73; 4319784; 4.320;
74; 4117481; 4.117;
75; 4269848; 4.270;
76; 4345311; 4.345;
77; 5328709; 5.329;
78; 4958430; 4.958;
79; 4139994; 4.140;
80; 3514862; 3.515;
81; 4437626; 4.438;
82; 4697086; 4.697;
83; 6609881; 6.610;
84; 4439289; 4.439;
85; 14442091; 14.442;
86; 4242958; 4.243;
87; 4755016; 4.755;
88; 4108193; 4.108;
89; 4632755; 4.633;
90; 4561831; 4.562;
91; 6683119; 6.683;
92; 4317669; 4.318;
93; 4108564; 4.109;
94; 3894009; 3.894;
95; 4459828; 4.460;
96; 4818806; 4.819;
97; 4510875; 4.511;
98; 5443197; 5.443;
99; 4321767; 4.322;
100; 4085390; 4.085;
