iteration; latency_ns; latency_ms;
1; 1170628942; 1170.629;
2; 12480067; 12.480;
3; 16749770; 16.750;
4; 15262228; 15.262;
5; 14476602; 14.477;
6; 14179561; 14.180;
7; 20392217; 20.392;
8; 13479346; 13.479;
9; 12943514; 12.944;
10; 9986422; 9.986;
11; 13146067; 13.146;
12; 12700274; 12.700;
13; 11783630; 11.784;
14; 10909287; 10.909;
15; 12801033; 12.801;
16; 11137699; 11.138;
17; 13463697; 13.464;
18; 12491588; 12.492;
19; 12617407; 12.617;
20; 13611897; 13.612;
21; 12225065; 12.225;
22; 12571289; 12.571;
23; 12419362; 12.419;
24; 13107674; 13.108;
25; 12376401; 12.376;
26; 11441693; 11.442;
27; 10230663; 10.231;
28; 12569025; 12.569;
29; 9780543; 9.781;
30; 12165803; 12.166;
31; 9551459; 9.551;
32; 11847231; 11.847;
33; 12229854; 12.230;
34; 12607909; 12.608;
35; 9116697; 9.117;
36; 8724025; 8.724;
37; 9941637; 9.942;
38; 8998704; 8.999;
39; 11261362; 11.261;
40; 11692628; 11.693;
41; 11474335; 11.474;
42; 12548827; 12.549;
43; 10190016; 10.190;
44; 11877938; 11.878;
45; 10004476; 10.004;
46; 11312189; 11.312;
47; 12431135; 12.431;
48; 11792748; 11.793;
49; 12410675; 12.411;
50; 11571098; 11.571;
51; 10508509; 10.509;
52; 12144482; 12.144;
53; 9592537; 9.593;
54; 10804318; 10.804;
55; 12620512; 12.621;
56; 11802706; 11.803;
57; 12276712; 12.277;
58; 11819428; 11.819;
59; 11697317; 11.697;
60; 11455519; 11.456;
61; 11767920; 11.768;
62; 12033392; 12.033;
63; 10544036; 10.544;
64; 11929747; 11.930;
65; 11617987; 11.618;
66; 10923032; 10.923;
67; 11341153; 11.341;
68; 11448666; 11.449;
69; 12196150; 12.196;
70; 11863281; 11.863;
71; 10428106; 10.428;
72; 11859223; 11.859;
73; 13948793; 13.949;
74; 12377743; 12.378;
75; 11626252; 11.626;
76; 13114255; 13.114;
77; 11793238; 11.793;
78; 11719378; 11.719;
79; 13542045; 13.542;
80; 10332886; 10.333;
81; 12396679; 12.397;
82; 12572982; 12.573;
83; 12554597; 12.555;
84; 14203044; 14.203;
85; 11810290; 11.810;
86; 11296869; 11.297;
87; 13412940; 13.413;
88; 11969120; 11.969;
89; 11296168; 11.296;
90; 10115636; 10.116;
91; 12337417; 12.337;
92; 12109967; 12.110;
93; 11813506; 11.814;
94; 12064079; 12.064;
95; 12098946; 12.099;
96; 12590425; 12.590;
97; 12182865; 12.183;
98; 9959671; 9.960;
99; 12683612; 12.684;
100; 12285338; 12.285;
101; 12420474; 12.420;
102; 11205777; 11.206;
103; 9229881; 9.230;
104; 10737622; 10.738;
105; 11492298; 11.492;
106; 12080531; 12.081;
107; 11023543; 11.024;
108; 9625178; 9.625;
109; 9067534; 9.068;
110; 11377562; 11.378;
111; 12132148; 12.132;
112; 9849834; 9.850;
113; 11956616; 11.957;
114; 11634468; 11.634;
115; 11568794; 11.569;
116; 18316131; 18.316;
117; 9617865; 9.618;
118; 11746689; 11.747;
119; 12080350; 12.080;
120; 11651379; 11.651;
121; 11144731; 11.145;
122; 11396277; 11.396;
123; 11824567; 11.825;
124; 11766757; 11.767;
125; 12042639; 12.043;
126; 10689611; 10.690;
127; 12188665; 12.189;
128; 11211778; 11.212;
129; 11688360; 11.688;
130; 11605713; 11.606;
131; 11763221; 11.763;
132; 10984819; 10.985;
133; 11776486; 11.776;
134; 12332097; 12.332;
135; 10257584; 10.258;
136; 12247337; 12.247;
137; 11232818; 11.233;
138; 12731140; 12.731;
139; 11697386; 11.697;
140; 9825707; 9.826;
141; 11898166; 11.898;
142; 12092283; 12.092;
143; 11625270; 11.625;
144; 11630850; 11.631;
145; 11667350; 11.667;
146; 11594181; 11.594;
147; 12378384; 12.378;
148; 11439949; 11.440;
149; 12384796; 12.385;
150; 12811984; 12.812;
151; 11419020; 11.419;
152; 11734487; 11.734;
153; 12529760; 12.530;
154; 8975390; 8.975;
155; 10522235; 10.522;
156; 10678580; 10.679;
157; 12768842; 12.769;
158; 10675103; 10.675;
159; 11250882; 11.251;
160; 12196780; 12.197;
161; 11867307; 11.867;
162; 11798638; 11.799;
163; 11462141; 11.462;
164; 10794639; 10.795;
